area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	080:GREG CONLON	081:FIONA MA
ALLPCTS	TO	500516	372461	106	0	98	19923	352334	45661	306673
ALLPCTS	ED	500516	127556	80	0	37	7479	119960	14863	105097
ALLPCTS	MV	500516	244905	26	0	61	12444	232374	30798	201576
PCT1101	ED	553	125	0	0	0	5	120	12	108
PCT1101	MV	553	266	0	0	0	10	256	34	222
PCT1102	ED	995	266	0	0	0	14	252	22	230
PCT1102	MV	995	480	0	0	0	9	471	78	393
PCT1103	ED	951	246	1	0	0	14	231	20	211
PCT1103	MV	951	445	0	0	0	15	430	79	351
PCT1104	ED	993	249	0	0	0	15	234	29	205
PCT1104	MV	993	414	0	0	1	19	394	53	341
PCT1106	ED	765	191	0	0	0	9	182	30	152
PCT1106	MV	765	343	0	0	0	17	326	67	259
PCT1107	ED	746	163	0	0	0	7	156	12	144
PCT1107	MV	746	336	0	0	0	20	316	42	274
PCT1108	ED	909	232	0	0	1	14	217	19	198
PCT1108	MV	909	437	0	0	0	16	421	49	372
PCT1109	ED	798	166	0	0	0	11	155	20	135
PCT1109	MV	798	365	0	0	0	25	340	43	297
PCT1111	ED	1002	205	0	0	0	16	189	22	167
PCT1111	MV	1002	460	0	0	0	33	427	69	358
PCT1112	ED	769	151	0	0	0	11	140	16	124
PCT1112	MV	769	344	0	0	0	11	333	42	291
PCT1113	ED	746	134	0	0	0	10	124	13	111
PCT1113	MV	746	359	0	0	0	29	330	51	279
PCT1114	ED	957	226	0	0	0	17	209	34	175
PCT1114	MV	957	403	0	0	0	28	375	64	311
PCT1115	ED	895	173	0	0	0	7	166	9	157
PCT1115	MV	895	371	0	0	1	16	354	57	297
PCT1116	ED	895	224	0	0	0	12	212	16	196
PCT1116	MV	895	376	0	0	0	17	359	50	309
PCT1117	ED	858	184	0	0	0	20	164	17	147
PCT1117	MV	858	357	0	0	0	25	332	49	283
PCT1118	ED	1043	213	0	0	1	8	204	17	187
PCT1118	MV	1043	475	0	0	0	23	452	54	398
PCT1119	ED	791	165	0	0	0	14	151	17	134
PCT1119	MV	791	386	0	0	0	16	370	47	323
PCT1121	ED	691	159	0	0	0	16	143	29	114
PCT1121	MV	691	313	0	0	0	31	282	46	236
PCT1122	ED	632	109	0	0	0	5	104	14	90
PCT1122	MV	632	310	0	0	0	18	292	48	244
PCT1123	ED	915	179	0	0	0	9	170	9	161
PCT1123	MV	915	364	0	0	0	21	343	56	287
PCT1124	ED	819	152	0	0	0	9	143	19	124
PCT1124	MV	819	302	0	0	0	12	290	34	256
PCT1125	ED	1047	159	0	0	0	9	150	32	118
PCT1125	MV	1047	466	0	0	0	19	447	76	371
PCT1126	ED	922	190	0	0	0	9	181	21	160
PCT1126	MV	922	400	0	0	0	25	375	44	331
PCT1127	ED	920	200	0	0	0	11	189	30	159
PCT1127	MV	920	382	0	0	0	20	362	74	288
PCT1128	ED	838	154	0	0	1	8	145	22	123
PCT1128	MV	838	362	0	0	0	11	351	61	290
PCT1129	ED	980	227	0	0	0	12	215	40	175
PCT1129	MV	980	416	0	0	0	7	409	75	334
PCT1131	ED	797	132	0	0	0	11	121	14	107
PCT1131	MV	797	371	0	0	0	15	356	81	275
PCT1132	ED	969	179	0	0	0	11	168	12	156
PCT1132	MV	969	427	0	0	0	32	395	70	325
PCT1133	ED	863	161	0	0	0	12	149	17	132
PCT1133	MV	863	410	0	0	0	16	394	80	314
PCT1134	ED	759	170	0	0	0	20	150	13	137
PCT1134	MV	759	317	0	0	0	18	299	55	244
PCT1135	ED	540	87	0	0	0	10	77	9	68
PCT1135	MV	540	295	0	0	0	13	282	50	232
PCT1136	ED	829	144	0	0	1	11	132	19	113
PCT1136	MV	829	412	0	0	0	19	393	65	328
PCT1141	ED	1041	223	0	0	0	15	208	24	184
PCT1141	MV	1041	484	0	0	0	15	469	52	417
PCT1142	ED	861	175	0	0	0	4	171	22	149
PCT1142	MV	861	393	0	0	0	22	371	49	322
PCT1143	ED	1034	228	0	0	1	9	218	16	202
PCT1143	MV	1034	440	0	0	1	23	416	77	339
PCT1144	ED	907	205	0	0	1	13	191	26	165
PCT1144	MV	907	387	0	0	0	14	373	63	310
PCT1145	ED	888	189	0	0	0	11	178	24	154
PCT1145	MV	888	461	0	0	0	22	439	49	390
PCT1146	ED	1011	186	0	0	0	11	175	23	152
PCT1146	MV	1011	454	0	0	1	29	424	53	371
PCT1147	ED	877	210	0	0	0	11	199	31	168
PCT1147	MV	877	396	0	0	0	29	367	50	317
PCT1148	ED	962	196	0	0	0	14	182	32	150
PCT1148	MV	962	444	0	0	2	17	425	59	366
PCT1149	ED	907	210	0	0	0	12	198	21	177
PCT1149	MV	907	407	0	0	0	17	390	51	339
PCT1152	ED	864	198	0	0	0	8	190	32	158
PCT1152	MV	864	388	0	0	0	15	373	45	328
PCT1153	ED	951	209	0	0	1	16	192	41	151
PCT1153	MV	951	415	0	0	0	19	396	84	312
PCT7001	ED	776	175	2	0	0	12	161	12	149
PCT7001	MV	776	429	0	0	0	32	397	30	367
PCT7002	ED	706	176	0	0	0	9	167	12	155
PCT7002	MV	706	332	0	0	0	17	315	40	275
PCT7003	ED	884	238	0	0	0	9	229	26	203
PCT7003	MV	884	498	0	0	0	22	476	42	434
PCT7004	ED	881	239	1	0	0	16	222	16	206
PCT7004	MV	881	496	0	0	0	20	476	35	441
PCT7005	ED	847	253	0	0	0	17	236	16	220
PCT7005	MV	847	480	0	0	0	23	457	34	423
PCT7006	ED	917	254	0	0	0	17	237	24	213
PCT7006	MV	917	442	0	0	0	21	421	28	393
PCT7007	ED	949	282	0	0	0	9	273	22	251
PCT7007	MV	949	516	0	0	0	21	495	41	454
PCT7008	ED	932	264	1	0	0	9	254	23	231
PCT7008	MV	932	546	1	0	1	31	513	59	454
PCT7009	ED	905	185	0	0	0	17	168	19	149
PCT7009	MV	905	513	0	0	0	21	492	51	441
PCT7011	ED	985	203	0	0	1	10	192	16	176
PCT7011	MV	985	294	0	0	0	17	277	21	256
PCT7012	ED	1109	313	0	0	0	13	300	46	254
PCT7012	MV	1109	594	0	0	0	30	564	59	505
PCT7013	ED	956	265	0	0	0	25	240	25	215
PCT7013	MV	956	501	0	0	0	18	483	46	437
PCT7014	ED	1460	366	0	0	0	16	350	37	313
PCT7014	MV	1460	801	0	0	0	29	772	51	721
PCT7015	MV	95	44	0	0	0	3	41	3	38
PCT7016	ED	918	171	0	0	0	18	153	17	136
PCT7016	MV	918	280	0	0	0	17	263	32	231
