area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	090:LISA REMMER	091:NANCY PELOSI
ALLPCTS	TO	443570	332140	87	0	107	15211	316735	41744	274991
ALLPCTS	ED	443570	114475	67	0	34	5894	108480	13405	95075
ALLPCTS	MV	443570	217665	20	0	73	9317	208255	28339	179916
PCT1141	ED	1041	223	0	0	0	18	205	28	177
PCT1141	MV	1041	484	0	0	0	20	464	67	397
PCT1142	ED	861	175	0	0	0	9	166	21	145
PCT1142	MV	861	393	0	0	0	36	357	54	303
PCT1143	ED	1034	228	0	0	0	11	217	13	204
PCT1143	MV	1034	440	0	0	0	22	418	88	330
PCT1144	ED	907	205	0	0	1	13	191	28	163
PCT1144	MV	907	387	0	0	0	21	366	64	302
PCT1145	ED	888	189	0	0	0	12	177	25	152
PCT1145	MV	888	461	0	0	1	20	440	63	377
PCT1146	ED	1011	186	0	0	0	14	172	25	147
PCT1146	MV	1011	454	0	0	1	26	427	74	353
PCT1147	ED	877	210	0	0	0	11	199	31	168
PCT1147	MV	877	396	0	0	0	22	374	74	300
PCT1148	ED	962	196	0	0	0	16	180	30	150
PCT1148	MV	962	444	0	0	2	27	415	90	325
PCT1149	ED	907	210	0	0	0	11	199	21	178
PCT1149	MV	907	407	0	0	0	22	385	57	328
PCT1152	ED	864	198	0	0	0	10	188	37	151
PCT1152	MV	864	388	0	0	0	14	374	61	313
PCT1153	ED	951	209	0	0	1	11	197	34	163
PCT1153	MV	951	415	0	0	0	23	392	87	305
PCT7001	ED	776	175	2	0	0	12	161	15	146
PCT7001	MV	776	429	0	0	1	30	398	38	360
PCT7002	ED	706	176	0	0	0	10	166	16	150
PCT7002	MV	706	332	0	0	0	16	316	35	281
PCT7003	ED	884	238	0	0	0	13	225	28	197
PCT7003	MV	884	498	0	0	0	19	479	58	421
PCT7004	ED	881	239	1	0	0	7	231	18	213
PCT7004	MV	881	496	0	0	0	21	475	40	435
PCT7005	ED	847	253	0	0	0	13	240	11	229
PCT7005	MV	847	480	0	0	1	15	464	28	436
PCT7006	ED	917	254	0	0	0	18	236	23	213
PCT7006	MV	917	442	0	0	0	27	415	36	379
PCT7007	ED	949	282	0	0	0	10	272	15	257
PCT7007	MV	949	516	0	0	0	24	492	38	454
PCT7008	ED	932	264	1	0	0	8	255	25	230
PCT7008	MV	932	546	1	0	0	16	529	55	474
PCT7009	ED	905	185	0	0	0	10	175	23	152
PCT7009	MV	905	513	0	0	0	24	489	45	444
PCT7011	ED	985	203	0	0	0	12	191	14	177
PCT7011	MV	985	294	0	0	0	2	292	18	274
PCT7012	ED	1109	313	0	0	0	11	302	39	263
PCT7012	MV	1109	594	0	0	1	24	569	49	520
PCT7013	ED	956	265	0	0	0	14	251	29	222
PCT7013	MV	956	501	0	0	0	18	483	48	435
PCT7014	ED	1460	366	0	0	0	12	354	35	319
PCT7014	MV	1460	801	0	0	0	25	776	58	718
PCT7015	MV	95	44	0	0	0	2	42	3	39
PCT7016	ED	918	171	0	0	0	12	159	16	143
PCT7016	MV	918	280	0	0	0	23	257	37	220
PCT7017	ED	754	149	0	0	0	10	139	13	126
PCT7017	MV	754	252	0	0	0	7	245	15	230
PCT7018	ED	977	154	0	0	0	14	140	20	120
PCT7018	MV	977	448	0	0	0	24	424	61	363
PCT7019	ED	899	182	0	0	0	12	170	13	157
PCT7019	MV	899	413	0	0	0	18	395	51	344
PCT7021	ED	947	184	0	0	1	15	168	15	153
PCT7021	MV	947	305	0	0	0	22	283	23	260
PCT7022	ED	945	214	0	0	1	13	200	11	189
PCT7022	MV	945	351	0	0	0	11	340	33	307
PCT7023	ED	928	177	0	0	0	6	171	7	164
PCT7023	MV	928	400	0	0	0	17	383	37	346
PCT7024	ED	414	70	0	0	0	4	66	7	59
PCT7024	MV	414	78	0	0	0	3	75	13	62
PCT7025	ED	477	85	0	0	0	5	80	3	77
PCT7025	MV	477	128	0	0	0	3	125	10	115
PCT7026	ED	1011	149	0	0	0	11	138	19	119
PCT7026	MV	1011	455	0	0	0	28	427	79	348
PCT7027	ED	869	195	0	0	0	14	181	14	167
PCT7027	MV	869	353	0	0	0	18	335	50	285
PCT7028	ED	850	212	0	0	0	12	200	21	179
PCT7028	MV	850	282	0	0	0	9	273	18	255
PCT7029	ED	901	183	0	0	0	15	168	11	157
PCT7029	MV	901	251	0	0	0	12	239	22	217
PCT7030	ED	759	118	0	0	0	4	114	29	85
PCT7030	MV	759	357	0	0	1	31	325	89	236
PCT7031	ED	641	91	0	0	0	4	87	7	80
PCT7031	MV	641	308	0	0	0	12	296	46	250
