County	Total Registered	17.5* - 25	26 - 35	36 - 45	46 - 55	56 - 65	66+
							
Alameda	881491	100909	169667	150689	151820	143927	164479
Percent		0.11447536200284958	0.192477285861969	0.17094786465168	0.17223091423511505	0.1632767617702484	0.18659180402755737
							
Alpine	758	30	68	74	96	233	257
Percent		0.03957783803343773	0.08970976620912552	0.09762533009052277	0.12664908170700073	0.3073878586292267	0.33905014395713806
							
Amador	22305	1453	2169	2274	3091	5024	8294
Percent		0.06514234840869904	0.09724277257919312	0.10195023566484451	0.13857878744602203	0.22524097561836243	0.3718448877334595
							
Butte	122741	17058	18519	15891	16563	22345	32365
Percent		0.13897556066513062	0.1508786827325821	0.12946774065494537	0.1349426805973053	0.18205000460147858	0.26368531584739685
							
Calaveras	29591	1909	3302	3194	4285	6909	9992
Percent		0.06451285630464554	0.11158798635005951	0.10793822258710861	0.14480754733085632	0.23348315060138702	0.337670236825943
							
Colusa	8792	1124	1433	1166	1244	1718	2107
Percent		0.12784349918365479	0.16298907995224	0.13262055814266205	0.14149226248264313	0.19540491700172424	0.2396496832370758
							
Contra Costa	621309	67252	93574	94889	113389	114523	137682
Percent		0.1082424365331904	0.15060782959847677	0.15272432879613848	0.18250017302179752	0.18432535179757575	0.22159988025282107
							
Del Norte	14150	1149	1989	1883	2070	3115	3944
Percent		0.08120141178369522	0.14056536555290222	0.13307420909404755	0.14628975093364716	0.22014133632183075	0.2787279188632965
							
El Dorado	121192	9992	14291	15800	21028	27452	32629
Percent		0.08244768631592844	0.11792032477391247	0.13037164169252097	0.17350980262723611	0.22651660175589147	0.2692339428345105
							
Fresno	456891	66347	91060	73441	67023	71080	87940
Percent		0.14521406590938568	0.1993035525083542	0.16074074804782867	0.1466936320066452	0.15557320415973663	0.19247479736804962
							
Glenn	12730	1376	1983	1748	1885	2438	3300
Percent		0.10809112340211868	0.15577375888824463	0.13731342554092407	0.1480754166841507	0.19151610136032104	0.2592301666736603
							
Humboldt	78518	8431	13305	12521	10595	14488	19178
Percent		0.10737664997577667	0.16945159435272217	0.15946662425994873	0.13493721187114716	0.18451820313930511	0.24424973130226135
							
Imperial	69728	9535	13057	11001	10718	11602	13815
Percent		0.1367456465959549	0.18725620210170746	0.15777018666267395	0.15371157228946686	0.16638940572738647	0.19812700152397156
							
Inyo	10036	680	1237	1248	1380	2322	3169
Percent		0.06775607913732529	0.12325628101825714	0.12435232847929001	0.13750497996807098	0.2313670814037323	0.3157632648944855
							
Kern	375881	54240	74399	59386	56580	62866	68410
Percent		0.14430098235607147	0.19793231785297394	0.15799149870872498	0.15052635967731476	0.16724973917007446	0.1819990873336792
							
Kings	52631	7357	10464	8599	7910	8513	9788
Percent		0.1397845447063446	0.19881819188594818	0.16338279843330383	0.15029165148735046	0.16174878180027008	0.18597404658794403
							
Lake	32653	2360	3940	3716	4902	7373	10362
Percent		0.07227513194084167	0.12066272646188736	0.1138027161359787	0.15012402832508087	0.22579854726791382	0.3173368573188782
							
Lassen	14332	1271	2170	1923	2362	2986	3620
Percent		0.08868266642093658	0.15140943229198456	0.13417527079582214	0.16480602324008942	0.208344966173172	0.2525816261768341
							
Los Angeles	5280658	674567	1081737	857297	849999	831727	985331
Percent		0.1277429759502411	0.20484890043735504	0.16234663128852844	0.16096459329128265	0.15750442445278168	0.1865924596786499
							
Madera	57418	7872	8530	7693	8113	10496	14714
Percent		0.13709986209869385	0.14855968952178955	0.13398237526416779	0.14129716157913208	0.1827998161315918	0.25626111030578613
							
Marin	160944	13502	15993	21186	31094	32112	47057
Percent		0.08389253169298172	0.09936996549367905	0.131635844707489	0.19319763779640198	0.19952280819416046	0.2923811972141266
							
Mariposa	10853	681	1221	1106	1522	2667	3656
Percent		0.06274762749671936	0.11250345408916473	0.10190730541944504	0.1402377188205719	0.24573850631713867	0.3368653953075409
							
Mendocino	49411	3626	6430	6768	6903	10135	15549
Percent		0.07338447123765945	0.13013297319412231	0.1369735449552536	0.13970573246479034	0.20511627197265625	0.31468701362609863
							
Merced	97584	17893	17515	14099	14118	15561	18398
Percent		0.18335998058319092	0.17948639392852783	0.1444806456565857	0.1446753591299057	0.15946261584758759	0.18853500485420227
							
Modoc	5118	305	628	559	709	1098	1819
