County	Total Registered	17.5* - 25	26 - 35	36 - 45	46 - 55	56 - 65	66+
Alameda	881491	100909	169667	150689	151820	143927	164479
Alpine	758	30	68	74	96	233	257
Amador	22305	1453	2169	2274	3091	5024	8294
Butte	122741	17058	18519	15891	16563	22345	32365
Calaveras	29591	1909	3302	3194	4285	6909	9992
Colusa	8792	1124	1433	1166	1244	1718	2107
Contra Costa	621309	67252	93574	94889	113389	114523	137682
Del Norte	14150	1149	1989	1883	2070	3115	3944
El Dorado	121192	9992	14291	15800	21028	27452	32629
Fresno	456891	66347	91060	73441	67023	71080	87940
Glenn	12730	1376	1983	1748	1885	2438	3300
Humboldt	78518	8431	13305	12521	10595	14488	19178
Imperial	69728	9535	13057	11001	10718	11602	13815
Inyo	10036	680	1237	1248	1380	2322	3169
Kern	375881	54240	74399	59386	56580	62866	68410
Kings	52631	7357	10464	8599	7910	8513	9788
Lake	32653	2360	3940	3716	4902	7373	10362
Lassen	14332	1271	2170	1923	2362	2986	3620
Los Angeles	5280658	674567	1081737	857297	849999	831727	985331
Madera	57418	7872	8530	7693	8113	10496	14714
Marin	160944	13502	15993	21186	31094	32112	47057
Mariposa	10853	681	1221	1106	1522	2667	3656
Mendocino	49411	3626	6430	6768	6903	10135	15549
Merced	97584	17893	17515	14099	14118	15561	18398
Modoc	5118	305	628	559	709	1098	1819
Mono	6597	464	1064	939	1060	1512	1558
Monterey	187350	25029	32092	25925	27920	33548	42836
Napa	78135	8099	11106	10644	12510	14704	21072
Nevada	68954	4705	8111	8918	9661	14932	22627
Orange	1560111	217564	247324	219548	268771	274372	332532
Placer	234732	25976	28568	35134	40762	43050	61242
Plumas	12480	854	1311	1251	1529	2950	4585
Riverside	1035957	149402	166918	152348	166988	177187	223114
Sacramento	765965	88840	138604	121667	127493	134290	155071
San Benito	30064	4009	4926	4529	5331	5539	5730
San Bernardino	937316	140180	175146	143015	151480	162318	165177
San Diego	1741707	220904	318873	275921	283933	297469	344607
San Francisco	500051	49167	132617	88528	76788	65186	87765
San Joaquin	344891	45882	62251	54348	57708	58267	66435
San Luis Obispo	172544	22354	23675	21388	23614	34216	47297
San Mateo	399351	41024	65182	63576	71164	70078	88327
Santa Barbara	217417	39969	32487	25719	29418	37766	52058
Santa Clara	885764	111910	142168	138212	165605	152807	175062
Santa Cruz	159499	21894	25218	21724	24764	29854	36045
Shasta	101782	8976	13906	13242	15409	20642	29607
Sierra	2190	104	227	259	307	517	776
Siskiyou	27566	1844	3320	3164	3721	6272	9245
Solano	231510	24304	38575	33906	38284	45256	51185
Sonoma	274292	27128	38010	36164	42078	55055	75857
Stanislaus	248466	34878	45552	38334	39413	41832	48457
Sutter	46087	5322	7456	7009	7624	8218	10458
Tehama	33286	2990	4630	4266	5056	6817	9527
Trinity	7656	442	865	973	992	1809	2575
Tulare	169367	28125	31845	26107	24302	26163	32825
Tuolumne	31999	2279	3540	3541	4099	7241	11299
Ventura	448174	58486	67402	61491	76323	84981	99491
Yolo	113642	19769	20028	17150	16992	18126	21577
Yuba	33754	3766	6194	5252	5390	6365	6787
State Total	19696371	2507558	3547872	3032343	3215888	3352049	4040661
