County	Eligible	Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
											
Alameda	1089154	881491	490683	97377	16413	6701	4660	2688	30	5858	257081
Percent		0.8093355298042297	0.5566511750221252	0.11046851426362991	0.018619589507579803	0.007601892575621605	0.00528649752959609	0.0030493787489831448	3.403324444661848E-05	0.006645558401942253	0.291643351316452
											
Alpine	939	758	312	205	25	5	6	2	0	3	200
Percent		0.8072417378425598	0.4116095006465912	0.2704485356807709	0.03298152983188629	0.006596305873245001	0.007915567606687546	0.0026385225355625153	0	0.003957783803343773	0.26385223865509033
											
Amador	27117	22305	6423	9812	942	102	295	61	6	51	4613
Percent		0.8225467205047607	0.2879623472690582	0.4399013817310333	0.042232684791088104	0.004572965670377016	0.013225734233856201	0.002734812907874584	0.0002689979737624526	0.002286482835188508	0.20681461691856384
											
Butte	171771	122741	42843	41955	4241	936	1382	383	322	1197	29482
Percent		0.7145618200302124	0.3490520715713501	0.34181731939315796	0.0345524325966835	0.0076258135959506035	0.011259481310844421	0.0031203916296362877	0.0026234101969748735	0.00975224282592535	0.2401968389749527
											
Calaveras	36101	29591	8099	12264	1345	188	447	94	87	234	6833
Percent		0.8196725845336914	0.273698091506958	0.41445034742355347	0.04545300826430321	0.006353283300995827	0.015105944126844406	0.0031766416504979134	0.0029400831554085016	0.007907809689640999	0.23091480135917664
											
Colusa	12552	8792	2743	3464	254	20	71	21	0	6	2213
Percent		0.7004461288452148	0.3119881749153137	0.39399453997612	0.02888990007340908	0.002274795202538371	0.008075523190200329	0.0023885350674390793	0	0.0006824386073276401	0.2517060935497284
											
Contra Costa	759693	621309	303591	123425	16057	2944	4191	1624	1135	998	167344
Percent		0.8178421854972839	0.4886312484741211	0.19865316152572632	0.025843823328614235	0.004738382995128632	0.006745435763150454	0.0026138362009078264	0.0018267882987856865	0.0016062860377132893	0.26934102177619934
											
Del Norte	18039	14150	4314	5037	628	106	150	83	1	116	3715
Percent		0.7844115495681763	0.30487632751464844	0.35597172379493713	0.044381625950336456	0.007491166237741709	0.010600706562399864	0.005865724291652441	7.067137630656362E-05	0.008197879418730736	0.2625441551208496
											
El Dorado	141268	121192	34837	48765	4825	676	1705	301	81	925	29077
Percent		0.8578871488571167	0.28745296597480774	0.40237805247306824	0.039812859147787094	0.005577926058322191	0.014068585820496082	0.0024836622178554535	0.0006683609681203961	0.007632516790181398	0.2399250715970993
											
Fresno	597497	456891	172955	151844	12678	1458	3125	1575	41	4283	108932
Percent		0.764674961566925	0.3785476088523865	0.33234184980392456	0.027748413383960724	0.00319113302975893	0.006839705631136894	0.0034472118131816387	8.973693911684677E-05	0.009374227374792099	0.23842009902000427
											
Glenn	18520	12730	3572	5386	485	35	131	37	0	24	3060
Percent		0.6873649954795837	0.2805970013141632	0.42309504747390747	0.038098979741334915	0.0027494109235703945	0.010290651582181454	0.0029065199196338654	0	0.0018853102810680866	0.24037706851959229
											
Humboldt	105521	78518	34431	17879	2498	1855	824	357	191	237	20246
Percent		0.7440983057022095	0.438510924577713	0.22770574688911438	0.03181436285376549	0.02362515591084957	0.010494409129023552	0.0045467279851436615	0.002432563342154026	0.003018416231498122	0.2578516900539398
											
Imperial	101197	69728	33144	12821	1552	164	373	366	387	399	20522
Percent		0.689032256603241	0.47533270716667175	0.18387161195278168	0.022257916629314423	0.0023519962560385466	0.005349357612431049	0.005248967558145523	0.005550137721002102	0.005722234956920147	0.29431504011154175
											
Inyo	13689	10036	3040	3993	418	54	101	25	1	48	2356
Percent		0.7331433892250061	0.3029095232486725	0.39786767959594727	0.041650060564279556	0.005380629561841488	0.010063770227134228	0.002491032239049673	9.964129276340827E-05	0.004782781936228275	0.23475487530231476
											
Kern	518711	375881	126062	132595	12447	979	3244	1383	1489	519	97163
Percent		0.7246443629264832	0.33537742495536804	0.35275793075561523	0.033114202320575714	0.002604547655209899	0.008630391210317612	0.0036793560720980167	0.003961360082030296	0.0013807561481371522	0.2584940493106842
											
Kings	80450	52631	17034	21463	1381	111	434	147	244	147	11670
Percent		0.6542075872421265	0.3236495554447174	0.40780147910118103	0.026239288970828056	0.0021090232767164707	0.00824609026312828	0.0027930308133363724	0.004636051133275032	0.0027930308133363724	0.22173243761062622
											
Lake	49469	32653	12354	8709	1297	325	360	164	1	49	9394
Percent		0.6600699424743652	0.3783419728279114	0.26671361923217773	0.039720699191093445	0.009953144006431103	0.011025020852684975	0.00502250948920846	3.062505857087672E-05	0.0015006278408691287	0.28769180178642273
											
Lassen	16571	14332	2863	6958	763	48	150	44	5	84	3417
Percent		0.8648844361305237	0.199762761592865	0.4854870140552521	0.05323750898241997	0.003349148668348789	0.010466089472174644	0.00307005294598639	0.0003488696529529989	0.005861010402441025	0.23841752111911774
											
Los Angeles	6230147	5280658	2644567	899923	111257	22010	31677	28982	20783	40172	1481287
Percent		0.8475976586341858	0.5008025765419006	0.17041872441768646	0.02106877602636814	0.0041680410504341125	0.0059986840933561325	0.005488330963999033	0.003935683984309435	0.007607385516166687	0.2805118262767792
											
Madera	89818	57418	18129	22114	1786	161	437	204	182	238	14167
Percent		0.639270544052124	0.31573721766471863	0.3851405382156372	0.031105227768421173	0.002803998766466975	0.007610853761434555	0.0035528927110135555	0.003169737756252289	0.004145041573792696	0.24673447012901306
											
Marin	181925	160944	89425	23848	3567	1315	1022	248	256	484	40779
Percent		0.8846722841262817	0.5556280612945557	0.14817576110363007	0.022162988781929016	0.008170544169843197	0.006350034847855568	0.0015409085899591446	0.0015906153712421656	0.0030072571244090796	0.2533738315105438
											
Mariposa	14933	10853	3051	4617	417	85	121	30	9	138	2385
Percent		0.7267796397209167	0.2811204195022583	0.4254123270511627	0.03842255473136902	0.00783193577080965	0.01114899106323719	0.002764212666079402	0.000829263823106885	0.01271537784487009	0.2197549045085907
											
Mendocino	64399	49411	23342	9767	1652	1058	511	219	389	152	12321
