		Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
Alameda											
  Districts											
	County Supervisorial 1	163408	68613	32464	3893	482	1101	321	2	1090	55442
	County Supervisorial 2	152321	80599	17366	2930	589	747	499	8	933	48650
	County Supervisorial 3	167959	96981	14609	3107	1289	834	625	10	1162	49342
	County Supervisorial 4	185679	103778	24762	3641	1171	1049	547	4	1256	49471
	County Supervisorial 5	212124	140712	8176	2842	3170	929	696	6	1417	54176
											
	US Congressional 13	445991	284683	24500	6873	5107	1995	1584	16	3042	118191
	US Congressional 15	347185	165766	60781	7898	1323	2236	906	11	2234	106030
	US Congressional 17	88315	40234	12096	1642	271	429	198	3	582	32860
											
	State Senate 7	128413	50101	33414	3553	369	1027	196	4	846	38903
	State Senate 9	441834	282436	24078	6788	5082	1977	1561	16	3015	116881
	State Senate 10	311244	158146	39885	6072	1250	1656	931	10	1997	101297
											
	State Assembly 15	170640	114524	7424	2171	2586	780	477	5	1039	41634
	State Assembly 16	126903	49625	32866	3510	359	1017	194	4	829	38499
	State Assembly 18	274664	169790	17020	4687	2515	1211	1104	11	2001	76325
	State Assembly 20	235608	123134	30291	4679	1021	1309	753	7	1502	72912
	State Assembly 25	73676	33610	9776	1366	220	343	160	3	487	27711
											
	State Board of Equalization 2	881491	490683	97377	16413	6701	4660	2688	30	5858	257081
											
  Cities											
	Alameda	48561	27367	5348	956	399	313	102	4	306	13766
	Albany	11398	7566	533	134	177	37	16	0	65	2870
	Berkeley	79485	54285	2375	880	1404	365	263	3	462	19448
	Dublin	28393	11870	5172	678	62	189	48	1	183	10190
	Emeryville	6680	4194	317	125	70	40	11	0	50	1873
	Fremont	104459	47076	14283	1914	326	499	228	2	682	39449
	Hayward	69344	39068	7024	1368	284	360	296	4	395	20545
	Livermore	52694	20235	15330	1680	171	510	91	0	352	14325
	Newark	22025	11284	3004	476	80	127	52	2	134	6866
	Oakland	244858	160261	9779	3706	2791	1010	1023	7	1771	64510
	Piedmont	8594	5117	1199	132	35	33	5	0	48	2025
	Pleasanton	44158	17049	11607	1100	117	296	54	3	280	13652
	San Leandro	45711	25515	4890	924	225	193	161	2	338	13463
	Union City	36329	18918	3996	633	129	135	104	1	251	12162
											
	Unincorporated Area	78802	40878	12520	1707	431	553	234	1	541	21937
Alameda Totals		881491	490683	97377	16413	6701	4660	2688	30	5858	257081
     Percent			0.5566511750221252	0.11046851426362991	0.018619589507579803	0.007601892575621605	0.00528649752959609	0.0030493787489831448	3.403324444661848E-05	0.006645558401942253	0.291643351316452
											
Alpine											
  Districts											
	County Supervisorial 1	150	63	49	5	1	1	0	0	0	31
	County Supervisorial 2	154	69	32	5	1	1	0	0	1	45
	County Supervisorial 3	111	51	15	6	0	2	1	0	1	35
	County Supervisorial 4	155	72	41	2	1	1	1	0	0	37
	County Supervisorial 5	188	57	68	7	2	1	0	0	1	52
											
	US Congressional 4	758	312	205	25	5	6	2	0	3	200
											
	State Senate 1	758	312	205	25	5	6	2	0	3	200
											
	State Assembly 5	758	312	205	25	5	6	2	0	3	200
											
	State Board of Equalization 1	758	312	205	25	5	6	2	0	3	200
											
  Cities											
	Unincorporated Area	758	312	205	25	5	6	2	0	3	200
Alpine Totals		758	312	205	25	5	6	2	0	3	200
     Percent			0.4116095006465912	0.2704485356807709	0.03298152983188629	0.006596305873245001	0.007915567606687546	0.0026385225355625153	0	0.003957783803343773	0.26385223865509033
											
Amador											
  Districts											
	County Supervisorial 1	4228	1290	1775	185	12	50	14	2	4	896
	County Supervisorial 2	5113	1248	2447	215	21	71	18	2	16	1075
	County Supervisorial 3	4048	1225	1710	185	18	37	10	1	9	853
	County Supervisorial 4	4401	1294	1926	184	19	70	7	1	9	891
	County Supervisorial 5	4515	1366	1954	173	32	67	12	0	13	898
											
	US Congressional 4	22305	6423	9812	942	102	295	61	6	51	4613
											
	State Senate 8	22305	6423	9812	942	102	295	61	6	51	4613
											
	State Assembly 5	22305	6423	9812	942	102	295	61	6	51	4613
											
	State Board of Equalization 1	22305	6423	9812	942	102	295	61	6	51	4613
											
  Cities											
	Amador	130	58	35	8	0	2	0	0	0	27
	Ione	2585	641	1227	104	11	42	7	1	4	548
	Jackson	2695	890	1017	132	11	31	8	2	4	600
	Plymouth	507	125	232	14	4	10	5	0	2	115
	Sutter Creek	1718	574	689	71	8	31	3	0	2	340
											
	Unincorporated Area	14670	4135	6612	613	68	179	38	3	39	2983
Amador Totals		22305	6423	9812	942	102	295	61	6	51	4613
     Percent			0.2879623472690582	0.4399013817310333	0.042232684791088104	0.004572965670377016	0.013225734233856201	0.002734812907874584	0.0002689979737624526	0.002286482835188508	0.20681461691856384
											
Butte											
  Districts											
	County Supervisorial 1	21822	5914	8477	910	113	223	102	79	251	5753
	County Supervisorial 2	25276	10433	7127	742	215	300	59	54	180	6166
	County Supervisorial 3	26417	10663	7850	742	233	314	63	61	237	6254
	County Supervisorial 4	21440	7368	7621	686	158	222	78	51	184	5072
	County Supervisorial 5	27786	8465	10880	1161	217	323	81	77	345	6237
											
	US Congressional 1	122741	42843	41955	4241	936	1382	383	322	1197	29482
											
	State Senate 4	122741	42843	41955	4241	936	1382	383	322	1197	29482
											
	State Assembly 1	11690	3514	4516	483	107	130	49	36	134	2721
	State Assembly 3	111051	39329	37439	3758	829	1252	334	286	1063	26761
											
	State Board of Equalization 1	122741	42843	41955	4241	936	1382	383	322	1197	29482
											
  Cities											
	Biggs	750	245	291	20	2	6	2	3	6	175
	Chico	49413	21350	12699	1408	443	586	134	118	389	12286
	Gridley	2703	966	897	97	12	18	12	5	23	673
	Oroville	7673	2330	2493	326	41	81	46	28	73	2255
	Paradise	16528	4958	6445	679	129	183	50	38	231	3815
											
	Unincorporated Area	45674	12994	19130	1711	309	508	139	130	475	10278
Butte Totals		122741	42843	41955	4241	936	1382	383	322	1197	29482
     Percent			0.3490520715713501	0.34181731939315796	0.0345524325966835	0.0076258135959506035	0.011259481310844421	0.0031203916296362877	0.0026234101969748735	0.00975224282592535	0.2401968389749527
											
Calaveras											
  Districts											
	County Supervisorial 1	5779	1417	2629	250	26	80	15	22	43	1297
	County Supervisorial 2	5251	1550	1943	254	60	94	32	15	43	1260
	County Supervisorial 3	6251	2136	2270	236	55	67	18	18	56	1395
	County Supervisorial 4	6535	1686	2785	307	32	114	14	21	49	1527
	County Supervisorial 5	5775	1310	2637	298	15	92	15	11	43	1354
											
	US Congressional 4	29591	8099	12264	1345	188	447	94	87	234	6833
											
	State Senate 8	29591	8099	12264	1345	188	447	94	87	234	6833
											
	State Assembly 5	29591	8099	12264	1345	188	447	94	87	234	6833
											
	State Board of Equalization 1	29591	8099	12264	1345	188	447	94	87	234	6833
											
  Cities											
	Angels	2392	646	1020	105	10	53	8	6	13	531
											
	Unincorporated Area	27199	7453	11244	1240	178	394	86	81	221	6302
Calaveras Totals		29591	8099	12264	1345	188	447	94	87	234	6833
     Percent			0.273698091506958	0.41445034742355347	0.04545300826430321	0.006353283300995827	0.015105944126844406	0.0031766416504979134	0.0029400831554085016	0.007907809689640999	0.23091480135917664
											
Colusa											
  Districts											
	County Supervisorial 1	1957	644	777	54	1	18	3	0	0	460
	County Supervisorial 2	1888	592	760	60	3	16	7	0	1	449
	County Supervisorial 3	1543	536	465	35	3	16	4	0	2	482
	County Supervisorial 4	1469	440	598	39	6	6	0	0	2	378
	County Supervisorial 5	1935	531	864	66	7	15	7	0	1	444
											
	US Congressional 3	8792	2743	3464	254	20	71	21	0	6	2213
											
	State Senate 4	8792	2743	3464	254	20	71	21	0	6	2213
											
	State Assembly 3	4600	1315	2041	145	14	30	13	0	3	1039
	State Assembly 4	4192	1428	1423	109	6	41	8	0	3	1174
											
	State Board of Equalization 2	8792	2743	3464	254	20	71	21	0	6	2213
											
  Cities											
	Colusa	2688	821	1085	83	7	22	12	0	1	657
	Williams	1570	623	323	32	3	10	3	0	3	573
											
	Unincorporated Area	4534	1299	2056	139	10	39	6	0	2	983
Colusa Totals		8792	2743	3464	254	20	71	21	0	6	2213
     Percent			0.3119881749153137	0.39399453997612	0.02888990007340908	0.002274795202538371	0.008075523190200329	0.0023885350674390793	0	0.0006824386073276401	0.2517060935497284
											
Contra Costa											
  Districts											
	County Supervisorial 1	106125	66730	7502	1778	879	474	462	295	187	27818
	County Supervisorial 2	150203	62241	40356	3827	461	1040	129	211	242	41696
	County Supervisorial 3	122932	55052	29991	3852	336	856	306	243	153	32143
	County Supervisorial 4	131226	60730	29079	3759	694	1081	298	197	234	35154
	County Supervisorial 5	110823	58838	16497	2841	574	740	429	189	182	30533
											
	US Congressional 5	54535	29572	7856	1379	327	370	160	86	89	14696
	US Congressional 9	107740	49343	25319	3477	319	753	285	219	139	27886
	US Congressional 11	415511	207457	80416	10141	2194	2812	1138	758	712	109883
	US Congressional 15	43523	17219	9834	1060	104	256	41	72	58	14879
											
	State Senate 3	52296	25281	10690	1570	402	496	127	56	113	13561
	State Senate 7	437546	197230	102276	12209	1547	3101	963	739	667	118814
	State Senate 9	131467	81080	10459	2278	995	594	534	340	218	34969
											
	State Assembly 11	128362	60657	28092	4064	389	875	385	272	170	33458
	State Assembly 14	184053	89071	36516	5215	1009	1480	559	275	334	49594
	State Assembly 15	126233	78171	9764	2167	968	565	517	324	209	33548
	State Assembly 16	182661	75692	49053	4611	578	1271	163	264	285	50744
											
	State Board of Equalization 2	621309	303591	123425	16057	2944	4191	1624	1135	998	167344
											
  Cities											
	Antioch	53489	28549	8162	1530	179	334	212	144	71	14308
	Brentwood	33962	13808	9655	1117	96	262	58	71	43	8852
	Clayton	8027	3130	2718	241	17	70	8	7	15	1821
	Concord	65468	30958	13426	2033	341	562	198	111	120	17719
	Danville	29882	10383	10570	889	61	248	23	42	38	7628
	El Cerrito	16115	10491	1021	194	208	72	37	28	20	4044
	Hercules	14537	8206	1650	266	60	57	34	19	15	4230
	Lafayette	17929	8429	4274	432	75	126	22	20	35	4516
	Martinez	23955	11629	5041	748	171	252	61	22	53	5978
