ballot_type	contest_rot_ids
001	1010:1 1040:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:11 8540:3
002	1010:1 1040:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:11 8540:3
003	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:11 8540:3
004	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:11 8540:3
005	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5110 8520:10 8540:2
006	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5110 6020 8520:10 8540:2
007	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:1 8540:1
008	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5102 6020 8520:2 8540:2
009	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5102 8520:2 8540:2
010	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:3 8540:3
011	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:3 8540:3
012	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:5 8540:1
013	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5106 8520:6 8540:2
014	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:7 8540:3
015	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:7 8540:3
016	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5108 8520:8 8540:4
017	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:9 8540:1
018	1010:1 1020:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:9 8540:1
019	1010:1 1040:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5110 6020 8520:10 8540:2
020	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:1 8540:1
021	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5102 6020 8520:2 8540:2
022	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5102 8520:2 8540:2
023	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5104 6020 8520:4 8540:4
024	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5104 8520:4 8540:4
025	1010:1 1040:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5104 6020 8520:4 8540:4
026	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:5 8540:1
027	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:5 8540:1
028	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:7 8540:3
029	1010:1 1020:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:7 8540:3
030	1010:1 1040:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 6020 8520:7 8540:3
031	1010:1 1040:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:7 8540:3
032	1010:1 1040:2 1210 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5108 8520:8 8540:4
033	1010:1 1030:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5110 8520:10 8540:2
034	1010:1 1040:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:2 5060:1 5108 8520:8 8540:4
035	1010:1 1040:1 1310 1801 1802 1803 1804 1805 4000:1 4010:1 4020:1 4030:1 4040:1 4050:1 4060:1 4070:2 4080:1 5030:1 5060:1 8520:7 8540:3
