contest_id	cand_id	cand_name	ballot_designation	cand_party	incumbent	qualified
5000	002	LONDON N. BREED	Mayor Of San Francisco		Y	Y
5000	008	"ROBERT L. JORDAN, JR."	Preacher		N	Y
5000	021	WILMA PANG	Retired Music Professor		N	Y
5000	014	PAUL YBARRA ROBERTSON	Small Business Owner		N	Y
5000	032	JOEL VENTRESCA	Retired Airport Analyst		N	Y
5000	020	ELLEN LEE ZHOU	Behavioral Health Clinician		N	Y
5010	001	Dennis J. Herrera	City Attorney		Y	Y
5020	001	JOSE M. CISNEROS	San Francisco Treasurer		Y	Y
5040	002	CHESA BOUDIN	Deputy Public Defender		N	Y
5040	003	LEIF DAUTCH	Deputy Attorney General		N	Y
5040	004	SUZY LOFTUS	Legal Counsel		N	Y
5040	005	NANCY H. TUNG	Deputy District Attorney		N	Y
5050	001	PAUL MIYAMOTO	Chief Deputy Sheriff		N	Y
5070	001	"Manohar ""mano"" Raju"	Appointed Public Defender		N	Y
5105	001	VALLIE BROWN	"District 5 Supervisor, Appointed"		Y	Y
5105	007	RYAN LAM	Political Journalist		N	Y
5105	006	NOMVULA O'MEARA	Film Producer		N	Y
5105	002	DEAN PRESTON	Nonprofit Housing Attorney		N	Y
8525	002	JENNY LAM	"Appointed Member, Board Of Education"		Y	Y
8525	004	Robert K. Coleman	Editor / Artist		N	Y
8525	005	Kirsten Strobel	"Director, Arts Nonprofit"		N	Y
8560	002	Ivy Lee	Appointed City College Trustee		Y	Y
