district_id|district_name
0|County Wide
ASSM17|17TH ASMBLY
ASSM19|19TH ASMBLY
BART4|BART AREA 4
BART7|BART AREA 7
BART8|BART AREA 8
BART9|BART AREA 9
BART|San Francisco Bay Area Rapid Transit District
CITY1|CITY OF S.F.
CONG12|12TH CONG
CONG13|13TH CONG
CONG14|14TH CONG
EQUAL2|BD EQ,DIST2
MTC9|County of Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, Sonoma and Solano
NEIG10|LRL HTS/ANZA
NEIG11|MAR/PAC HTS
NEIG12|MISSION
NEIG13|NOE VALLEY
NEIG14|N BERNAL HTS
NEIG15|N EMBRCDRO
NEIG16|POTRERO HILL
NEIG17|RICHMOND
NEIG18|SECLF/PREHTS
NEIG19|S BERNAL HTS
NEIG1|BAYVW/HTRSPT
NEIG20|SOMA
NEIG21|SUNSET
NEIG22|UPRMKT/EURKA
NEIG23|VISITA VLY
NEIG24|W TWIN PKS
NEIG25|WST ADDITION
NEIG26|PORTOLA
NEIG2|CHINA
NEIG3|CVC CTR/DWTN
NEIG4|DIAMD HTS
NEIG5|EXCELSIOR
NEIG6|HAIGHT ASH
NEIG7|INGLESIDE
NEIG8|INNER SUNSET
NEIG9|LAKE MERCED
SBRA|San Francisco Bay Restoration Authority
SCSF|San Francisco Superior Court
SEN11|11TH SENATE
SFUSD|San Francisco Unified School District
SUPV10|SUP DIST 10
SUPV11|SUP DIST 11
SUPV1|SUP DIST 1
SUPV2|SUP DIST 2
SUPV3|SUP DIST 3
SUPV4|SUP DIST 4
SUPV5|SUP DIST 5
SUPV6|SUP DIST 6
SUPV7|SUP DIST 7
SUPV8|SUP DIST 8
SUPV9|SUP DIST 9
appct1|California State Court of Appeal District  1
state|State of California
