VotingPrecinctID	VotingPrecinctName	MailBallotPrecinct	BalType	Congressional	Senatorial	Supervisorial
1101	Pct 1101	N	1	14	11	11
1102	Pct 1102	N	1	14	11	11
1103	Pct 1103	N	1	14	11	11
1104	Pct 1104/1105	N	1	14	11	11
1106	Pct 1106/1107	N	1	14	11	11
1108	Pct 1108	N	1	14	11	11
1109	Pct 1109	N	1	14	11	11
1111	Pct 1111	N	1	14	11	11
1112	Pct 1112	N	1	14	11	11
1114	Pct 1114/1113	N	1	14	11	11
1115	Pct 1115/1116	N	1	14	11	11
1117	Pct 1117/1123	N	1	14	11	11
1118	Pct 1118	N	1	14	11	11
1119	Pct 1119	N	1	14	11	11
1122	Pct 1122	N	1	14	11	11
1124	Pct 1124	N	1	14	11	11
1125	Pct 1125	N	1	14	11	11
1126	Pct 1126/1121	N	1	14	11	11
1127	Pct 1127/1128	N	1	14	11	11
1129	Pct 1129	N	1	14	11	11
1131	Pct 1131	N	1	14	11	11
1132	Pct 1132	N	1	14	11	11
1133	Pct 1133	N	1	14	11	11
1134	Pct 1134	N	1	14	11	11
1135	Pct 1135	N	1	14	11	11
1136	Pct 1136	N	1	14	11	11
1141	Pct 1141	N	1	12	11	11
1143	Pct 1143	N	1	12	11	11
1144	Pct 1144/1142	N	1	12	11	11
1145	Pct 1145	N	1	12	11	11
1146	Pct 1146	N	1	12	11	11
1147	Pct 1147	N	1	12	11	11
1148	Pct 1148	N	1	12	11	11
1149	Pct 1149	N	1	12	11	11
1151	Pct 1151 MB	YES	1	12	11	11
1152	Pct 1152/1153	N	1	12	11	11
1154	Pct 1154 MB	YES	1	12	11	11
7001	Pct 7001	N	2	12	11	10
7002	Pct 7002	N	2	12	11	10
7003	Pct 7003/7004	N	2	12	11	10
7005	Pct 7005	N	2	12	11	10
7006	Pct 7006	N	2	12	11	10
7007	Pct 7007/7008	N	2	12	11	10
7009	Pct 7009	N	2	12	11	10
7011	Pct 7011	N	2	12	11	10
7012	Pct 7012	N	2	12	11	10
7013	Pct 7013	N	2	12	11	10
7014	Pct 7014/7056	N	2	12	11	10
7015	Pct 7015 MB	YES	2	12	11	10
7016	Pct 7016	N	2	12	11	10
7017	Pct 7017	N	2	12	11	10
7019	Pct 7019/7018	N	2	12	11	10
7021	Pct 7021	N	2	12	11	10
7022	Pct 7022	N	2	12	11	10
7024	Pct 7024	N	2	12	11	10
7025	Pct 7025	N	2	12	11	10
7026	Pct 7026	N	2	12	11	10
7027	Pct 7027	N	2	12	11	10
7028	Pct 7028	N	2	12	11	10
7029	Pct 7029/7023	N	2	12	11	10
7030	Pct 7030	N	2	12	11	10
7031	Pct 7031	N	2	12	11	10
7032	Pct 7032	N	2	12	11	10
7033	Pct 7033	N	2	12	11	10
7034	Pct 7034	N	2	12	11	10
7035	Pct 7035	N	2	12	11	10
7037	Pct 7037/7036	N	2	12	11	10
7038	Pct 7038	N	2	12	11	10
