sDistrictID	iSubDistrict	szDistrictName	sPrecinctID	sPrecinctPortion	szPrecinctName
*0	0	County Wide	1101   		Pct 1101
*0	0	County Wide	1102   		Pct 1102
*0	0	County Wide	1103   		Pct 1103
*0	0	County Wide	1104   		Pct 1104
*0	0	County Wide	1105   		Pct 1105
*0	0	County Wide	1106   		Pct 1106
*0	0	County Wide	1107   		Pct 1107
*0	0	County Wide	1108   		Pct 1108
*0	0	County Wide	1109   		Pct 1109
*0	0	County Wide	1111   		Pct 1111
*0	0	County Wide	1112   		Pct 1112
*0	0	County Wide	1113   		Pct 1113
*0	0	County Wide	1114   		Pct 1114
*0	0	County Wide	1115   		Pct 1115
*0	0	County Wide	1116   		Pct 1116
*0	0	County Wide	1117   		Pct 1117
*0	0	County Wide	1118   		Pct 1118
*0	0	County Wide	1119   		Pct 1119
*0	0	County Wide	1121   		Pct 1121
*0	0	County Wide	1122   		Pct 1122
*0	0	County Wide	1123   		Pct 1123
*0	0	County Wide	1124   		Pct 1124
*0	0	County Wide	1125   		Pct 1125
*0	0	County Wide	1126   		Pct 1126
*0	0	County Wide	1127   		Pct 1127
*0	0	County Wide	1128   		Pct 1128
*0	0	County Wide	1129   		Pct 1129
*0	0	County Wide	1131   		Pct 1131
*0	0	County Wide	1132   		Pct 1132
*0	0	County Wide	1133   		Pct 1133
*0	0	County Wide	1134   		Pct 1134
*0	0	County Wide	1135   		Pct 1135
*0	0	County Wide	1136   		Pct 1136
*0	0	County Wide	1141   		Pct 1141
*0	0	County Wide	1142   		Pct 1142
*0	0	County Wide	1143   		Pct 1143
*0	0	County Wide	1144   		Pct 1144
*0	0	County Wide	1145   		Pct 1145
*0	0	County Wide	1146   		Pct 1146
*0	0	County Wide	1147   		Pct 1147
*0	0	County Wide	1148   		Pct 1148
*0	0	County Wide	1149   		Pct 1149
*0	0	County Wide	1151   		Pct 1151
*0	0	County Wide	1152   		Pct 1152
*0	0	County Wide	1153   		Pct 1153
*0	0	County Wide	1154   		Pct 1154
*0	0	County Wide	7001   		Pct 7001
*0	0	County Wide	7002   		Pct 7002
*0	0	County Wide	7003   		Pct 7003
*0	0	County Wide	7004   		Pct 7004
*0	0	County Wide	7005   		Pct 7005
*0	0	County Wide	7006   		Pct 7006
*0	0	County Wide	7007   		Pct 7007
*0	0	County Wide	7008   		Pct 7008
*0	0	County Wide	7009   		Pct 7009
*0	0	County Wide	7011   		Pct 7011
*0	0	County Wide	7012   		Pct 7012
*0	0	County Wide	7013   		Pct 7013
*0	0	County Wide	7014   		Pct 7014
*0	0	County Wide	7015   		Pct 7015
*0	0	County Wide	7016   		Pct 7016
*0	0	County Wide	7017   		Pct 7017
*0	0	County Wide	7018   		Pct 7018
*0	0	County Wide	7019   		Pct 7019
*0	0	County Wide	7021   		Pct 7021
*0	0	County Wide	7022   		Pct 7022
*0	0	County Wide	7023   		Pct 7023
*0	0	County Wide	7024   		Pct 7024
*0	0	County Wide	7025   		Pct 7025
*0	0	County Wide	7026   		Pct 7026
*0	0	County Wide	7027   		Pct 7027
*0	0	County Wide	7028   		Pct 7028
*0	0	County Wide	7029   		Pct 7029
*0	0	County Wide	7030   		Pct 7030
*0	0	County Wide	7031   		Pct 7031
*0	0	County Wide	7032   		Pct 7032
*0	0	County Wide	7033   		Pct 7033
*0	0	County Wide	7034   		Pct 7034
*0	0	County Wide	7035   		Pct 7035
*0	0	County Wide	7036   		Pct 7036
*0	0	County Wide	7037   		Pct 7037
*0	0	County Wide	7038   		Pct 7038
*0	0	County Wide	7039   		Pct 7039
*0	0	County Wide	7041   		Pct 7041
*0	0	County Wide	7042   		Pct 7042
*0	0	County Wide	7043   		Pct 7043
*0	0	County Wide	7044   		Pct 7044
*0	0	County Wide	7045   		Pct 7045
*0	0	County Wide	7046   		Pct 7046
*0	0	County Wide	7047   		Pct 7047
*0	0	County Wide	7048   		Pct 7048
*0	0	County Wide	7049   		Pct 7049
*0	0	County Wide	7051   		Pct 7051
*0	0	County Wide	7052   		Pct 7052
*0	0	County Wide	7053   		Pct 7053
*0	0	County Wide	7054   		Pct 7054
*0	0	County Wide	7055   		Pct 7055
*0	0	County Wide	7056   		Pct 7056
*0	0	County Wide	7101   		Pct 7101
*0	0	County Wide	7201   		Pct 7201
*0	0	County Wide	7202   		Pct 7202
*0	0	County Wide	7203   		Pct 7203
*0	0	County Wide	7204   		Pct 7204
*0	0	County Wide	7205   		Pct 7205
*0	0	County Wide	7206   		Pct 7206
*0	0	County Wide	7207   		Pct 7207
*0	0	County Wide	7208   		Pct 7208
*0	0	County Wide	7209   		Pct 7209
*0	0	County Wide	7301   		Pct 7301
*0	0	County Wide	7302   		Pct 7302
*0	0	County Wide	7303   		Pct 7303
*0	0	County Wide	7304   		Pct 7304
*0	0	County Wide	7305   		Pct 7305
*0	0	County Wide	7306   		Pct 7306
*0	0	County Wide	7307   		Pct 7307
*0	0	County Wide	7308   		Pct 7308
*0	0	County Wide	7309   		Pct 7309
*0	0	County Wide	7311   		Pct 7311
*0	0	County Wide	7312   		Pct 7312
*0	0	County Wide	7313   		Pct 7313
*0	0	County Wide	7314   		Pct 7314
*0	0	County Wide	7315   		Pct 7315
*0	0	County Wide	7316   		Pct 7316
*0	0	County Wide	7317   		Pct 7317
*0	0	County Wide	7318   		Pct 7318
*0	0	County Wide	7319   		Pct 7319
*0	0	County Wide	7321   		Pct 7321
*0	0	County Wide	7322   		Pct 7322
*0	0	County Wide	7323   		Pct 7323
*0	0	County Wide	7324   		Pct 7324
*0	0	County Wide	7325   		Pct 7325
*0	0	County Wide	7326   		Pct 7326
*0	0	County Wide	7327   		Pct 7327
*0	0	County Wide	7328   		Pct 7328
*0	0	County Wide	7329   		Pct 7329
*0	0	County Wide	7331   		Pct 7331
*0	0	County Wide	7332   		Pct 7332
*0	0	County Wide	7333   		Pct 7333
*0	0	County Wide	7334   		Pct 7334
*0	0	County Wide	7335   		Pct 7335
*0	0	County Wide	7336   		Pct 7336
*0	0	County Wide	7337   		Pct 7337
*0	0	County Wide	7338   		Pct 7338
*0	0	County Wide	7339   		Pct 7339
*0	0	County Wide	7341   		Pct 7341
*0	0	County Wide	7342   		Pct 7342
*0	0	County Wide	7343   		Pct 7343
*0	0	County Wide	7344   		Pct 7344
*0	0	County Wide	7345   		Pct 7345
*0	0	County Wide	7346   		Pct 7346
*0	0	County Wide	7347   		Pct 7347
*0	0	County Wide	7348   		Pct 7348
*0	0	County Wide	7349   		Pct 7349
*0	0	County Wide	7501   		Pct 7501
*0	0	County Wide	7502   		Pct 7502
*0	0	County Wide	7503   		Pct 7503
*0	0	County Wide	7504   		Pct 7504
*0	0	County Wide	7505   		Pct 7505
*0	0	County Wide	7506   		Pct 7506
*0	0	County Wide	7507   		Pct 7507
*0	0	County Wide	7508   		Pct 7508
*0	0	County Wide	7509   		Pct 7509
*0	0	County Wide	7511   		Pct 7511
*0	0	County Wide	7512   		Pct 7512
*0	0	County Wide	7513   		Pct 7513
*0	0	County Wide	7514   		Pct 7514
*0	0	County Wide	7515   		Pct 7515
*0	0	County Wide	7516   		Pct 7516
*0	0	County Wide	7517   		Pct 7517
*0	0	County Wide	7518   		Pct 7518
*0	0	County Wide	7519   		Pct 7519
*0	0	County Wide	7521   		Pct 7521
*0	0	County Wide	7522   		Pct 7522
*0	0	County Wide	7523   		Pct 7523
*0	0	County Wide	7524   		Pct 7524
*0	0	County Wide	7525   		Pct 7525
*0	0	County Wide	7526   		Pct 7526
*0	0	County Wide	7527   		Pct 7527
*0	0	County Wide	7528   		Pct 7528
*0	0	County Wide	7529   		Pct 7529
*0	0	County Wide	7531   		Pct 7531
*0	0	County Wide	7532   		Pct 7532
*0	0	County Wide	7533   		Pct 7533
*0	0	County Wide	7534   		Pct 7534
*0	0	County Wide	7535   		Pct 7535
*0	0	County Wide	7536   		Pct 7536
*0	0	County Wide	7537   		Pct 7537
*0	0	County Wide	7538   		Pct 7538
*0	0	County Wide	7539   		Pct 7539
*0	0	County Wide	7541   		Pct 7541
*0	0	County Wide	7542   		Pct 7542
*0	0	County Wide	7543   		Pct 7543
*0	0	County Wide	7544   		Pct 7544
*0	0	County Wide	7545   		Pct 7545
*0	0	County Wide	7546   		Pct 7546
*0	0	County Wide	7547   		Pct 7547
*0	0	County Wide	7548   		Pct 7548
*0	0	County Wide	7549   		Pct 7549
*0	0	County Wide	7551   		Pct 7551
*0	0	County Wide	7552   		Pct 7552
*0	0	County Wide	7553   		Pct 7553
*0	0	County Wide	7554   		Pct 7554
*0	0	County Wide	7555   		Pct 7555
*0	0	County Wide	7556   		Pct 7556
*0	0	County Wide	7557   		Pct 7557
*0	0	County Wide	7601   		Pct 7601
*0	0	County Wide	7602   		Pct 7602
*0	0	County Wide	7603   		Pct 7603
*0	0	County Wide	7604   		Pct 7604
*0	0	County Wide	7605   		Pct 7605
*0	0	County Wide	7606   		Pct 7606
*0	0	County Wide	7607   		Pct 7607
*0	0	County Wide	7608   		Pct 7608
*0	0	County Wide	7609   		Pct 7609
*0	0	County Wide	7611   		Pct 7611
*0	0	County Wide	7612   		Pct 7612
*0	0	County Wide	7613   		Pct 7613
*0	0	County Wide	7614   		Pct 7614
*0	0	County Wide	7615   		Pct 7615
*0	0	County Wide	7616   		Pct 7616
*0	0	County Wide	7617   		Pct 7617
*0	0	County Wide	7618   		Pct 7618
*0	0	County Wide	7619   		Pct 7619
*0	0	County Wide	7621   		Pct 7621
*0	0	County Wide	7622   		Pct 7622
*0	0	County Wide	7623   		Pct 7623
*0	0	County Wide	7624   		Pct 7624
*0	0	County Wide	7625   		Pct 7625
*0	0	County Wide	7626   		Pct 7626
*0	0	County Wide	7627   		Pct 7627
*0	0	County Wide	7628   		Pct 7628
*0	0	County Wide	7629   		Pct 7629
*0	0	County Wide	7631   		Pct 7631
*0	0	County Wide	7632   		Pct 7632
*0	0	County Wide	7633   		Pct 7633
*0	0	County Wide	7634   		Pct 7634
*0	0	County Wide	7635   		Pct 7635
*0	0	County Wide	7636   		Pct 7636
*0	0	County Wide	7637   		Pct 7637
*0	0	County Wide	7638   		Pct 7638
*0	0	County Wide	7639   		Pct 7639
*0	0	County Wide	7641   		Pct 7641
*0	0	County Wide	7642   		Pct 7642
*0	0	County Wide	7643   		Pct 7643
*0	0	County Wide	7644   		Pct 7644
*0	0	County Wide	7645   		Pct 7645
*0	0	County Wide	7646   		Pct 7646
*0	0	County Wide	7647   		Pct 7647
*0	0	County Wide	7648   		Pct 7648
*0	0	County Wide	7649   		Pct 7649
*0	0	County Wide	7651   		Pct 7651
*0	0	County Wide	7652   		Pct 7652
*0	0	County Wide	7653   		Pct 7653
*0	0	County Wide	7654   		Pct 7654
*0	0	County Wide	7655   		Pct 7655
*0	0	County Wide	7656   		Pct 7656
*0	0	County Wide	7657   		Pct 7657
*0	0	County Wide	7701   		Pct 7701
*0	0	County Wide	7702   		Pct 7702
*0	0	County Wide	7703   		Pct 7703
*0	0	County Wide	7704   		Pct 7704
*0	0	County Wide	7705   		Pct 7705
*0	0	County Wide	7706   		Pct 7706
*0	0	County Wide	7707   		Pct 7707
*0	0	County Wide	7708   		Pct 7708
*0	0	County Wide	7709   		Pct 7709
*0	0	County Wide	7711   		Pct 7711
*0	0	County Wide	7712   		Pct 7712
*0	0	County Wide	7801   		Pct 7801
*0	0	County Wide	7802   		Pct 7802
*0	0	County Wide	7803   		Pct 7803
*0	0	County Wide	7804   		Pct 7804
*0	0	County Wide	7805   		Pct 7805
*0	0	County Wide	7806   		Pct 7806
*0	0	County Wide	7807   		Pct 7807
*0	0	County Wide	7808   		Pct 7808
*0	0	County Wide	7809   		Pct 7809
*0	0	County Wide	7811   		Pct 7811
*0	0	County Wide	7812   		Pct 7812
*0	0	County Wide	7813   		Pct 7813
*0	0	County Wide	7814   		Pct 7814
*0	0	County Wide	7815   		Pct 7815
*0	0	County Wide	7816   		Pct 7816
*0	0	County Wide	7817   		Pct 7817
*0	0	County Wide	7818   		Pct 7818
*0	0	County Wide	7819   		Pct 7819
*0	0	County Wide	7821   		Pct 7821
*0	0	County Wide	7822   		Pct 7822
*0	0	County Wide	7823   		Pct 7823
*0	0	County Wide	7824   		Pct 7824
*0	0	County Wide	7825   		Pct 7825
*0	0	County Wide	7826   		Pct 7826
*0	0	County Wide	7827   		Pct 7827
*0	0	County Wide	7828   		Pct 7828
*0	0	County Wide	7829   		Pct 7829
*0	0	County Wide	7831   		Pct 7831
*0	0	County Wide	7832   		Pct 7832
*0	0	County Wide	7833   		Pct 7833
*0	0	County Wide	7834   		Pct 7834
*0	0	County Wide	7835   		Pct 7835
*0	0	County Wide	7836   		Pct 7836
*0	0	County Wide	7837   		Pct 7837
*0	0	County Wide	7838   		Pct 7838
*0	0	County Wide	7839   		Pct 7839
*0	0	County Wide	7841   		Pct 7841
*0	0	County Wide	7842   		Pct 7842
*0	0	County Wide	7843   		Pct 7843
*0	0	County Wide	7844   		Pct 7844
*0	0	County Wide	7845   		Pct 7845
*0	0	County Wide	7846   		Pct 7846
*0	0	County Wide	7847   		Pct 7847
*0	0	County Wide	7848   		Pct 7848
*0	0	County Wide	7849   		Pct 7849
*0	0	County Wide	7851   		Pct 7851
*0	0	County Wide	7852   		Pct 7852
