ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	1151   	Pct 1151 MB	1151   		1  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	1154   	Pct 1154 MB	1154   		1  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7015   	Pct 7015 MB	7015   		2  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7041   	Pct 7041 MB	7041   		2  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7101   	Pct 7101 MB	7101   		3  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7553   	Pct 7553 MB	7553   		6  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7648   	Pct 7648 MB	7648   		7  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7703   	Pct 7703 MB	7703   		8  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7933   	Pct 7933 MB	7933   		10  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7954   	Pct 7954 MB	7954   		10  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7958   	Pct 7958 MB	7958   		10  
2019MUNI  	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9001   	Pct 9001 MB	9001   		2  
