ballot_type	cons_precinct_ids
001	1101 1102 1103 1104 1106 1108 1109 1111 1112 1114 1115 1117 1118 1119 1122 1124 1125 1126 1127 1129 1131 1132 1133 1134 1135 1136 1141 1143 1144 1145 1146 1147 1148 1149 1151 1152 1154
002	7001 7002 7003 7005 7006 7007 7009 7011 7012 7013 7014 7015 7016 7017 7019 7021 7022 7024 7025 7026 7027 7028 7029 7030 7031 7032 7033 7034 7035 7037 7038 7039 7041 7042 7043 7044 7045 7047 7048 7049 7052 7053 7054 7055 9001 9900
003	7101 9103 9104 9105 9106 9109 9111 9113 9114 9116 9117 9118 9119 9122 9124 9125 9127 9128 9129 9132 9133 9134 9135 9136 9137 9138 9139 9141 9143 9144 9145 9146 9149 9152
004	7202 7203 7204 7205 7207 7208 9201 9202 9203 9204 9205 9208 9209 9211 9213 9214 9215 9216 9217 9218 9219 9221 9222 9223 9224 9226 9227 9228 9229 9231 9232 9233 9234 9235 9236 9237 9238 9239 9241 9242 9244 9245 9248 9251 9252 9253 9255 9256 9257
005	7301 7302 7305 7306 7308 7311 7312 7314 7315 7317 7318 7321 7323 7325 7326 7327 7328 7329 7331 7332 7333 7336 7338 7339 7342 7343 7344 7346 7348
006	7502 7503 7504 7505 7506 7508 7509 7512 7513 7514 7515 7516 7518 7519 7521 7522 7524 7525 7526 7527 7529 7531 7532 7533 7534 7536 7537 7539 7541 7543 7544 7545 7546 7548 7549 7552 7553 7554 7555 7556 9501 9502 9503 9505 9506 9507 9511 9512 9513 9514 9516 9517 9519 9521
007	7601 7602 7605 7606 7607 7608 7611 7613 7614 7615 7616 7617 7618 7619 7621 7622 7623 7624 7625 7626 7628 7629 7632 7633 7634 7635 7636 7637 7638 7639 7642 7643 7644 7645 7646 7647 7648 7649 7651 7652 7653 7655
008	7701 7703 7704 7705 7706 7707 7708 7709 7712 9701 9702 9703 9704 9705 9706 9709 9711 9712 9716 9717 9718 9719 9721 9722 9723 9724 9725 9726 9727 9728 9729 9731 9732 9733 9734 9737 9738 9739 9741 9742 9743 9744 9745 9748 9749 9751 9752 9753 9754 9755 9756 9902
009	7801 7802 7803 7805 7807 7808 7809 7811 7812 7813 7814 7815 7817 7819 7821 7822 7824 7826 7828 7829 7832 7834 7835 7836 7837 7839 7841 7843 7844 7845 7846 7847 7849 7852 7853 7854 7855 7858 7861 7862 7863 7864 7866 7867 7868 7869 7871 7872 7873 7874 7875 7876 9801 9901
010	7902 7903 7905 7906 7908 7909 7911 7912 7915 7916 7917 7918 7921 7923 7925 7926 7928 7929 7931 7932 7933 7934 7935 7936 7937 7938 7941 7942 7943 7945 7946 7947 7948 7951 7953 7954 7956 7957 7958 7959
011	9401 9402 9404 9405 9406 9407 9408 9409 9411 9413 9415 9416 9418 9419 9421 9422 9423 9424 9426 9427 9431 9432 9433 9434 9436 9437 9439 9441 9442 9443 9445 9446 9447 9448 9449 9451 9453
