contest_id2	cand_id2	contest_id1	cand_id1	cand_seq	cand_name2	cand_name1
1c0b6535-0a11-4c7e-9075-233f0a5fc211	08124	5020	001		JOSÉ CISNEROS	JOSE M. CISNEROS
334	0101	5000	032		JOEL VENTRESCA	JOEL VENTRESCA
334	0102	5000	021		WILMA PANG	WILMA PANG
334	0103	5000	008		ROBERT L. JORDAN, JR.	"ROBERT L. JORDAN, JR."
334	0104	5000	014		PAUL YBARRA ROBERTSON	PAUL YBARRA ROBERTSON
334	0105	5000	020		ELLEN LEE ZHOU	ELLEN LEE ZHOU
334	0106	5000	002		LONDON N. BREED	LONDON N. BREED
351	11030	8560	002		IVY LEE	Ivy Lee
361	10026	8525	002		JENNY LAM	JENNY LAM
361	10027	8525	005		KIRSTEN STROBEL	Kirsten Strobel
361	10028	8525	004		ROBERT K. COLEMAN	Robert K. Coleman
479e7108-5b99-4821-966a-b78eabcfc581	06120	5070	001		MANOHAR "MANO" RAJU	"Manohar ""mano"" Raju"
91e909f7-cfae-4478-952a-dd0ff37dd9ce	02110	5105	006		NOMVULA O'MEARA	NOMVULA O'MEARA
91e909f7-cfae-4478-952a-dd0ff37dd9ce	02111	5105	001		VALLIE BROWN	VALLIE BROWN
91e909f7-cfae-4478-952a-dd0ff37dd9ce	0218	5105	007		RYAN LAM	RYAN LAM
91e909f7-cfae-4478-952a-dd0ff37dd9ce	0219	5105	002		DEAN PRESTON	DEAN PRESTON
aa114170-bb7f-477a-ac90-f5b343adcd1a	04113	5010	001		DENNIS J. HERRERA	Dennis J. Herrera
e56eaea1-da96-41f9-8d4b-a3f1733480bd	05115	5040	004		SUZY LOFTUS	SUZY LOFTUS
e56eaea1-da96-41f9-8d4b-a3f1733480bd	05116	5040	003		LEIF DAUTCH	LEIF DAUTCH
e56eaea1-da96-41f9-8d4b-a3f1733480bd	05117	5040	005		NANCY TUNG	NANCY H. TUNG
e56eaea1-da96-41f9-8d4b-a3f1733480bd	05118	5040	002		CHESA BOUDIN	CHESA BOUDIN
f0f07583-b641-47d3-9b9f-1c51dc824513	07122	5050	001		PAUL MIYAMOTO	PAUL MIYAMOTO
