area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	1:JOEL VENTRESCA	2:WILMA PANG	3:ROBERT L. JORDAN, JR.	4:PAUL YBARRA ROBERTSON	5:ELLEN LEE ZHOU	6:LONDON N. BREED	53:MARC ROTH
RCV6	TO	495050	115179	0	540	14857	6490	111747						24936	86811	
RCV5	TO	495050	115179	0	486	14857	2421	115870		11816				20806	83248	
RCV4	TO	495050	115179	0	449	14857	1043	117285		9716			6622	18708	82239	
RCV3	TO	495050	115179	0	437	14857	342	117998		9091	3678		5912	17564	81753	
RCV2	TO	495050	115179	0	427	14857	0	118350		8842	3436	1784	5419	17340	81529	
RCV1	TO	495050	115179	0	427	14857	0	118350	0	8841	3436	1784	5419	17340	81529	1
ALLPCTS	TO	495050	115179	0	344	13052	0	101783	1228	7513	2885	1533	4644	14764	69216	0
ALLPCTS	ED	495050	45590	0	70	5878	0	39642	1228	3254	1344	588	1600	4333	27295	0
ALLPCTS	MV	495050	69589	0	274	7174	0	62141	0	4259	1541	945	3044	10431	41921	0
PCT1101	ED	557	39	0	0	6	0	33	3	0	0	0	1	5	24	0
PCT1101	MV	557	82	0	0	8	0	74	0	7	1	0	2	19	45	0
PCT1101	TO	557	121	0	0	14	0	107	3	7	1	0	3	24	69	0
PCT1102	ED	994	117	0	0	17	0	100	3	14	0	0	4	13	66	0
PCT1102	MV	994	137	0	0	9	0	128	0	5	7	4	4	29	79	0
PCT1102	TO	994	254	0	0	26	0	228	3	19	7	4	8	42	145	0
PCT1103	ED	962	88	0	0	7	0	81	0	7	1	0	4	9	60	0
PCT1103	MV	962	121	0	0	10	0	111	0	9	1	4	4	20	73	0
PCT1103	TO	962	209	0	0	17	0	192	0	16	2	4	8	29	133	0
PCT1104	ED	1012	75	0	0	8	0	67	1	2	2	2	6	9	45	0
PCT1104	MV	1012	130	0	1	10	0	119	0	4	2	2	4	31	76	0
PCT1104	TO	1012	205	0	1	18	0	186	1	6	4	4	10	40	121	0
PCT1106	ED	1505	127	0	0	5	0	122	2	10	4	1	3	14	88	0
PCT1106	MV	1505	209	0	0	3	0	206	0	20	1	4	8	53	120	0
PCT1106	TO	1505	336	0	0	8	0	328	2	30	5	5	11	67	208	0
PCT1108	ED	908	77	0	0	6	0	71	0	3	2	1	5	10	50	0
PCT1108	MV	908	127	0	0	6	0	121	0	7	3	0	1	38	72	0
PCT1108	TO	908	204	0	0	12	0	192	0	10	5	1	6	48	122	0
PCT1109	ED	805	73	0	0	5	0	68	0	6	3	1	2	13	43	0
PCT1109	MV	805	100	0	1	5	0	94	0	8	2	0	1	28	55	0
PCT1109	TO	805	173	0	1	10	0	162	0	14	5	1	3	41	98	0
PCT1111	ED	1025	73	0	0	4	0	69	0	8	1	2	1	9	48	0
PCT1111	MV	1025	161	0	1	11	0	149	0	8	1	2	2	59	77	0
PCT1111	TO	1025	234	0	1	15	0	218	0	16	2	4	3	68	125	0
PCT1112	ED	770	48	0	1	6	0	41	1	2	2	0	1	10	25	0
PCT1112	MV	770	92	0	1	4	0	87	0	7	4	4	1	33	38	0
PCT1112	TO	770	140	0	2	10	0	128	1	9	6	4	2	43	63	0
PCT1114	ED	1741	92	0	0	16	0	76	0	4	2	1	2	16	51	0
PCT1114	MV	1741	249	0	1	11	0	237	0	15	4	7	14	80	117	0
PCT1114	TO	1741	341	0	1	27	0	313	0	19	6	8	16	96	168	0
PCT1115	ED	1838	118	0	0	16	0	102	0	7	3	2	2	16	72	0
PCT1115	MV	1838	234	0	0	10	0	224	0	14	4	4	7	65	130	0
PCT1115	TO	1838	352	0	0	26	0	326	0	21	7	6	9	81	202	0
PCT1117	ED	1771	104	0	0	4	0	100	2	5	2	4	1	19	67	0
PCT1117	MV	1771	175	0	0	8	0	167	0	9	10	0	5	58	85	0
PCT1117	TO	1771	279	0	0	12	0	267	2	14	12	4	6	77	152	0
PCT1118	ED	1057	86	0	0	9	0	77	1	5	2	0	2	15	52	0
PCT1118	MV	1057	161	0	1	10	0	150	0	8	4	3	8	35	92	0
PCT1118	TO	1057	247	0	1	19	0	227	1	13	6	3	10	50	144	0
PCT1119	ED	771	32	0	0	3	0	29	1	0	0	0	2	4	22	0
PCT1119	MV	771	115	0	0	3	0	112	0	6	0	2	7	20	77	0
PCT1119	TO	771	147	0	0	6	0	141	1	6	0	2	9	24	99	0
PCT1122	ED	638	42	0	0	4	0	38	2	0	1	0	1	7	27	0
PCT1122	MV	638	82	0	0	6	0	76	0	7	2	0	6	36	25	0
PCT1122	TO	638	124	0	0	10	0	114	2	7	3	0	7	43	52	0
PCT1124	ED	812	51	0	0	5	0	46	1	5	1	1	0	6	32	0
PCT1124	MV	812	101	0	1	2	0	98	0	7	0	2	2	29	58	0
PCT1124	TO	812	152	0	1	7	0	144	1	12	1	3	2	35	90	0
PCT1125	ED	1064	37	0	1	4	0	32	0	4	0	0	0	5	23	0
PCT1125	MV	1064	162	0	1	5	0	156	0	2	4	5	3	36	106	0
PCT1125	TO	1064	199	0	2	9	0	188	0	6	4	5	3	41	129	0
PCT1126	ED	1676	93	0	0	17	0	76	0	9	3	2	6	11	45	0
PCT1126	MV	1676	239	0	6	9	0	224	0	10	6	5	9	70	124	0
PCT1126	TO	1676	332	0	6	26	0	300	0	19	9	7	15	81	169	0
PCT1127	ED	1827	105	0	0	7	0	98	0	10	1	5	3	11	68	0
PCT1127	MV	1827	249	0	1	11	0	237	0	5	15	6	16	57	138	0
PCT1127	TO	1827	354	0	1	18	0	335	0	15	16	11	19	68	206	0
PCT1129	ED	1018	63	0	0	9	0	54	1	6	2	5	1	11	28	0
PCT1129	MV	1018	136	0	1	6	0	129	0	8	0	2	8	35	76	0
PCT1129	TO	1018	199	0	1	15	0	183	1	14	2	7	9	46	104	0
PCT1131	ED	836	38	0	0	3	0	35	0	1	2	0	2	7	23	0
PCT1131	MV	836	104	0	2	2	0	100	0	5	3	0	9	32	51	0
PCT1131	TO	836	142	0	2	5	0	135	0	6	5	0	11	39	74	0
PCT1132	ED	1010	34	0	0	3	0	31	0	4	0	0	2	2	23	0
PCT1132	MV	1010	172	0	5	21	0	146	0	7	7	1	1	55	75	0
PCT1132	TO	1010	206	0	5	24	0	177	0	11	7	1	3	57	98	0
PCT1133	ED	857	40	0	0	2	0	38	2	5	0	2	1	7	21	0
PCT1133	MV	857	134	0	1	10	0	123	0	4	3	1	5	27	83	0
PCT1133	TO	857	174	0	1	12	0	161	2	9	3	3	6	34	104	0
PCT1134	ED	762	61	0	1	7	0	53	0	6	3	1	3	7	33	0
PCT1134	MV	762	114	0	0	9	0	105	0	7	3	4	2	20	69	0
PCT1134	TO	762	175	0	1	16	0	158	0	13	6	5	5	27	102	0
PCT1135	ED	554	37	0	1	2	0	34	0	4	0	0	3	6	21	0
PCT1135	MV	554	86	0	0	8	0	78	0	1	0	1	6	32	38	0
PCT1135	TO	554	123	0	1	10	0	112	0	5	0	1	9	38	59	0
PCT1136	ED	847	47	0	0	6	0	41	0	2	0	0	1	11	27	0
PCT1136	MV	847	134	0	0	12	0	122	0	8	2	2	7	35	68	0
PCT1136	TO	847	181	0	0	18	0	163	0	10	2	2	8	46	95	0
PCT1141	ED	1042	61	0	0	5	0	56	0	6	3	2	4	11	30	0
PCT1141	MV	1042	152	0	2	13	0	137	0	7	3	3	6	34	84	0
PCT1141	TO	1042	213	0	2	18	0	193	0	13	6	5	10	45	114	0
PCT1143	ED	1024	88	0	0	11	0	77	2	7	4	0	2	12	50	0
PCT1143	MV	1024	125	0	1	10	0	114	0	4	1	4	4	33	68	0
PCT1143	TO	1024	213	0	1	21	0	191	2	11	5	4	6	45	118	0
PCT1144	ED	1804	126	0	0	13	0	113	2	8	3	1	6	16	77	0
PCT1144	MV	1804	236	0	2	22	0	212	0	11	3	4	10	61	123	0
PCT1144	TO	1804	362	0	2	35	0	325	2	19	6	5	16	77	200	0
PCT1145	ED	894	57	0	0	10	0	47	1	6	0	0	0	5	35	0
PCT1145	MV	894	142	0	0	10	0	132	0	9	4	2	4	30	83	0
PCT1145	TO	894	199	0	0	20	0	179	1	15	4	2	4	35	118	0
PCT1146	ED	1008	72	0	1	13	0	58	0	4	1	1	3	11	38	0
PCT1146	MV	1008	130	0	0	9	0	121	0	6	3	1	6	30	75	0
PCT1146	TO	1008	202	0	1	22	0	179	0	10	4	2	9	41	113	0
PCT1147	ED	868	71	0	1	10	0	60	0	6	2	1	3	6	42	0
PCT1147	MV	868	108	0	0	4	0	104	0	5	4	0	3	29	63	0
PCT1147	TO	868	179	0	1	14	0	164	0	11	6	1	6	35	105	0
PCT1148	ED	1002	73	0	0	10	0	63	2	7	1	2	4	9	38	0
PCT1148	MV	1002	139	0	3	9	0	127	0	7	4	1	4	33	78	0
PCT1148	TO	1002	212	0	3	19	0	190	2	14	5	3	8	42	116	0
PCT1149	ED	911	70	0	0	8	0	62	0	9	1	1	2	8	41	0
PCT1149	MV	911	100	0	0	3	0	97	0	6	4	3	2	24	58	0
PCT1149	TO	911	170	0	0	11	0	159	0	15	5	4	4	32	99	0
PCT1152	ED	1815	126	0	0	17	0	109	3	5	3	4	13	20	61	0
PCT1152	MV	1815	236	0	1	17	0	218	0	11	4	4	11	58	130	0
PCT1152	TO	1815	362	0	1	34	0	327	3	16	7	8	24	78	191	0
PCT7001	ED	752	39	0	0	4	0	35	0	1	0	1	1	2	30	0
PCT7001	MV	752	112	0	0	11	0	101	0	8	0	1	3	7	82	0
PCT7001	TO	752	151	0	0	15	0	136	0	9	0	2	4	9	112	0
PCT7002	ED	659	43	0	0	8	0	35	3	5	0	0	0	3	24	0
PCT7002	MV	659	57	0	0	4	0	53	0	7	0	1	6	4	35	0
PCT7002	TO	659	100	0	0	12	0	88	3	12	0	1	6	7	59	0
PCT7003	ED	1755	179	0	0	27	0	152	4	15	7	2	9	14	101	0
PCT7003	MV	1755	280	0	0	41	0	239	0	21	5	0	11	23	179	0
PCT7003	TO	1755	459	0	0	68	0	391	4	36	12	2	20	37	280	0
PCT7005	ED	850	99	0	0	21	0	78	6	7	3	1	1	8	52	0
PCT7005	MV	850	108	0	1	15	0	92	0	9	5	2	3	4	69	0
