area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	15:SUZY LOFTUS	16:LEIF DAUTCH	17:NANCY TUNG	18:CHESA BOUDIN
RCV3	TO	495050	163739	0	589	9637	18560	134953		67916			67037
RCV2	TO	495050	163739	0	482	9637	5296	148324		53616		38758	55950
RCV1	TO	495050	163739	0	424	9637	0	153678	0	48399	22277	30938	52064
ALLPCTS	TO	495050	163739	0	380	10426	0	152933	180	48154	22049	30670	51880
ALLPCTS	ED	495050	45590	0	42	1716	0	43832	177	13246	5031	6211	19167
ALLPCTS	MV	495050	118149	0	338	8710	0	109101	3	34908	17018	24459	32713
PCT1101	ED	557	39	0	0	0	0	39	0	12	1	6	20
PCT1101	MV	557	137	0	2	11	0	124	0	27	19	41	37
PCT1101	TO	557	176	0	2	11	0	163	0	39	20	47	57
PCT1102	ED	994	117	0	1	8	0	108	0	38	7	13	50
PCT1102	MV	994	263	0	1	19	0	243	0	68	31	77	67
PCT1102	TO	994	380	0	2	27	0	351	0	106	38	90	117
PCT1103	ED	962	88	0	0	0	0	88	0	32	9	17	30
PCT1103	MV	962	209	0	0	9	0	200	0	40	36	70	54
PCT1103	TO	962	297	0	0	9	0	288	0	72	45	87	84
PCT1104	ED	1012	75	0	0	3	0	72	1	15	10	19	27
PCT1104	MV	1012	199	0	0	15	0	184	0	45	29	52	58
PCT1104	TO	1012	274	0	0	18	0	256	1	60	39	71	85
PCT1106	ED	1505	127	0	0	4	0	123	0	37	17	29	40
PCT1106	MV	1505	343	0	1	22	0	320	0	92	45	103	80
PCT1106	TO	1505	470	0	1	26	0	443	0	129	62	132	120
PCT1108	ED	908	77	0	0	4	0	73	0	25	11	10	27
PCT1108	MV	908	202	0	1	14	0	187	0	50	22	66	49
PCT1108	TO	908	279	0	1	18	0	260	0	75	33	76	76
PCT1109	ED	805	73	0	0	3	0	70	0	17	13	16	24
PCT1109	MV	805	216	0	2	11	0	203	0	50	27	72	54
PCT1109	TO	805	289	0	2	14	0	273	0	67	40	88	78
