area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	34:YES	35:NO
ALLPCTS	TO	495050	163861	0	32	9205	154624	120132	34492
ALLPCTS	ED	495050	45586	0	7	2351	43228	34928	8300
ALLPCTS	MV	495050	118275	0	25	6854	111396	85204	26192
PCT1101	ED	557	39	0	0	3	36	26	10
PCT1101	MV	557	138	0	0	6	132	99	33
PCT1101	TO	557	177	0	0	9	168	125	43
PCT1102	ED	994	117	0	0	6	111	88	23
PCT1102	MV	994	263	0	0	6	257	184	73
PCT1102	TO	994	380	0	0	12	368	272	96
PCT1103	ED	962	88	0	0	1	87	62	25
PCT1103	MV	962	209	0	0	5	204	137	67
PCT1103	TO	962	297	0	0	6	291	199	92
PCT1104	ED	1012	76	0	0	5	71	54	17
PCT1104	MV	1012	198	0	0	5	193	145	48
PCT1104	TO	1012	274	0	0	10	264	199	65
PCT1106	ED	1505	127	0	0	5	122	87	35
PCT1106	MV	1505	343	0	0	24	319	215	104
PCT1106	TO	1505	470	0	0	29	441	302	139
PCT1108	ED	908	77	0	0	5	72	60	12
PCT1108	MV	908	202	0	0	12	190	140	50
PCT1108	TO	908	279	0	0	17	262	200	62
PCT1109	ED	805	73	0	0	5	68	56	12
PCT1109	MV	805	216	0	0	16	200	139	61
PCT1109	TO	805	289	0	0	21	268	195	73
PCT1111	ED	1025	73	0	0	1	72	57	15
PCT1111	MV	1025	262	0	0	18	244	175	69
PCT1111	TO	1025	335	0	0	19	316	232	84
PCT1112	ED	770	48	0	0	4	44	33	11
PCT1112	MV	770	171	0	0	5	166	108	58
PCT1112	TO	770	219	0	0	9	210	141	69
PCT1114	ED	1741	92	0	0	8	84	60	24
PCT1114	MV	1741	366	0	0	21	345	240	105
PCT1114	TO	1741	458	0	0	29	429	300	129
PCT1115	ED	1838	118	0	0	4	114	92	22
PCT1115	MV	1838	396	0	0	23	373	251	122
PCT1115	TO	1838	514	0	0	27	487	343	144
PCT1117	ED	1771	104	0	0	8	96	64	32
PCT1117	MV	1771	353	0	0	20	333	222	111
PCT1117	TO	1771	457	0	0	28	429	286	143
PCT1118	ED	1057	86	0	0	4	82	60	22
PCT1118	MV	1057	281	0	0	17	264	174	90
PCT1118	TO	1057	367	0	0	21	346	234	112
PCT1119	ED	771	32	0	0	2	30	24	6
PCT1119	MV	771	201	0	0	8	193	135	58
PCT1119	TO	771	233	0	0	10	223	159	64
PCT1122	ED	638	41	0	0	0	41	32	9
PCT1122	MV	638	167	0	0	14	153	88	65
PCT1122	TO	638	208	0	0	14	194	120	74
PCT1124	ED	812	51	0	0	2	49	38	11
PCT1124	MV	812	166	0	0	4	162	116	46
PCT1124	TO	812	217	0	0	6	211	154	57
PCT1125	ED	1064	37	0	0	1	36	21	15
PCT1125	MV	1064	233	0	0	13	220	145	75
PCT1125	TO	1064	270	0	0	14	256	166	90
PCT1126	ED	1676	91	0	0	4	87	57	30
PCT1126	MV	1676	399	0	0	17	382	249	133
PCT1126	TO	1676	490	0	0	21	469	306	163
PCT1127	ED	1827	107	0	0	4	103	82	21
PCT1127	MV	1827	425	0	0	29	396	260	136
PCT1127	TO	1827	532	0	0	33	499	342	157
PCT1129	ED	1018	62	0	0	4	58	37	21
PCT1129	MV	1018	220	0	0	6	214	138	76
PCT1129	TO	1018	282	0	0	10	272	175	97
PCT1131	ED	836	38	0	0	2	36	27	9
PCT1131	MV	836	207	0	0	12	195	120	75
PCT1131	TO	836	245	0	0	14	231	147	84
PCT1132	ED	1010	34	0	0	1	33	25	8
PCT1132	MV	1010	263	0	0	20	243	164	79
PCT1132	TO	1010	297	0	0	21	276	189	87
PCT1133	ED	857	40	0	0	2	38	28	10
PCT1133	MV	857	220	0	0	13	207	155	52
PCT1133	TO	857	260	0	0	15	245	183	62
PCT1134	ED	762	61	0	0	3	58	48	10
PCT1134	MV	762	195	0	0	8	187	139	48
PCT1134	TO	762	256	0	0	11	245	187	58
PCT1135	ED	554	37	0	0	3	34	20	14
PCT1135	MV	554	146	0	0	11	135	88	47
PCT1135	TO	554	183	0	0	14	169	108	61
PCT1136	ED	847	47	0	0	2	45	30	15
PCT1136	MV	847	217	0	0	13	204	128	76
PCT1136	TO	847	264	0	0	15	249	158	91
PCT1141	ED	1042	61	0	0	3	58	45	13
PCT1141	MV	1042	267	0	0	10	257	179	78
PCT1141	TO	1042	328	0	0	13	315	224	91
PCT1143	ED	1024	87	0	0	7	80	67	13
PCT1143	MV	1024	207	0	1	18	188	121	67
PCT1143	TO	1024	294	0	1	25	268	188	80
PCT1144	ED	1804	126	0	0	7	119	84	35
PCT1144	MV	1804	372	0	0	21	351	240	111
PCT1144	TO	1804	498	0	0	28	470	324	146
PCT1145	ED	894	57	0	0	4	53	46	7
PCT1145	MV	894	254	0	0	12	242	169	73
PCT1145	TO	894	311	0	0	16	295	215	80
PCT1146	ED	1008	71	0	0	0	71	56	15
PCT1146	MV	1008	206	0	1	16	189	129	60
PCT1146	TO	1008	277	0	1	16	260	185	75
PCT1147	ED	868	71	0	0	1	70	55	15
PCT1147	MV	868	196	0	0	11	185	144	41
PCT1147	TO	868	267	0	0	12	255	199	56
PCT1148	ED	1002	73	0	0	9	64	47	17
PCT1148	MV	1002	238	0	0	12	226	149	77
PCT1148	TO	1002	311	0	0	21	290	196	94
PCT1149	ED	911	70	0	0	3	67	54	13
PCT1149	MV	911	205	0	0	12	193	131	62
PCT1149	TO	911	275	0	0	15	260	185	75
PCT1152	ED	1815	126	0	0	4	122	76	46
PCT1152	MV	1815	433	0	1	24	408	289	119
PCT1152	TO	1815	559	0	1	28	530	365	165
