area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	24:JOSÉ CISNEROS
ALLPCTS	TO	495050	115179	0	24	26968	0	88187	293	87894
ALLPCTS	ED	495050	45590	0	6	10096	0	35488	292	35196
ALLPCTS	MV	495050	69589	0	18	16872	0	52699	1	52698
PCT1101	ED	557	39	0	0	7	0	32	0	32
PCT1101	MV	557	82	0	0	12	0	70	0	70
PCT1101	TO	557	121	0	0	19	0	102	0	102
PCT1102	ED	994	117	0	0	27	0	90	1	89
PCT1102	MV	994	137	0	0	31	0	106	0	106
PCT1102	TO	994	254	0	0	58	0	196	1	195
PCT1103	ED	962	88	0	0	15	0	73	0	73
PCT1103	MV	962	121	0	0	22	0	99	0	99
PCT1103	TO	962	209	0	0	37	0	172	0	172
PCT1104	ED	1012	75	0	0	14	0	61	0	61
PCT1104	MV	1012	130	0	0	28	0	102	0	102
PCT1104	TO	1012	205	0	0	42	0	163	0	163
PCT1106	ED	1505	127	0	0	26	0	101	1	100
PCT1106	MV	1505	209	0	0	53	0	156	0	156
PCT1106	TO	1505	336	0	0	79	0	257	1	256
PCT1108	ED	908	77	0	0	10	0	67	0	67
PCT1108	MV	908	127	0	0	28	0	99	0	99
PCT1108	TO	908	204	0	0	38	0	166	0	166
PCT1109	ED	805	73	0	0	15	0	58	1	57
PCT1109	MV	805	100	0	0	24	0	76	0	76
PCT1109	TO	805	173	0	0	39	0	134	1	133
PCT1111	ED	1025	73	0	0	11	0	62	1	61
PCT1111	MV	1025	161	0	0	50	0	111	0	111
PCT1111	TO	1025	234	0	0	61	0	173	1	172
PCT1112	ED	770	48	0	0	10	0	38	1	37
PCT1112	MV	770	92	0	0	20	0	72	0	72
PCT1112	TO	770	140	0	0	30	0	110	1	109
PCT1114	ED	1741	92	0	0	23	0	69	0	69
PCT1114	MV	1741	249	0	0	59	0	190	0	190
PCT1114	TO	1741	341	0	0	82	0	259	0	259
PCT1115	ED	1838	118	0	0	33	0	85	0	85
PCT1115	MV	1838	234	0	0	53	0	181	0	181
PCT1115	TO	1838	352	0	0	86	0	266	0	266
PCT1117	ED	1771	104	0	0	18	0	86	0	86
PCT1117	MV	1771	175	0	0	45	0	130	0	130
PCT1117	TO	1771	279	0	0	63	0	216	0	216
PCT1118	ED	1057	86	0	0	17	0	69	1	68
PCT1118	MV	1057	161	0	0	35	0	126	0	126
PCT1118	TO	1057	247	0	0	52	0	195	1	194
PCT1119	ED	771	32	0	0	8	0	24	2	22
PCT1119	MV	771	115	0	0	27	0	88	0	88
PCT1119	TO	771	147	0	0	35	0	112	2	110
PCT1122	ED	638	42	0	0	7	0	35	0	35
PCT1122	MV	638	82	0	0	30	0	52	0	52
PCT1122	TO	638	124	0	0	37	0	87	0	87
PCT1124	ED	812	51	0	0	10	0	41	3	38
PCT1124	MV	812	101	0	0	12	0	89	0	89
PCT1124	TO	812	152	0	0	22	0	130	3	127
PCT1125	ED	1064	37	0	0	11	0	26	1	25
PCT1125	MV	1064	162	0	0	32	0	130	0	130
PCT1125	TO	1064	199	0	0	43	0	156	1	155
PCT1126	ED	1676	93	0	0	9	0	84	0	84
PCT1126	MV	1676	239	0	0	59	0	180	0	180
PCT1126	TO	1676	332	0	0	68	0	264	0	264
PCT1127	ED	1827	105	0	0	21	0	84	0	84
PCT1127	MV	1827	249	0	0	51	0	198	0	198
PCT1127	TO	1827	354	0	0	72	0	282	0	282
PCT1129	ED	1018	63	0	0	10	0	53	3	50
