area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	22:PAUL MIYAMOTO
ALLPCTS	TO	495050	206117	0	37	59452	0	146628	0	146628
ALLPCTS	ED	495050	59423	0	10	16886	0	42527	0	42527
ALLPCTS	MV	495050	146694	0	27	42566	0	104101	0	104101
PCT1101	ED	557	54	0	0	10	0	44	0	44
PCT1101	MV	557	165	0	0	28	0	137	0	137
PCT1101	TO	557	219	0	0	38	0	181	0	181
PCT1102	ED	994	145	0	0	40	0	105	0	105
PCT1102	MV	994	304	0	0	81	0	223	0	223
PCT1102	TO	994	449	0	0	121	0	328	0	328
PCT1103	ED	962	111	0	0	34	0	77	0	77
PCT1103	MV	962	283	0	0	74	0	209	0	209
PCT1103	TO	962	394	0	0	108	0	286	0	286
PCT1104	ED	1012	109	0	0	29	0	80	0	80
PCT1104	MV	1012	271	0	0	80	0	191	0	191
PCT1104	TO	1012	380	0	0	109	0	271	0	271
PCT1106	ED	1505	168	0	1	38	0	129	0	129
PCT1106	MV	1505	435	0	0	128	0	307	0	307
PCT1106	TO	1505	603	0	1	166	0	436	0	436
PCT1108	ED	908	95	0	0	16	0	79	0	79
PCT1108	MV	908	273	0	0	87	0	186	0	186
PCT1108	TO	908	368	0	0	103	0	265	0	265
PCT1109	ED	805	93	0	0	26	0	67	0	67
PCT1109	MV	805	233	0	0	68	0	165	0	165
PCT1109	TO	805	326	0	0	94	0	232	0	232
PCT1111	ED	1025	106	0	0	30	0	76	0	76
PCT1111	MV	1025	300	0	0	103	0	197	0	197
PCT1111	TO	1025	406	0	0	133	0	273	0	273
PCT1112	ED	770	65	0	0	19	0	46	0	46
PCT1112	MV	770	221	0	0	50	0	171	0	171
PCT1112	TO	770	286	0	0	69	0	217	0	217
PCT1114	ED	1741	129	0	0	40	0	89	0	89
PCT1114	MV	1741	498	0	1	151	0	346	0	346
PCT1114	TO	1741	627	0	1	191	0	435	0	435
PCT1115	ED	1838	165	0	0	53	0	112	0	112
PCT1115	MV	1838	467	0	0	127	0	340	0	340
PCT1115	TO	1838	632	0	0	180	0	452	0	452
PCT1117	ED	1771	155	0	0	40	0	115	0	115
PCT1117	MV	1771	442	0	1	120	0	321	0	321
PCT1117	TO	1771	597	0	1	160	0	436	0	436
PCT1118	ED	1057	99	0	0	25	0	74	0	74
PCT1118	MV	1057	320	0	1	90	0	229	0	229
PCT1118	TO	1057	419	0	1	115	0	303	0	303
PCT1119	ED	771	67	0	0	21	0	46	0	46
PCT1119	MV	771	226	0	0	63	0	163	0	163
PCT1119	TO	771	293	0	0	84	0	209	0	209
PCT1122	ED	638	49	0	0	10	0	39	0	39
PCT1122	MV	638	188	0	0	63	0	125	0	125
PCT1122	TO	638	237	0	0	73	0	164	0	164
PCT1124	ED	812	64	0	0	20	0	44	0	44
PCT1124	MV	812	188	0	0	42	0	146	0	146
PCT1124	TO	812	252	0	0	62	0	190	0	190
PCT1125	ED	1064	48	0	0	15	0	33	0	33
PCT1125	MV	1064	270	0	0	51	0	219	0	219
PCT1125	TO	1064	318	0	0	66	0	252	0	252
PCT1126	ED	1676	122	0	0	35	0	87	0	87
PCT1126	MV	1676	441	0	0	110	0	331	0	331
PCT1126	TO	1676	563	0	0	145	0	418	0	418
PCT1127	ED	1827	157	0	0	40	0	117	0	117
PCT1127	MV	1827	489	0	0	122	0	367	0	367
PCT1127	TO	1827	646	0	0	162	0	484	0	484
PCT1129	ED	1018	86	0	0	20	0	66	0	66
PCT1129	MV	1018	253	0	0	61	0	192	0	192
PCT1129	TO	1018	339	0	0	81	0	258	0	258
PCT1131	ED	836	49	0	0	13	0	36	0	36
PCT1131	MV	836	227	0	0	57	0	170	0	170
PCT1131	TO	836	276	0	0	70	0	206	0	206
PCT1132	ED	1010	47	0	0	9	0	38	0	38
PCT1132	MV	1010	312	0	0	114	0	198	0	198
PCT1132	TO	1010	359	0	0	123	0	236	0	236
PCT1133	ED	857	49	0	0	16	0	33	0	33
PCT1133	MV	857	255	0	0	64	0	191	0	191
PCT1133	TO	857	304	0	0	80	0	224	0	224
PCT1134	ED	762	70	0	0	19	0	51	0	51
PCT1134	MV	762	215	0	0	59	0	156	0	156
PCT1134	TO	762	285	0	0	78	0	207	0	207
PCT1135	ED	554	46	0	0	11	0	35	0	35
PCT1135	MV	554	195	0	0	68	0	127	0	127
PCT1135	TO	554	241	0	0	79	0	162	0	162
PCT1136	ED	847	53	0	0	15	0	38	0	38
PCT1136	MV	847	246	0	0	81	0	165	0	165
PCT1136	TO	847	299	0	0	96	0	203	0	203
PCT1141	ED	1042	103	0	0	30	0	73	0	73
PCT1141	MV	1042	308	0	0	81	0	227	0	227
PCT1141	TO	1042	411	0	0	111	0	300	0	300
PCT1143	ED	1024	110	0	0	27	0	83	0	83
PCT1143	MV	1024	256	0	2	76	0	178	0	178
PCT1143	TO	1024	366	0	2	103	0	261	0	261
PCT1144	ED	1804	177	0	0	52	0	125	0	125
PCT1144	MV	1804	514	0	0	184	0	330	0	330
PCT1144	TO	1804	691	0	0	236	0	455	0	455
PCT1145	ED	894	83	0	0	27	0	56	0	56
PCT1145	MV	894	296	0	0	85	0	211	0	211
PCT1145	TO	894	379	0	0	112	0	267	0	267
PCT1146	ED	1008	84	0	0	27	0	57	0	57
PCT1146	MV	1008	275	0	0	73	0	202	0	202
PCT1146	TO	1008	359	0	0	100	0	259	0	259
PCT1147	ED	868	89	0	0	28	0	61	0	61
PCT1147	MV	868	235	0	0	60	0	175	0	175
PCT1147	TO	868	324	0	0	88	0	236	0	236
PCT1148	ED	1002	100	0	0	32	0	68	0	68
PCT1148	MV	1002	269	0	0	58	0	211	0	211
PCT1148	TO	1002	369	0	0	90	0	279	0	279
PCT1149	ED	911	90	0	0	26	0	64	0	64
PCT1149	MV	911	239	0	0	64	0	175	0	175
PCT1149	TO	911	329	0	0	90	0	239	0	239
PCT1152	ED	1815	155	0	0	38	0	117	0	117
PCT1152	MV	1815	497	0	0	134	0	363	0	363
PCT1152	TO	1815	652	0	0	172	0	480	0	480
PCT7001	ED	752	59	0	0	18	0	41	0	41
PCT7001	MV	752	231	0	0	64	0	167	0	167
PCT7001	TO	752	290	0	0	82	0	208	0	208
PCT7002	ED	659	61	0	0	16	0	45	0	45
PCT7002	MV	659	151	0	0	44	0	107	0	107
PCT7002	TO	659	212	0	0	60	0	152	0	152
PCT7003	ED	1755	233	0	0	73	0	160	0	160
PCT7003	MV	1755	606	0	0	190	0	416	0	416
PCT7003	TO	1755	839	0	0	263	0	576	0	576
PCT7005	ED	850	124	0	0	37	0	87	0	87
