area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	30:IVY LEE
ALLPCTS	TO	495050	163861	0	45	37377	126439	385	126054
ALLPCTS	ED	495050	45586	0	8	8659	36919	383	36536
ALLPCTS	MV	495050	118275	0	37	28718	89520	2	89518
PCT1101	ED	557	39	0	0	10	29	1	28
PCT1101	MV	557	138	0	0	25	113	0	113
PCT1101	TO	557	177	0	0	35	142	1	141
PCT1102	ED	994	117	0	0	21	96	0	96
PCT1102	MV	994	263	0	0	47	216	0	216
PCT1102	TO	994	380	0	0	68	312	0	312
PCT1103	ED	962	88	0	0	16	72	0	72
PCT1103	MV	962	209	0	0	41	168	0	168
PCT1103	TO	962	297	0	0	57	240	0	240
PCT1104	ED	1012	76	0	0	17	59	1	58
PCT1104	MV	1012	198	0	0	42	156	0	156
PCT1104	TO	1012	274	0	0	59	215	1	214
PCT1106	ED	1505	127	0	0	23	104	2	102
PCT1106	MV	1505	343	0	0	78	265	0	265
PCT1106	TO	1505	470	0	0	101	369	2	367
PCT1108	ED	908	77	0	0	13	64	0	64
PCT1108	MV	908	202	0	0	52	150	0	150
PCT1108	TO	908	279	0	0	65	214	0	214
PCT1109	ED	805	73	0	0	8	65	3	62
PCT1109	MV	805	216	0	0	50	166	0	166
PCT1109	TO	805	289	0	0	58	231	3	228
PCT1111	ED	1025	73	0	1	10	62	2	60
PCT1111	MV	1025	262	0	0	58	204	0	204
PCT1111	TO	1025	335	0	1	68	266	2	264
PCT1112	ED	770	48	0	0	11	37	1	36
PCT1112	MV	770	171	0	0	31	140	0	140
PCT1112	TO	770	219	0	0	42	177	1	176
PCT1114	ED	1741	92	0	0	16	76	0	76
PCT1114	MV	1741	366	0	0	79	287	0	287
PCT1114	TO	1741	458	0	0	95	363	0	363
PCT1115	ED	1838	118	0	0	26	92	2	90
PCT1115	MV	1838	396	0	1	72	323	0	323
PCT1115	TO	1838	514	0	1	98	415	2	413
PCT1117	ED	1771	104	0	0	16	88	2	86
PCT1117	MV	1771	353	0	0	80	273	0	273
PCT1117	TO	1771	457	0	0	96	361	2	359
PCT1118	ED	1057	86	0	0	9	77	2	75
PCT1118	MV	1057	281	0	0	64	217	0	217
PCT1118	TO	1057	367	0	0	73	294	2	292
PCT1119	ED	771	32	0	0	6	26	1	25
PCT1119	MV	771	201	0	0	45	156	0	156
PCT1119	TO	771	233	0	0	51	182	1	181
PCT1122	ED	638	41	0	0	8	33	0	33
PCT1122	MV	638	167	0	0	46	121	0	121
PCT1122	TO	638	208	0	0	54	154	0	154
PCT1124	ED	812	51	0	0	10	41	2	39
PCT1124	MV	812	166	0	0	28	138	0	138
PCT1124	TO	812	217	0	0	38	179	2	177
PCT1125	ED	1064	37	0	0	9	28	2	26
PCT1125	MV	1064	233	0	0	41	192	0	192
PCT1125	TO	1064	270	0	0	50	220	2	218
PCT1126	ED	1676	91	0	0	13	78	0	78
PCT1126	MV	1676	399	0	0	77	322	0	322
PCT1126	TO	1676	490	0	0	90	400	0	400
PCT1127	ED	1827	107	0	0	17	90	0	90
PCT1127	MV	1827	425	0	0	81	344	0	344
PCT1127	TO	1827	532	0	0	98	434	0	434
PCT1129	ED	1018	62	0	0	11	51	1	50
PCT1129	MV	1018	220	0	0	39	181	0	181
PCT1129	TO	1018	282	0	0	50	232	1	231
PCT1131	ED	836	38	0	0	5	33	0	33
PCT1131	MV	836	207	0	0	43	164	0	164
PCT1131	TO	836	245	0	0	48	197	0	197
PCT1132	ED	1010	34	0	0	1	33	0	33
PCT1132	MV	1010	263	0	1	64	198	0	198
PCT1132	TO	1010	297	0	1	65	231	0	231
PCT1133	ED	857	40	0	0	10	30	2	28
PCT1133	MV	857	220	0	0	40	180	0	180
PCT1133	TO	857	260	0	0	50	210	2	208
PCT1134	ED	762	61	0	0	7	54	2	52
PCT1134	MV	762	195	0	0	38	157	0	157
PCT1134	TO	762	256	0	0	45	211	2	209
PCT1135	ED	554	37	0	0	2	35	1	34
PCT1135	MV	554	146	0	0	34	112	0	112
PCT1135	TO	554	183	0	0	36	147	1	146
PCT1136	ED	847	47	0	0	10	37	0	37
PCT1136	MV	847	217	0	0	58	159	0	159
PCT1136	TO	847	264	0	0	68	196	0	196
PCT1141	ED	1042	61	0	0	8	53	0	53
PCT1141	MV	1042	267	0	0	58	209	0	209
PCT1141	TO	1042	328	0	0	66	262	0	262
PCT1143	ED	1024	87	0	0	10	77	0	77
PCT1143	MV	1024	207	0	2	52	153	0	153
PCT1143	TO	1024	294	0	2	62	230	0	230
PCT1144	ED	1804	126	0	0	21	105	1	104
PCT1144	MV	1804	372	0	0	104	268	0	268
PCT1144	TO	1804	498	0	0	125	373	1	372
PCT1145	ED	894	57	0	0	11	46	0	46
PCT1145	MV	894	254	0	0	54	200	0	200
PCT1145	TO	894	311	0	0	65	246	0	246
PCT1146	ED	1008	71	0	0	13	58	0	58
PCT1146	MV	1008	206	0	0	39	167	0	167
PCT1146	TO	1008	277	0	0	52	225	0	225
PCT1147	ED	868	71	0	0	11	60	0	60
PCT1147	MV	868	196	0	0	34	162	0	162
PCT1147	TO	868	267	0	0	45	222	0	222
PCT1148	ED	1002	73	0	0	11	62	4	58
PCT1148	MV	1002	238	0	0	63	175	0	175
PCT1148	TO	1002	311	0	0	74	237	4	233
PCT1149	ED	911	70	0	0	13	57	0	57
PCT1149	MV	911	205	0	0	51	154	0	154
PCT1149	TO	911	275	0	0	64	211	0	211
PCT1152	ED	1815	126	0	0	19	107	4	103
PCT1152	MV	1815	433	0	0	87	346	0	346
PCT1152	TO	1815	559	0	0	106	453	4	449
PCT7001	ED	752	39	0	0	4	35	0	35
PCT7001	MV	752	184	0	0	36	148	0	148
PCT7001	TO	752	223	0	0	40	183	0	183
PCT7002	ED	659	43	0	0	5	38	0	38
PCT7002	MV	659	123	0	0	29	94	0	94
PCT7002	TO	659	166	0	0	34	132	0	132
PCT7003	ED	1755	179	0	0	33	146	0	146
PCT7003	MV	1755	431	0	0	98	333	0	333
PCT7003	TO	1755	610	0	0	131	479	0	479
PCT7005	ED	850	99	0	0	20	79	0	79
PCT7005	MV	850	241	0	0	61	180	0	180
