area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	13:DENNIS J. HERRERA
ALLPCTS	TO	495050	115179	0	31	23478	0	91670	315	91355
ALLPCTS	ED	495050	45590	0	8	7938	0	37644	313	37331
ALLPCTS	MV	495050	69589	0	23	15540	0	54026	2	54024
PCT1101	ED	557	39	0	0	6	0	33	0	33
PCT1101	MV	557	82	0	0	14	0	68	0	68
PCT1101	TO	557	121	0	0	20	0	101	0	101
PCT1102	ED	994	117	0	0	18	0	99	0	99
PCT1102	MV	994	137	0	0	28	0	109	0	109
PCT1102	TO	994	254	0	0	46	0	208	0	208
PCT1103	ED	962	88	0	0	13	0	75	0	75
PCT1103	MV	962	121	0	0	22	0	99	0	99
PCT1103	TO	962	209	0	0	35	0	174	0	174
PCT1104	ED	1012	75	0	0	13	0	62	1	61
PCT1104	MV	1012	130	0	0	28	0	102	0	102
PCT1104	TO	1012	205	0	0	41	0	164	1	163
PCT1106	ED	1505	127	0	0	22	0	105	0	105
PCT1106	MV	1505	209	0	0	49	0	160	0	160
PCT1106	TO	1505	336	0	0	71	0	265	0	265
PCT1108	ED	908	77	0	0	11	0	66	0	66
PCT1108	MV	908	127	0	0	23	0	104	0	104
PCT1108	TO	908	204	0	0	34	0	170	0	170
PCT1109	ED	805	73	0	0	15	0	58	1	57
PCT1109	MV	805	100	0	0	23	0	77	0	77
PCT1109	TO	805	173	0	0	38	0	135	1	134
PCT1111	ED	1025	73	0	0	13	0	60	1	59
PCT1111	MV	1025	161	0	0	48	0	113	0	113
PCT1111	TO	1025	234	0	0	61	0	173	1	172
PCT1112	ED	770	48	0	0	8	0	40	1	39
PCT1112	MV	770	92	0	0	22	0	70	0	70
PCT1112	TO	770	140	0	0	30	0	110	1	109
PCT1114	ED	1741	92	0	0	21	0	71	1	70
PCT1114	MV	1741	249	0	0	53	0	196	0	196
PCT1114	TO	1741	341	0	0	74	0	267	1	266
PCT1115	ED	1838	118	0	0	23	0	95	1	94
PCT1115	MV	1838	234	0	0	50	0	184	0	184
PCT1115	TO	1838	352	0	0	73	0	279	1	278
PCT1117	ED	1771	104	0	0	16	0	88	0	88
PCT1117	MV	1771	175	0	0	41	0	134	0	134
PCT1117	TO	1771	279	0	0	57	0	222	0	222
PCT1118	ED	1057	86	0	0	9	0	77	1	76
PCT1118	MV	1057	161	0	0	25	0	136	0	136
PCT1118	TO	1057	247	0	0	34	0	213	1	212
PCT1119	ED	771	32	0	0	7	0	25	1	24
PCT1119	MV	771	115	0	0	25	0	90	0	90
PCT1119	TO	771	147	0	0	32	0	115	1	114
PCT1122	ED	638	42	0	0	9	0	33	0	33
PCT1122	MV	638	82	0	0	37	0	45	0	45
PCT1122	TO	638	124	0	0	46	0	78	0	78
PCT1124	ED	812	51	0	0	12	0	39	3	36
PCT1124	MV	812	101	0	0	13	0	88	0	88
PCT1124	TO	812	152	0	0	25	0	127	3	124
PCT1125	ED	1064	37	0	0	8	0	29	1	28
PCT1125	MV	1064	162	0	0	36	0	126	0	126
PCT1125	TO	1064	199	0	0	44	0	155	1	154
PCT1126	ED	1676	93	0	0	10	0	83	2	81
PCT1126	MV	1676	239	0	0	50	0	189	0	189
PCT1126	TO	1676	332	0	0	60	0	272	2	270
PCT1127	ED	1827	105	0	0	14	0	91	0	91
PCT1127	MV	1827	249	0	0	45	0	204	0	204
PCT1127	TO	1827	354	0	0	59	0	295	0	295
PCT1129	ED	1018	63	0	0	12	0	51	3	48
PCT1129	MV	1018	136	0	0	16	0	120	0	120
PCT1129	TO	1018	199	0	0	28	0	171	3	168
PCT1131	ED	836	38	0	0	7	0	31	0	31
PCT1131	MV	836	104	0	1	26	0	77	0	77
PCT1131	TO	836	142	0	1	33	0	108	0	108
PCT1132	ED	1010	34	0	0	4	0	30	0	30
PCT1132	MV	1010	172	0	0	39	0	133	0	133
PCT1132	TO	1010	206	0	0	43	0	163	0	163
PCT1133	ED	857	40	0	0	6	0	34	0	34
PCT1133	MV	857	134	0	0	26	0	108	0	108
PCT1133	TO	857	174	0	0	32	0	142	0	142
PCT1134	ED	762	61	0	0	10	0	51	0	51
PCT1134	MV	762	114	0	0	23	0	91	0	91
PCT1134	TO	762	175	0	0	33	0	142	0	142
PCT1135	ED	554	37	0	0	6	0	31	0	31
PCT1135	MV	554	86	0	0	19	0	67	1	66
PCT1135	TO	554	123	0	0	25	0	98	1	97
PCT1136	ED	847	47	0	0	11	0	36	1	35
PCT1136	MV	847	134	0	0	35	0	99	0	99
PCT1136	TO	847	181	0	0	46	0	135	1	134
PCT1141	ED	1042	61	0	0	9	0	52	0	52
PCT1141	MV	1042	152	0	0	32	0	120	0	120
PCT1141	TO	1042	213	0	0	41	0	172	0	172
PCT1143	ED	1024	88	0	0	14	0	74	1	73
PCT1143	MV	1024	125	0	0	38	0	87	0	87
PCT1143	TO	1024	213	0	0	52	0	161	1	160
PCT1144	ED	1804	126	0	0	24	0	102	1	101
PCT1144	MV	1804	236	0	0	64	0	172	0	172
PCT1144	TO	1804	362	0	0	88	0	274	1	273
PCT1145	ED	894	57	0	0	10	0	47	0	47
PCT1145	MV	894	142	0	0	26	0	116	0	116
PCT1145	TO	894	199	0	0	36	0	163	0	163
PCT1146	ED	1008	72	0	0	13	0	59	0	59
PCT1146	MV	1008	130	0	0	27	0	103	0	103
PCT1146	TO	1008	202	0	0	40	0	162	0	162
PCT1147	ED	868	71	0	0	12	0	59	0	59
PCT1147	MV	868	108	0	0	21	0	87	0	87
PCT1147	TO	868	179	0	0	33	0	146	0	146
PCT1148	ED	1002	73	0	0	13	0	60	3	57
PCT1148	MV	1002	139	0	0	36	0	103	0	103
PCT1148	TO	1002	212	0	0	49	0	163	3	160
PCT1149	ED	911	70	0	0	11	0	59	0	59
PCT1149	MV	911	100	0	0	23	0	77	0	77
PCT1149	TO	911	170	0	0	34	0	136	0	136
PCT1152	ED	1815	126	0	0	20	0	106	1	105
PCT1152	MV	1815	236	0	0	47	0	189	0	189
PCT1152	TO	1815	362	0	0	67	0	295	1	294
PCT7001	ED	752	39	0	0	2	0	37	0	37
PCT7001	MV	752	112	0	0	25	0	87	0	87
PCT7001	TO	752	151	0	0	27	0	124	0	124
PCT7002	ED	659	43	0	0	4	0	39	1	38
PCT7002	MV	659	57	0	0	16	0	41	0	41
PCT7002	TO	659	100	0	0	20	0	80	1	79
PCT7003	ED	1755	179	0	0	32	0	147	0	147
PCT7003	MV	1755	280	0	0	50	0	230	0	230
PCT7003	TO	1755	459	0	0	82	0	377	0	377
PCT7005	ED	850	99	0	0	10	0	89	1	88
PCT7005	MV	850	108	0	0	24	0	84	0	84
PCT7005	TO	850	207	0	0	34	0	173	1	172
PCT7006	ED	921	88	0	0	13	0	75	1	74
PCT7006	MV	921	106	0	0	21	0	85	0	85
PCT7006	TO	921	194	0	0	34	0	160	1	159
PCT7007	ED	1821	210	0	0	29	0	181	0	181
PCT7007	MV	1821	285	0	0	65	0	220	0	220
