area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	8:RYAN LAM	9:DEAN PRESTON	10:NOMVULA O'MEARA	11:VALLIE BROWN
RCV3	TO	51976	24765	0	48	1050	406	23261			11723		11538
RCV2	TO	51976	24765	0	41	1050	71	23603		1035	11309		11259
RCV1	TO	51976	24765	0	40	1050	0	23675	0	950	11239	278	11208
ALLPCTS	TO	51976	24765	0	39	1253	0	23473	0	918	11119	265	11171
ALLPCTS	ED	51976	8348	0	8	405	0	7935	0	223	4249	109	3354
ALLPCTS	MV	51976	16417	0	31	848	0	15538	0	695	6870	156	7817
PCT7502	ED	779	70	0	0	3	0	67	0	6	26	4	31
PCT7502	MV	779	248	0	2	12	0	234	0	19	93	4	118
PCT7502	TO	779	318	0	2	15	0	301	0	25	119	8	149
PCT7503	ED	725	79	0	0	4	0	75	0	2	40	1	32
PCT7503	MV	725	204	0	0	16	0	188	0	24	65	3	96
PCT7503	TO	725	283	0	0	20	0	263	0	26	105	4	128
PCT7504	ED	1019	121	0	0	12	0	109	0	8	29	1	71
PCT7504	MV	1019	308	0	1	22	0	285	0	18	98	8	161
PCT7504	TO	1019	429	0	1	34	0	394	0	26	127	9	232
PCT7505	ED	851	101	0	0	8	0	93	0	4	27	3	59
PCT7505	MV	851	363	0	0	37	0	326	0	30	97	2	197
PCT7505	TO	851	464	0	0	45	0	419	0	34	124	5	256
PCT7506	ED	1913	188	0	1	21	0	166	0	8	93	2	63
PCT7506	MV	1913	514	0	2	42	0	470	0	44	203	2	221
PCT7506	TO	1913	702	0	3	63	0	636	0	52	296	4	284
PCT7508	ED	720	96	0	0	8	0	88	0	11	37	1	39
PCT7508	MV	720	286	0	0	16	0	270	0	46	91	5	128
PCT7508	TO	720	382	0	0	24	0	358	0	57	128	6	167
PCT7509	ED	914	128	0	0	16	0	112	0	7	58	2	45
PCT7509	MV	914	287	0	2	14	0	271	0	27	112	8	124
PCT7509	TO	914	415	0	2	30	0	383	0	34	170	10	169
PCT7512	ED	588	78	0	0	12	0	66	0	4	32	2	28
PCT7512	MV	588	207	0	0	18	0	189	0	14	82	3	90
PCT7512	TO	588	285	0	0	30	0	255	0	18	114	5	118
PCT7513	ED	784	101	0	0	8	0	93	0	4	44	2	43
PCT7513	MV	784	194	0	2	16	0	176	0	31	79	2	64
PCT7513	TO	784	295	0	2	24	0	269	0	35	123	4	107
