area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	20:MANOHAR "MANO" RAJU
ALLPCTS	TO	495050	163739	0	28	37086	0	126625	295	126330
ALLPCTS	ED	495050	45590	0	3	8112	0	37475	292	37183
ALLPCTS	MV	495050	118149	0	25	28974	0	89150	3	89147
PCT1101	ED	557	39	0	0	7	0	32	0	32
PCT1101	MV	557	137	0	0	23	0	114	0	114
PCT1101	TO	557	176	0	0	30	0	146	0	146
PCT1102	ED	994	117	0	0	18	0	99	0	99
PCT1102	MV	994	263	0	0	66	0	197	0	197
PCT1102	TO	994	380	0	0	84	0	296	0	296
PCT1103	ED	962	88	0	0	18	0	70	0	70
PCT1103	MV	962	209	0	0	45	0	164	0	164
PCT1103	TO	962	297	0	0	63	0	234	0	234
PCT1104	ED	1012	75	0	0	17	0	58	1	57
PCT1104	MV	1012	199	0	0	48	0	151	0	151
PCT1104	TO	1012	274	0	0	65	0	209	1	208
PCT1106	ED	1505	127	0	0	21	0	106	0	106
PCT1106	MV	1505	343	0	0	102	0	241	0	241
PCT1106	TO	1505	470	0	0	123	0	347	0	347
PCT1108	ED	908	77	0	0	12	0	65	0	65
PCT1108	MV	908	202	0	0	54	0	148	0	148
PCT1108	TO	908	279	0	0	66	0	213	0	213
PCT1109	ED	805	73	0	0	14	0	59	2	57
PCT1109	MV	805	216	0	0	60	0	156	0	156
PCT1109	TO	805	289	0	0	74	0	215	2	213
PCT1111	ED	1025	73	0	0	10	0	63	1	62
PCT1111	MV	1025	262	0	0	78	0	184	0	184
PCT1111	TO	1025	335	0	0	88	0	247	1	246
PCT1112	ED	770	48	0	0	12	0	36	1	35
PCT1112	MV	770	173	0	0	42	0	131	0	131
PCT1112	TO	770	221	0	0	54	0	167	1	166
PCT1114	ED	1741	92	0	0	17	0	75	0	75
PCT1114	MV	1741	365	0	0	102	0	263	0	263
PCT1114	TO	1741	457	0	0	119	0	338	0	338
PCT1115	ED	1838	118	0	0	23	0	95	1	94
PCT1115	MV	1838	396	0	0	91	0	305	0	305
PCT1115	TO	1838	514	0	0	114	0	400	1	399
PCT1117	ED	1771	104	0	0	23	0	81	0	81
PCT1117	MV	1771	351	0	0	88	0	263	0	263
PCT1117	TO	1771	455	0	0	111	0	344	0	344
PCT1118	ED	1057	86	0	0	11	0	75	0	75
PCT1118	MV	1057	282	0	0	70	0	212	0	212
PCT1118	TO	1057	368	0	0	81	0	287	0	287
PCT1119	ED	771	32	0	0	6	0	26	1	25
PCT1119	MV	771	203	0	0	51	0	152	0	152
PCT1119	TO	771	235	0	0	57	0	178	1	177
PCT1122	ED	638	42	0	0	9	0	33	0	33
PCT1122	MV	638	167	0	0	55	0	112	0	112
PCT1122	TO	638	209	0	0	64	0	145	0	145
PCT1124	ED	812	51	0	0	10	0	41	2	39
PCT1124	MV	812	166	0	0	35	0	131	0	131
PCT1124	TO	812	217	0	0	45	0	172	2	170
PCT1125	ED	1064	37	0	0	9	0	28	1	27
PCT1125	MV	1064	232	0	0	49	0	183	0	183
PCT1125	TO	1064	269	0	0	58	0	211	1	210
PCT1126	ED	1676	93	0	0	12	0	81	1	80
PCT1126	MV	1676	397	0	0	97	0	300	0	300
PCT1126	TO	1676	490	0	0	109	0	381	1	380
PCT1127	ED	1827	105	0	0	17	0	88	0	88
PCT1127	MV	1827	426	0	0	105	0	321	0	321
PCT1127	TO	1827	531	0	0	122	0	409	0	409
PCT1129	ED	1018	63	0	0	12	0	51	1	50
PCT1129	MV	1018	221	0	0	38	0	183	0	183
PCT1129	TO	1018	284	0	0	50	0	234	1	233
PCT1131	ED	836	38	0	0	4	0	34	0	34
PCT1131	MV	836	207	0	0	51	0	156	0	156
PCT1131	TO	836	245	0	0	55	0	190	0	190
PCT1132	ED	1010	34	0	0	2	0	32	0	32
PCT1132	MV	1010	263	0	0	75	0	188	0	188
PCT1132	TO	1010	297	0	0	77	0	220	0	220
PCT1133	ED	857	40	0	0	8	0	32	1	31
PCT1133	MV	857	220	0	0	53	0	167	0	167
PCT1133	TO	857	260	0	0	61	0	199	1	198
PCT1134	ED	762	61	0	0	11	0	50	0	50
PCT1134	MV	762	195	0	0	51	0	144	0	144
PCT1134	TO	762	256	0	0	62	0	194	0	194
PCT1135	ED	554	37	0	0	4	0	33	1	32
PCT1135	MV	554	146	0	0	44	0	102	0	102
PCT1135	TO	554	183	0	0	48	0	135	1	134
PCT1136	ED	847	47	0	0	12	0	35	1	34
PCT1136	MV	847	216	0	0	67	0	149	0	149
PCT1136	TO	847	263	0	0	79	0	184	1	183
PCT1141	ED	1042	61	0	0	7	0	54	0	54
PCT1141	MV	1042	268	0	0	65	0	203	0	203
PCT1141	TO	1042	329	0	0	72	0	257	0	257
PCT1143	ED	1024	88	0	0	8	0	80	1	79
PCT1143	MV	1024	208	0	0	61	0	147	0	147
PCT1143	TO	1024	296	0	0	69	0	227	1	226
PCT1144	ED	1804	126	0	0	21	0	105	1	104
PCT1144	MV	1804	373	0	1	114	0	258	0	258
PCT1144	TO	1804	499	0	1	135	0	363	1	362
PCT1145	ED	894	57	0	0	8	0	49	1	48
PCT1145	MV	894	253	0	0	63	0	190	0	190
PCT1145	TO	894	310	0	0	71	0	239	1	238
PCT1146	ED	1008	72	0	0	13	0	59	0	59
PCT1146	MV	1008	205	0	0	41	0	164	0	164
PCT1146	TO	1008	277	0	0	54	0	223	0	223
PCT1147	ED	868	71	0	0	11	0	60	0	60
PCT1147	MV	868	197	0	0	39	0	158	0	158
PCT1147	TO	868	268	0	0	50	0	218	0	218
PCT1148	ED	1002	73	0	0	11	0	62	2	60
PCT1148	MV	1002	237	0	0	55	0	182	0	182
PCT1148	TO	1002	310	0	0	66	0	244	2	242
PCT1149	ED	911	70	0	0	14	0	56	0	56
PCT1149	MV	911	207	0	0	54	0	153	0	153
