area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	26:JENNY LAM	27:KIRSTEN STROBEL	28:ROBERT K. COLEMAN
ALLPCTS	TO	495050	206312	0	639	41107	164566	2	121139	26034	17391
ALLPCTS	ED	495050	59419	0	104	12228	47087	0	31352	9516	6219
ALLPCTS	MV	495050	146893	0	535	28879	117479	2	89787	16518	11172
PCT1101	ED	557	54	0	0	18	36	0	24	9	3
PCT1101	MV	557	166	0	0	23	143	0	101	32	10
PCT1101	TO	557	220	0	0	41	179	0	125	41	13
PCT1102	ED	994	145	0	1	30	114	0	75	28	11
PCT1102	MV	994	304	0	3	31	270	0	192	47	31
PCT1102	TO	994	449	0	4	61	384	0	267	75	42
PCT1103	ED	962	111	0	0	22	89	0	60	13	16
PCT1103	MV	962	283	0	0	44	239	0	165	46	28
PCT1103	TO	962	394	0	0	66	328	0	225	59	44
PCT1104	ED	1012	109	0	0	18	91	0	47	21	23
PCT1104	MV	1012	271	0	3	53	215	0	149	46	20
PCT1104	TO	1012	380	0	3	71	306	0	196	67	43
PCT1106	ED	1505	168	0	1	34	133	0	88	26	19
PCT1106	MV	1505	435	0	0	55	380	0	277	69	34
PCT1106	TO	1505	603	0	1	89	513	0	365	95	53
PCT1108	ED	908	95	0	0	12	83	0	53	21	9
PCT1108	MV	908	272	0	0	44	228	0	168	37	23
PCT1108	TO	908	367	0	0	56	311	0	221	58	32
PCT1109	ED	805	93	0	1	16	76	0	46	20	10
PCT1109	MV	805	233	0	0	33	200	0	142	38	20
PCT1109	TO	805	326	0	1	49	276	0	188	58	30
PCT1111	ED	1025	106	0	1	22	83	0	43	22	18
PCT1111	MV	1025	303	0	2	63	238	0	179	38	21
PCT1111	TO	1025	409	0	3	85	321	0	222	60	39
PCT1112	ED	770	65	0	0	15	50	0	25	15	10
PCT1112	MV	770	217	0	0	24	193	0	147	29	17
PCT1112	TO	770	282	0	0	39	243	0	172	44	27
PCT1114	ED	1741	129	0	0	24	105	0	61	29	15
PCT1114	MV	1741	501	0	4	80	417	0	309	65	43
PCT1114	TO	1741	630	0	4	104	522	0	370	94	58
PCT1115	ED	1838	165	0	0	27	138	0	86	29	23
PCT1115	MV	1838	467	0	6	87	374	0	274	60	40
PCT1115	TO	1838	632	0	6	114	512	0	360	89	63
PCT1117	ED	1771	155	0	1	17	137	0	70	37	30
PCT1117	MV	1771	443	0	5	78	360	0	251	59	50
PCT1117	TO	1771	598	0	6	95	497	0	321	96	80
PCT1118	ED	1057	99	0	0	14	85	0	55	18	12
PCT1118	MV	1057	319	0	0	51	268	0	215	34	19
PCT1118	TO	1057	418	0	0	65	353	0	270	52	31
PCT1119	ED	771	66	0	2	16	48	0	30	12	6
PCT1119	MV	771	226	0	1	31	194	0	138	32	24
PCT1119	TO	771	292	0	3	47	242	0	168	44	30
PCT1122	ED	638	48	0	0	6	42	0	30	9	3
PCT1122	MV	638	188	0	0	36	152	0	120	20	12
PCT1122	TO	638	236	0	0	42	194	0	150	29	15
PCT1124	ED	812	64	0	1	10	53	0	31	11	11
PCT1124	MV	812	188	0	1	26	161	0	114	25	22
PCT1124	TO	812	252	0	2	36	214	0	145	36	33
PCT1125	ED	1064	48	0	0	13	35	0	20	8	7
PCT1125	MV	1064	271	0	0	31	240	0	171	46	23
PCT1125	TO	1064	319	0	0	44	275	0	191	54	30
PCT1126	ED	1676	121	0	1	15	105	0	57	27	21
PCT1126	MV	1676	442	0	3	68	371	0	269	72	30
PCT1126	TO	1676	563	0	4	83	476	0	326	99	51
PCT1127	ED	1827	157	0	0	23	134	0	90	28	16
PCT1127	MV	1827	488	0	1	59	428	0	334	59	35
PCT1127	TO	1827	645	0	1	82	562	0	424	87	51
PCT1129	ED	1018	85	0	0	13	72	0	31	28	13
PCT1129	MV	1018	253	0	4	37	212	0	152	45	15
PCT1129	TO	1018	338	0	4	50	284	0	183	73	28
PCT1131	ED	836	49	0	0	5	44	0	31	10	3
PCT1131	MV	836	226	0	3	34	189	0	140	25	24
PCT1131	TO	836	275	0	3	39	233	0	171	35	27
PCT1132	ED	1010	47	0	0	6	41	0	21	15	5
PCT1132	MV	1010	312	0	1	54	257	0	189	42	26
PCT1132	TO	1010	359	0	1	60	298	0	210	57	31
PCT1133	ED	857	49	0	0	6	43	0	25	13	5
PCT1133	MV	857	255	0	1	38	216	0	166	33	17
PCT1133	TO	857	304	0	1	44	259	0	191	46	22
PCT1134	ED	762	70	0	0	13	57	0	33	12	12
PCT1134	MV	762	215	0	0	33	182	0	133	27	22
PCT1134	TO	762	285	0	0	46	239	0	166	39	34
PCT1135	ED	554	46	0	0	7	39	0	24	11	4
PCT1135	MV	554	195	0	1	37	157	0	117	26	14
PCT1135	TO	554	241	0	1	44	196	0	141	37	18
PCT1136	ED	847	53	0	0	11	42	0	22	14	6
PCT1136	MV	847	248	0	0	56	192	0	136	40	16
PCT1136	TO	847	301	0	0	67	234	0	158	54	22
PCT1141	ED	1042	103	0	2	17	84	0	51	19	14
PCT1141	MV	1042	306	0	0	52	254	0	187	41	26
PCT1141	TO	1042	409	0	2	69	338	0	238	60	40
PCT1143	ED	1024	109	0	0	15	94	0	49	27	18
PCT1143	MV	1024	254	0	2	40	212	0	146	42	24
PCT1143	TO	1024	363	0	2	55	306	0	195	69	42
PCT1144	ED	1804	177	0	1	23	153	0	95	31	27
PCT1144	MV	1804	513	0	4	99	410	0	306	65	39
PCT1144	TO	1804	690	0	5	122	563	0	401	96	66
PCT1145	ED	894	83	0	0	21	62	0	35	20	7
PCT1145	MV	894	297	0	1	47	249	0	184	32	33
PCT1145	TO	894	380	0	1	68	311	0	219	52	40
PCT1146	ED	1008	83	0	0	15	68	0	35	20	13
PCT1146	MV	1008	275	0	0	41	234	0	161	38	35
PCT1146	TO	1008	358	0	0	56	302	0	196	58	48
PCT1147	ED	868	89	0	0	22	67	0	49	8	10
PCT1147	MV	868	235	0	2	42	191	0	136	36	19
PCT1147	TO	868	324	0	2	64	258	0	185	44	29
PCT1148	ED	1002	100	0	0	22	78	0	43	22	13
PCT1148	MV	1002	268	0	3	52	213	0	140	45	28
PCT1148	TO	1002	368	0	3	74	291	0	183	67	41
PCT1149	ED	911	90	0	0	16	74	0	48	18	8
PCT1149	MV	911	237	0	0	37	200	0	145	42	13
PCT1149	TO	911	327	0	0	53	274	0	193	60	21
PCT1152	ED	1815	155	0	0	25	130	0	69	32	29
PCT1152	MV	1815	499	0	4	75	420	0	316	69	35
PCT1152	TO	1815	654	0	4	100	550	0	385	101	64
PCT7001	ED	752	59	0	0	13	46	0	35	10	1
PCT7001	MV	752	231	0	1	36	194	0	160	16	18
PCT7001	TO	752	290	0	1	49	240	0	195	26	19
PCT7002	ED	659	61	0	0	17	44	0	36	6	2
PCT7002	MV	659	151	0	0	31	120	0	87	21	12
PCT7002	TO	659	212	0	0	48	164	0	123	27	14
PCT7003	ED	1755	233	0	3	53	177	0	139	20	18
PCT7003	MV	1755	606	0	1	129	476	0	391	59	26
PCT7003	TO	1755	839	0	4	182	653	0	530	79	44
PCT7005	ED	850	124	0	0	28	96	0	57	25	14
PCT7005	MV	850	280	0	1	59	220	0	165	31	24
PCT7005	TO	850	404	0	1	87	316	0	222	56	38
PCT7006	ED	921	135	0	0	35	100	0	59	29	12
PCT7006	MV	921	263	0	0	59	204	0	146	30	28
PCT7006	TO	921	398	0	0	94	304	0	205	59	40
PCT7007	ED	1821	269	0	0	57	212	0	145	41	26
PCT7007	MV	1821	608	0	0	132	476	0	368	65	43
PCT7007	TO	1821	877	0	0	189	688	0	513	106	69
PCT7009	ED	874	74	0	0	18	56	0	39	15	2
PCT7009	MV	874	317	0	0	67	250	0	192	32	26
PCT7009	TO	874	391	0	0	85	306	0	231	47	28
PCT7011	ED	951	87	0	0	15	72	0	55	8	9
PCT7011	MV	951	168	0	0	36	132	0	99	23	10
PCT7011	TO	951	255	0	0	51	204	0	154	31	19
PCT7012	ED	1165	149	0	0	22	127	0	80	29	18
PCT7012	MV	1165	365	0	0	87	278	0	222	38	18
PCT7012	TO	1165	514	0	0	109	405	0	302	67	36
PCT7013	ED	1033	93	0	1	20	72	0	54	12	6
PCT7013	MV	1033	283	0	0	55	228	0	188	28	12
PCT7013	TO	1033	376	0	1	75	300	0	242	40	18
PCT7014	ED	1388	136	0	1	18	117	0	81	24	12
PCT7014	MV	1388	417	0	0	81	336	0	283	33	20
PCT7014	TO	1388	553	0	1	99	453	0	364	57	32
PCT7015	ED	104	1	0	0	0	1	0	0	0	1
PCT7015	MV	104	25	0	0	4	21	0	7	10	4
PCT7015	TO	104	26	0	0	4	22	0	7	10	5
PCT7016	ED	912	75	0	0	14	61	0	39	11	11
PCT7016	MV	912	174	0	0	24	150	0	113	18	19
PCT7016	TO	912	249	0	0	38	211	0	152	29	30
PCT7017	ED	781	50	0	1	10	39	0	18	8	13
PCT7017	MV	781	143	0	1	26	116	0	91	8	17
PCT7017	TO	781	193	0	2	36	155	0	109	16	30
PCT7019	ED	1908	121	0	0	17	104	0	56	28	20
PCT7019	MV	1908	558	0	3	76	479	0	368	56	55
PCT7019	TO	1908	679	0	3	93	583	0	424	84	75
PCT7021	ED	955	96	0	0	17	79	0	36	19	24
PCT7021	MV	955	212	0	1	26	185	0	137	26	22
PCT7021	TO	955	308	0	1	43	264	0	173	45	46
PCT7022	ED	943	94	0	0	18	76	0	47	18	11
PCT7022	MV	943	215	0	2	26	187	0	138	23	26
PCT7022	TO	943	309	0	2	44	263	0	185	41	37
PCT7024	ED	448	39	0	0	7	32	0	14	11	7
PCT7024	MV	448	34	0	0	2	32	0	20	7	5
PCT7024	TO	448	73	0	0	9	64	0	34	18	12
PCT7025	ED	473	34	0	1	4	29	0	13	6	10
PCT7025	MV	473	58	0	0	6	52	0	35	8	9
