Description	Id	ExternalId	ContestId	Type
CHESA BOUDIN	18		339	Regular
DEAN PRESTON	9		353	Regular
DENNIS J. HERRERA	13		352	Regular
ELLEN LEE ZHOU	5		334	Regular
IVY LEE	30		351	Regular
JENNY LAM	26		361	Regular
JOEL VENTRESCA	1		334	Regular
JOSÉ CISNEROS	24		349	Regular
KIRSTEN STROBEL	27		361	Regular
LEIF DAUTCH	16		339	Regular
LONDON N. BREED	6		334	Regular
MANOHAR "MANO" RAJU	20		360	Regular
MARC ROTH	53		334	QualifiedWriteIn
NANCY TUNG	17		339	Regular
NO	33		342	Regular
NO	35		343	Regular
NO	37		344	Regular
NO	39		345	Regular
NO	41		346	Regular
NO	43		354	Regular
NOMVULA O'MEARA	10		353	Regular
PAUL MIYAMOTO	22		350	Regular
PAUL YBARRA ROBERTSON	4		334	Regular
ROBERT K. COLEMAN	28		361	Regular
ROBERT L. JORDAN, JR.	3		334	Regular
RYAN LAM	8		353	Regular
SUZY LOFTUS	15		339	Regular
VALLIE BROWN	11		353	Regular
WILMA PANG	2		334	Regular
Write-in	44		350	WriteIn
Write-in	45		339	WriteIn
Write-in	46		349	WriteIn
Write-in	47		334	WriteIn
Write-in	48		353	WriteIn
Write-in	49		360	WriteIn
Write-in	50		361	WriteIn
Write-in	51		351	WriteIn
Write-in	52		352	WriteIn
YES	32		342	Regular
YES	34		343	Regular
YES	36		344	Regular
YES	38		345	Regular
YES	40		346	Regular
YES	42		354	Regular
