contest_id	candidate_order	candidate_id	candidate_type	candidate_full_name	candidate_party_id	is_writein_candidate
334	1	1	Regular	JOEL VENTRESCA		N
334	2	2	Regular	WILMA PANG		N
334	3	3	Regular	ROBERT L. JORDAN, JR.		N
334	4	4	Regular	PAUL YBARRA ROBERTSON		N
334	5	5	Regular	ELLEN LEE ZHOU		N
334	6	6	Regular	LONDON N. BREED		N
339	1	15	Regular	SUZY LOFTUS		N
339	2	16	Regular	LEIF DAUTCH		N
339	3	17	Regular	NANCY TUNG		N
339	4	18	Regular	CHESA BOUDIN		N
342	1	32	Regular	YES		N
342	2	33	Regular	NO		N
343	1	34	Regular	YES		N
343	2	35	Regular	NO		N
344	1	36	Regular	YES		N
344	2	37	Regular	NO		N
345	1	38	Regular	YES		N
345	2	39	Regular	NO		N
346	1	40	Regular	YES		N
346	2	41	Regular	NO		N
349	1	24	Regular	JOSÉ CISNEROS		N
350	1	22	Regular	PAUL MIYAMOTO		N
351	1	30	Regular	IVY LEE		N
352	1	13	Regular	DENNIS J. HERRERA		N
353	1	8	Regular	RYAN LAM		N
353	2	9	Regular	DEAN PRESTON		N
353	3	10	Regular	NOMVULA O'MEARA		N
353	4	11	Regular	VALLIE BROWN		N
354	1	42	Regular	YES		N
354	2	43	Regular	NO		N
360	1	20	Regular	MANOHAR "MANO" RAJU		N
361	1	26	Regular	JENNY LAM		N
361	2	27	Regular	KIRSTEN STROBEL		N
361	3	28	Regular	ROBERT K. COLEMAN		N
