contest_order	contest_id_sov	contest_id_ext	contest_full_name	vote_for	max_ranked
1	334		MAYOR	1	6
10	342		PROPOSITION A	1	0
11	343		PROPOSITION B	1	0
12	344		PROPOSITION C	1	0
13	345		PROPOSITION D	1	0
14	346		PROPOSITION E	1	0
15	354		PROPOSITION F	1	0
2	353		MEMBER, BOARD OF SUPERVISORS, DISTRICT 5	1	4
3	352		CITY ATTORNEY	1	3
4	339		DISTRICT ATTORNEY	1	4
5	360		PUBLIC DEFENDER	1	3
6	350		SHERIFF	1	3
7	349		TREASURER	1	3
8	361		MEMBER, BOARD OF EDUCATION	1	0
9	351		MEMBER, COMMUNITY COLLEGE BOARD	1	0
