contest_id	registration	ballots_cast	ballots_uncounted	computed_ballots	overvotes	undervotes	totalvotes	vote_for	contest_name
334	495050	206085	0	206085	538	28381	177166	1	MAYOR
339	495050	206085	0	206085	474	13583	192028	1	DISTRICT ATTORNEY
342	495050	206307	0	206307	42	5268	200997	1	PROPOSITION A
343	495050	206307	0	206307	35	12073	194199	1	PROPOSITION B
344	495050	206307	0	206307	119	4669	201519	1	PROPOSITION C
345	495050	206307	0	206307	49	5673	200585	1	PROPOSITION D
346	495050	206307	0	206307	60	7237	199010	1	PROPOSITION E
349	495050	206085	0	206085	31	53368	152686	1	TREASURER
350	495050	206085	0	206085	37	59435	146613	1	SHERIFF
351	495050	206307	0	206307	55	48411	157841	1	MEMBER, COMMUNITY COLLEGE BOARD
352	495050	206085	0	206085	55	44676	161354	1	CITY ATTORNEY
353	51976	24762	0	24762	39	1252	23471	1	MEMBER, BOARD OF SUPERVISORS, DISTRICT 5
354	495050	206307	0	206307	28	9902	196377	1	PROPOSITION F
360	495050	206085	0	206085	34	47506	158545	1	PUBLIC DEFENDER
361	495050	206312	0	206312	639	41107	164566	1	MEMBER, BOARD OF EDUCATION
