area_id	total_registration	ed_registration	mv_registration	total_ballots	ed_ballots	mv_ballots
ALL	495050	117918	377297	206122	59428	146694
PCT1101	557	147	410	219	54	165
PCT1102	994	268	726	449	145	304
PCT1103	962	256	706	394	111	283
PCT1104	1012	306	706	380	109	271
PCT1106	1505	385	1120	603	168	435
PCT1108	908	221	687	368	95	273
PCT1109	805	180	625	326	93	233
PCT1111	1025	229	796	406	106	300
PCT1112	770	184	586	286	65	221
PCT1114	1741	378	1363	627	129	498
PCT1115	1838	458	1380	632	165	467
PCT1117	1771	464	1307	597	155	442
PCT1118	1057	252	805	419	99	320
PCT1119	771	162	609	293	67	226
PCT1122	638	122	516	237	49	188
PCT1124	812	225	587	252	64	188
PCT1125	1064	225	839	318	48	270
PCT1126	1676	390	1286	563	122	441
PCT1127	1827	425	1402	646	157	489
PCT1129	1018	266	752	339	86	253
PCT1131	836	198	638	276	49	227
PCT1132	1010	204	806	359	47	312
PCT1133	857	190	667	304	49	255
PCT1134	762	216	546	285	70	215
PCT1135	554	105	449	241	46	195
PCT1136	847	171	676	299	53	246
PCT1141	1042	252	790	411	103	308
PCT1143	1024	263	761	366	110	256
PCT1144	1804	440	1364	691	177	514
PCT1145	894	181	713	379	83	296
PCT1146	1008	231	777	359	84	275
PCT1147	868	239	629	324	89	235
PCT1148	1002	240	762	369	100	269
PCT1149	911	255	656	329	90	239
PCT1151	0	0	0	0	0	0
PCT1152	1815	440	1375	652	155	497
PCT1154	0	0	0	0	0	0
PCT7001	752	136	616	290	59	231
PCT7002	659	151	508	212	61	151
PCT7003	1755	375	1380	839	233	606
PCT7005	850	213	637	404	124	280
PCT7006	921	242	679	399	135	264
PCT7007	1821	421	1400	876	269	607
PCT7009	874	160	714	390	74	316
PCT7011	951	310	641	253	85	168
PCT7012	1165	266	899	512	149	363
PCT7013	1033	172	861	376	93	283
PCT7014	1388	190	1198	552	136	416
PCT7015	104	0	104	26	1	25
PCT7016	912	297	615	248	75	173
PCT7017	781	271	510	191	49	142
PCT7019	1908	420	1488	675	121	554
PCT7021	955	319	636	308	96	212
PCT7022	943	301	642	310	94	216
PCT7024	448	188	260	73	39	34
PCT7025	473	167	306	92	34	58
PCT7026	1009	229	780	358	57	301
PCT7027	883	264	619	315	85	230
PCT7028	849	307	542	283	114	169
PCT7029	1812	561	1251	531	146	385
PCT7030	787	173	614	296	54	242
PCT7031	680	96	584	248	37	211
PCT7032	876	268	608	282	70	212
PCT7033	770	263	507	252	88	164
PCT7034	954	381	573	183	64	119
PCT7035	681	169	512	226	46	180
PCT7037	1676	551	1125	348	80	268
PCT7038	924	216	708	292	49	243
PCT7039	830	237	593	281	84	197
PCT7041	60	0	60	13	0	13
PCT7042	1069	270	799	357	92	265
PCT7043	961	252	709	287	61	226
PCT7044	844	278	566	157	42	115
PCT7045	783	165	618	291	49	242
PCT7047	1727	359	1368	609	102	507
PCT7048	870	209	661	262	53	209
PCT7049	815	231	584	268	68	200
PCT7052	878	189	689	334	87	247
PCT7053	568	66	502	183	38	145
PCT7054	1111	292	819	330	87	243
PCT7055	799	117	682	264	37	227
PCT7101	152	0	152	79	2	77
PCT7202	1747	346	1401	638	156	482
PCT7203	867	199	668	306	103	203
PCT7204	890	169	721	394	100	294
PCT7205	862	176	686	376	108	268
PCT7207	1483	259	1224	677	126	551
PCT7208	560	92	468	207	48	159
PCT7301	1993	473	1520	753	200	553
PCT7302	838	157	681	410	98	312
PCT7305	1633	370	1263	717	223	494
PCT7306	2083	522	1561	741	208	533
PCT7308	614	142	472	279	98	181
PCT7311	866	216	650	370	124	246
PCT7312	801	143	658	379	91	288
PCT7314	1749	369	1380	643	142	501
PCT7315	1584	402	1182	534	175	359
PCT7317	875	168	707	383	83	300
PCT7318	1567	333	1234	569	142	427
PCT7321	1533	268	1265	541	86	455
PCT7323	1967	402	1565	688	190	498
PCT7325	1588	349	1239	570	145	425
PCT7326	1709	375	1334	689	164	525
PCT7327	668	119	549	257	40	217
PCT7328	985	192	793	373	42	331
PCT7329	638	122	516	248	52	196
PCT7331	850	211	639	415	113	302
PCT7332	1601	333	1268	624	185	439
PCT7333	1930	397	1533	732	190	542
PCT7336	2021	457	1564	771	214	557
PCT7338	1783	346	1437	692	151	541
PCT7339	1588	379	1209	569	158	411
PCT7342	909	287	622	389	158	231
PCT7343	706	198	508	234	89	145
PCT7344	1052	253	799	403	113	290
PCT7346	879	222	657	259	89	170
PCT7348	1826	455	1371	584	152	432
PCT7502	779	153	626	318	70	248
PCT7503	725	151	574	283	79	204
PCT7504	1019	214	805	429	121	308
PCT7505	851	149	702	464	101	363
PCT7506	1913	458	1455	702	188	514
PCT7508	720	134	586	382	96	286
PCT7509	914	220	694	415	128	287
PCT7512	588	145	443	285	78	207
PCT7513	784	237	547	295	101	194
PCT7514	901	234	667	321	87	234
PCT7515	852	235	617	338	97	241
PCT7516	906	174	732	471	112	359
PCT7518	1754	485	1269	891	328	563
PCT7519	709	187	522	320	116	204
PCT7521	761	212	549	383	135	248
PCT7522	1464	394	1070	714	290	424
PCT7524	606	151	455	265	98	167
PCT7525	762	188	574	288	97	191
PCT7526	974	207	767	422	125	297
PCT7527	689	178	511	335	120	215
PCT7529	906	185	721	467	172	295
PCT7531	839	175	664	392	116	276
PCT7532	792	207	585	335	114	221
PCT7533	936	242	694	476	201	275
PCT7534	881	262	619	390	153	237
PCT7536	1594	377	1217	813	318	495
PCT7537	1472	370	1102	738	301	437
PCT7539	906	265	641	512	233	279
PCT7541	769	205	564	383	136	247
PCT7543	1718	454	1264	801	252	549
PCT7544	892	215	677	433	152	281
PCT7545	877	228	649	416	139	277
PCT7546	1900	417	1483	1010	340	670
PCT7548	1027	266	761	521	199	322
PCT7549	799	165	634	421	135	286
PCT7552	685	178	507	349	136	213
PCT7553	182	0	182	82	1	81
PCT7554	795	178	617	446	135	311
PCT7555	1584	411	1173	905	340	565
PCT7556	958	201	757	547	147	400
PCT7601	677	187	490	232	81	151
PCT7602	1659	491	1168	559	176	383
PCT7605	1508	378	1130	558	114	444
PCT7606	887	243	644	254	74	180
PCT7607	900	237	663	322	86	236
PCT7608	1300	374	926	381	102	279
PCT7611	763	218	545	255	65	190
PCT7613	1421	381	1040	511	139	372
PCT7614	932	250	682	271	83	188
PCT7615	745	251	494	214	61	153
PCT7616	1246	193	1053	438	90	348
PCT7617	737	189	548	245	49	196
PCT7618	873	178	695	319	82	237
PCT7619	1055	178	877	390	89	301
PCT7621	1064	161	903	379	89	290
PCT7622	923	253	670	228	69	159
PCT7623	965	227	738	269	81	188
PCT7624	835	226	609	232	59	173
PCT7625	809	92	717	438	40	398
PCT7626	1037	145	892	355	61	294
PCT7628	933	255	678	329	98	231
PCT7629	847	224	623	263	75	188
PCT7632	1112	180	932	353	95	258
PCT7633	1902	377	1525	667	153	514
PCT7634	864	203	661	340	86	254
PCT7635	821	194	627	281	60	221
PCT7636	945	186	759	312	79	233
PCT7637	841	153	688	287	56	231
PCT7638	1467	186	1281	549	89	460
PCT7639	1935	320	1615	733	137	596
PCT7642	946	147	799	277	68	209
PCT7643	927	152	775	395	87	308
PCT7644	1111	190	921	337	87	250
PCT7645	626	73	553	260	42	218
PCT7646	1090	133	957	406	60	346
PCT7647	968	261	707	193	57	136
PCT7648	2	0	2	0	0	0
PCT7649	888	221	667	270	58	212
PCT7651	830	86	744	256	50	206
PCT7652	596	114	482	200	48	152
PCT7653	1373	156	1217	445	79	366
PCT7655	1150	143	1007	333	63	270
PCT7701	1035	217	818	511	139	372
PCT7703	178	0	178	55	1	54
PCT7704	1723	388	1335	881	249	632
PCT7705	570	129	441	310	91	219
PCT7706	839	207	632	488	151	337
PCT7707	861	207	654	483	139	344
PCT7708	881	204	677	474	116	358
PCT7709	395	88	307	224	75	149
PCT7712	1308	307	1001	651	198	453
PCT7801	968	202	766	503	138	365
PCT7802	788	200	588	406	131	275
PCT7803	822	128	694	458	85	373
PCT7805	1683	386	1297	915	283	632
PCT7807	796	205	591	398	155	243
PCT7808	1377	343	1034	706	244	462
PCT7809	770	179	591	361	112	249
PCT7811	726	176	550	325	126	199
PCT7812	871	219	652	417	132	285
PCT7813	1037	271	766	526	179	347
PCT7814	887	271	616	337	122	215
PCT7815	1779	402	1377	893	231	662
PCT7817	1641	431	1210	877	291	586
PCT7819	1585	437	1148	730	230	500
PCT7821	965	209	756	540	168	372
PCT7822	1748	450	1298	948	322	626
PCT7824	1353	354	999	660	243	417
PCT7826	661	224	437	315	140	175
PCT7828	997	211	786	458	132	326
PCT7829	884	198	686	480	134	346
PCT7832	773	148	625	394	103	291
PCT7834	1593	412	1181	752	279	473
PCT7835	847	178	669	386	97	289
PCT7836	1011	216	795	506	131	375
PCT7837	1784	409	1375	956	281	675
PCT7839	1718	336	1382	919	238	681
PCT7841	1778	452	1326	893	331	562
PCT7843	719	221	498	373	148	225
PCT7844	630	157	473	304	105	199
PCT7845	870	222	648	435	137	298
PCT7846	888	203	685	429	122	307
PCT7847	1718	432	1286	867	274	593
PCT7849	887	220	667	477	165	312
PCT7852	1153	235	918	636	158	478
PCT7853	1736	351	1385	834	230	604
PCT7854	866	192	674	441	127	314
PCT7855	1775	453	1322	903	307	596
PCT7858	1646	433	1213	781	251	530
PCT7861	854	208	646	442	131	311
PCT7862	857	237	620	430	155	275
PCT7863	881	249	632	419	155	264
PCT7864	804	192	612	394	127	267
PCT7866	822	178	644	486	129	357
PCT7867	969	262	707	514	149	365
PCT7868	870	248	622	418	151	267
PCT7869	863	212	651	501	146	355
PCT7871	877	241	636	454	151	303
PCT7872	863	234	629	489	157	332
PCT7873	1688	453	1235	897	279	618
PCT7874	474	130	344	210	67	143
PCT7875	624	155	469	261	82	179
PCT7876	523	90	433	250	68	182
PCT7902	1729	456	1273	604	212	392
PCT7903	826	232	594	331	112	219
PCT7905	880	235	645	398	135	263
PCT7906	757	219	538	278	104	174
PCT7908	1907	554	1353	781	267	514
PCT7909	718	213	505	318	120	198
PCT7911	845	218	627	319	122	197
PCT7912	1940	556	1384	807	319	488
PCT7915	1692	504	1188	710	283	427
PCT7916	842	228	614	382	145	237
PCT7917	1823	567	1256	759	298	461
PCT7918	798	244	554	323	129	194
PCT7921	1729	506	1223	655	219	436
PCT7923	1708	494	1214	665	233	432
PCT7925	530	133	397	239	74	165
PCT7926	783	210	573	376	143	233
PCT7928	1661	469	1192	842	310	532
PCT7929	830	201	629	462	151	311
PCT7931	742	175	567	400	116	284
PCT7932	547	137	410	261	84	177
PCT7933	7	0	7	4	0	4
PCT7934	866	205	661	429	125	304
PCT7935	927	264	663	483	173	310
PCT7936	1508	491	1017	792	340	452
PCT7937	899	262	637	455	155	300
PCT7938	758	231	527	317	114	203
PCT7941	752	228	524	340	117	223
PCT7942	923	280	643	359	92	267
PCT7943	1675	518	1157	776	262	514
PCT7945	940	253	687	331	67	264
PCT7946	1553	336	1217	602	132	470
PCT7947	960	234	726	361	71	290
PCT7948	918	241	677	385	94	291
PCT7951	1818	379	1439	727	138	589
PCT7953	824	197	627	328	83	245
PCT7954	1	0	1	1	0	1
PCT7956	1759	410	1349	581	120	461
PCT7957	665	157	508	283	74	209
PCT7958	301	0	301	97	6	91
PCT7959	1198	316	882	405	127	278
PCT9001	286	0	286	93	3	90
PCT9103	946	267	679	380	125	255
PCT9104	993	242	751	394	100	294
PCT9105	1747	469	1278	734	223	511
PCT9106	935	257	678	431	135	296
PCT9109	1651	460	1191	680	244	436
PCT9111	809	213	596	314	105	209
PCT9113	997	252	745	481	164	317
PCT9114	1806	490	1316	759	237	522
PCT9116	1822	434	1388	759	251	508
PCT9117	1691	453	1238	786	253	533
PCT9118	1938	530	1408	762	229	533
PCT9119	899	223	676	393	91	302
PCT9122	1865	450	1415	726	190	536
PCT9124	1843	441	1402	759	218	541
PCT9125	879	211	668	363	97	266
PCT9127	1974	469	1505	907	273	634
PCT9128	814	217	597	393	125	268
PCT9129	1459	349	1110	638	176	462
PCT9132	805	206	599	326	105	221
PCT9133	1984	496	1488	866	271	595
PCT9134	891	194	697	333	87	246
PCT9135	802	198	604	344	114	230
PCT9136	900	230	670	370	119	251
PCT9137	999	250	749	393	115	278
PCT9138	929	213	716	383	101	282
PCT9139	986	204	782	445	105	340
PCT9141	1803	455	1348	779	232	547
PCT9143	895	239	656	399	120	279
PCT9144	958	246	712	429	141	288
PCT9145	851	217	634	398	124	274
PCT9146	1837	472	1365	830	275	555
PCT9149	957	228	729	426	150	276
PCT9152	1630	282	1348	567	167	400
PCT9201	950	201	749	319	111	208
PCT9202	977	204	773	323	116	207
PCT9203	984	180	804	329	78	251
PCT9204	855	201	654	317	109	208
PCT9205	1484	298	1186	494	141	353
PCT9208	1935	408	1527	662	178	484
PCT9209	742	192	550	263	85	178
PCT9211	1788	398	1390	631	166	465
PCT9213	927	200	727	326	85	241
PCT9214	633	137	496	244	67	177
PCT9215	641	159	482	250	79	171
PCT9216	818	202	616	253	82	171
PCT9217	704	150	554	227	64	163
PCT9218	805	193	612	288	87	201
PCT9219	1727	396	1331	569	186	383
PCT9221	638	106	532	315	72	243
PCT9222	886	184	702	352	91	261
PCT9223	651	129	522	241	53	188
PCT9224	928	219	709	378	108	270
PCT9226	892	174	718	317	85	232
PCT9227	713	155	558	374	83	291
PCT9228	740	196	544	331	89	242
PCT9229	574	153	421	283	93	190
PCT9231	954	254	700	430	157	273
PCT9232	716	166	550	329	92	237
PCT9233	814	188	626	337	77	260
PCT9234	747	143	604	300	84	216
PCT9235	1439	333	1106	607	164	443
PCT9236	659	167	492	268	65	203
PCT9237	874	133	741	351	86	265
PCT9238	1769	344	1425	684	161	523
PCT9239	866	159	707	364	78	286
PCT9241	968	187	781	376	95	281
PCT9242	1845	344	1501	665	158	507
PCT9244	881	174	707	324	99	225
PCT9245	1081	242	839	407	131	276
PCT9248	870	166	704	329	88	241
PCT9251	1887	442	1445	841	283	558
PCT9252	918	165	753	367	83	284
PCT9253	752	186	566	339	102	237
PCT9255	1236	294	942	518	169	349
PCT9256	1373	303	1070	556	150	406
PCT9257	311	0	311	127	3	124
PCT9401	1015	292	723	417	159	258
PCT9402	988	268	720	435	148	287
PCT9404	1814	425	1389	706	206	500
PCT9405	770	198	572	336	113	223
PCT9406	873	228	645	361	133	228
PCT9407	887	228	659	368	126	242
PCT9408	834	194	640	333	129	204
PCT9409	591	190	401	238	105	133
PCT9411	1842	464	1378	776	254	522
PCT9413	920	223	697	383	103	280
PCT9415	779	160	619	331	79	252
PCT9416	988	252	736	431	152	279
PCT9418	1561	380	1181	712	201	511
PCT9419	1790	411	1379	759	174	585
PCT9421	917	218	699	376	94	282
PCT9422	1068	301	767	468	139	329
PCT9423	906	226	680	351	88	263
PCT9424	1949	447	1502	817	182	635
PCT9426	832	198	634	348	83	265
PCT9427	964	225	739	399	116	283
PCT9431	1914	481	1433	806	218	588
PCT9432	943	240	703	367	100	267
PCT9433	1923	405	1518	761	152	609
PCT9434	982	261	721	414	118	296
PCT9436	1057	251	806	447	123	324
PCT9437	908	220	688	376	95	281
PCT9439	1863	395	1468	761	162	599
PCT9441	985	259	726	432	118	314
PCT9442	2015	496	1519	812	249	563
PCT9443	1908	456	1452	735	176	559
PCT9445	971	195	776	399	92	307
PCT9446	1940	477	1463	852	230	622
PCT9447	889	218	671	397	122	275
PCT9448	936	231	705	368	105	263
PCT9449	862	197	665	363	86	277
PCT9451	437	107	330	184	41	143
PCT9453	520	136	384	222	57	165
PCT9501	147	0	147	71	2	69
PCT9502	253	0	253	109	5	104
PCT9503	667	152	515	262	86	176
PCT9505	760	193	567	362	116	246
PCT9506	750	217	533	281	95	186
PCT9507	713	173	540	333	121	212
PCT9511	1314	324	990	611	228	383
PCT9512	1544	352	1192	720	231	489
PCT9513	872	242	630	406	163	243
PCT9514	888	215	673	428	158	270
PCT9516	1579	404	1175	760	275	485
PCT9517	1554	369	1185	736	252	484
PCT9519	882	207	675	452	148	304
PCT9521	870	224	646	477	182	295
PCT9701	652	181	471	305	122	183
PCT9702	709	204	505	331	121	210
PCT9703	981	232	749	450	117	333
PCT9704	946	228	718	470	133	337
