Textbox11,Textbox3,Textbox2,Textbox9,Textbox12,Textbox8
Election Summary Report,General Election,City and County of San Francisco,"November 05, 2019",,"City and County of San Francisco
November 5, 2019, Consolidated Municipal Election
Summary Report - 0"

contestId,reported,reported3,reported4,contestId,Textbox2,cgId2,ballotsTextBox,ballots2,Textbox40,undervotes,undervotes3,Textbox36,overvotes2,undervotes1,totalBlanks,Textbox39,pushContests2,writeinOverrides,Textbox13,candidateNameTextBox4,Textbox2,Textbox14,countingGroupName,vot7,vot8,Textbox17,Textbox6,vot4,vot9,Textbox18,choiceName2,vot5,vot12,Textbox19,votesDivider_cg,votes3,name,cgName,votes,votes2,Textbox11,remainingUnqualified_cg,remainingUnresolved1
,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Registered Voters: 0 of 0 (N/A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ballots Cast: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAYOR (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAYOR (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAYOR (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,JOEL VENTRESCA ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,JOEL VENTRESCA ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,JOEL VENTRESCA ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,JOEL VENTRESCA ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,WILMA PANG ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,WILMA PANG ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,WILMA PANG ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,WILMA PANG ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,"ROBERT L. JORDAN, JR. ",,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,"ROBERT L. JORDAN, JR. ",,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,"ROBERT L. JORDAN, JR. ",,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,"ROBERT L. JORDAN, JR. ",,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,PAUL YBARRA ROBERTSON ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,PAUL YBARRA ROBERTSON ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
