ballot_type	contest_ids
000	1 2 3 4 5 6 20 21 22 23 24 25 26 27 28 29 7 8 9 10 11 12 13 14 15 16 17 18 19 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
001a	3 8 11 14 30 31 35 42 48 49
001d	1 20 8 11 14 30 31 35 42 48 49
001dn	1 8 11 14 30 31 35 42 48 49
001g	4 29 8 11 14 30 31 35 42 48 49
001l	5 8 11 14 30 31 35 42 48 49
001n	8 11 14 30 31 35 42 48 49
001p	6 8 11 14 30 31 35 42 48 49
001r	2 28 8 11 14 30 31 35 42 48 49
002a	3 8 11 14 30 31 35 42 48 49 61
002d	1 20 8 11 14 30 31 35 42 48 49 61
002dn	1 8 11 14 30 31 35 42 48 49 61
002g	4 29 8 11 14 30 31 35 42 48 49 61
002l	5 8 11 14 30 31 35 42 48 49 61
002n	8 11 14 30 31 35 42 48 49 61
002p	6 8 11 14 30 31 35 42 48 49 61
002r	2 28 8 11 14 30 31 35 42 48 49 61
003a	3 8 11 14 30 31 35 42 48 49 56
003d	1 20 8 11 14 30 31 35 42 48 49 56
003dn	1 8 11 14 30 31 35 42 48 49 56
003g	4 29 8 11 14 30 31 35 42 48 49 56
003l	5 8 11 14 30 31 35 42 48 49 56
003n	8 11 14 30 31 35 42 48 49 56
003p	6 8 11 14 30 31 35 42 48 49 56
003r	2 28 8 11 14 30 31 35 42 48 49 56
004a	3 8 12 17 30 31 42 52 58
004d	1 23 8 12 17 30 31 42 52 58
004dn	1 8 12 17 30 31 42 52 58
004g	4 29 8 12 17 30 31 42 52 58
004l	5 8 12 17 30 31 42 52 58
004n	8 12 17 30 31 42 52 58
004p	6 8 12 17 30 31 42 52 58
004r	2 24 8 12 17 30 31 42 52 58
005a	3 8 12 17 30 31 42
005d	1 23 8 12 17 30 31 42
005dn	1 8 12 17 30 31 42
005g	4 29 8 12 17 30 31 42
005l	5 8 12 17 30 31 42
005n	8 12 17 30 31 42
005p	6 8 12 17 30 31 42
005r	2 24 8 12 17 30 31 42
006a	3 8 12 17 30 31 42 52 57
006d	1 23 8 12 17 30 31 42 52 57
006dn	1 8 12 17 30 31 42 52 57
006g	4 29 8 12 17 30 31 42 52 57
006l	5 8 12 17 30 31 42 52 57
006n	8 12 17 30 31 42 52 57
006p	6 8 12 17 30 31 42 52 57
006r	2 24 8 12 17 30 31 42 52 57
007a	3 8 12 17 30 31 42 52
007d	1 23 8 12 17 30 31 42 52
007dn	1 8 12 17 30 31 42 52
007g	4 29 8 12 17 30 31 42 52
007l	5 8 12 17 30 31 42 52
007n	8 12 17 30 31 42 52
007p	6 8 12 17 30 31 42 52
007r	2 24 8 12 17 30 31 42 52
008a	3 8 12 17 30 31 35 42
008d	1 23 8 12 17 30 31 35 42
008dn	1 8 12 17 30 31 35 42
008g	4 29 8 12 17 30 31 35 42
008l	5 8 12 17 30 31 35 42
008n	8 12 17 30 31 35 42
008p	6 8 12 17 30 31 35 42
008r	2 28 8 12 17 30 31 35 42
009a	3 8 11 17 30 31 35 42
009d	1 23 8 11 17 30 31 35 42
009dn	1 8 11 17 30 31 35 42
009g	4 29 8 11 17 30 31 35 42
009l	5 8 11 17 30 31 35 42
009n	8 11 17 30 31 35 42
009p	6 8 11 17 30 31 35 42
009r	2 28 8 11 17 30 31 35 42
010a	3 8 12 14 30 31 35 42 48 49 56
010d	1 20 8 12 14 30 31 35 42 48 49 56
010dn	1 8 12 14 30 31 35 42 48 49 56
010g	4 29 8 12 14 30 31 35 42 48 49 56
010l	5 8 12 14 30 31 35 42 48 49 56
010n	8 12 14 30 31 35 42 48 49 56
010p	6 8 12 14 30 31 35 42 48 49 56
010r	2 28 8 12 14 30 31 35 42 48 49 56
011a	3 8 11 17 30 31 35 42 48 49 56
011d	1 23 8 11 17 30 31 35 42 48 49 56
011dn	1 8 11 17 30 31 35 42 48 49 56
011g	4 29 8 11 17 30 31 35 42 48 49 56
011l	5 8 11 17 30 31 35 42 48 49 56
011n	8 11 17 30 31 35 42 48 49 56
011p	6 8 11 17 30 31 35 42 48 49 56
011r	2 28 8 11 17 30 31 35 42 48 49 56
012a	3 8 11 17 30 31 35 42 48 49
012d	1 23 8 11 17 30 31 35 42 48 49
012dn	1 8 11 17 30 31 35 42 48 49
012g	4 29 8 11 17 30 31 35 42 48 49
012l	5 8 11 17 30 31 35 42 48 49
012n	8 11 17 30 31 35 42 48 49
012p	6 8 11 17 30 31 35 42 48 49
012r	2 28 8 11 17 30 31 35 42 48 49
013a	3 7 12 14 30 31 35 42 48 49 56
013d	1 20 7 12 14 30 31 35 42 48 49 56
013dn	1 7 12 14 30 31 35 42 48 49 56
013g	4 29 7 12 14 30 31 35 42 48 49 56
013l	5 7 12 14 30 31 35 42 48 49 56
013n	7 12 14 30 31 35 42 48 49 56
013p	6 7 12 14 30 31 35 42 48 49 56
013r	2 28 7 12 14 30 31 35 42 48 49 56
