ballot_type	cons_precinct_ids
001a	0002001 0002002 0002003 0002005 0002006 0002010 0002013 0002014 0002048 0002049 0002068 0002098 0002110 0002274 0002275 0002278 0002279 0002281 0002301 0002305 0002309 0002314 0002330 0002539 0002542 0002543 0002802 0002870
001d	0002001 0002002 0002003 0002005 0002006 0002010 0002013 0002014 0002048 0002049 0002068 0002098 0002110 0002274 0002275 0002278 0002279 0002281 0002301 0002305 0002309 0002314 0002330 0002539 0002542 0002543 0002802 0002870
001dn	0002001 0002002 0002003 0002005 0002006 0002010 0002013 0002014 0002048 0002049 0002068 0002098 0002110 0002274 0002275 0002278 0002279 0002281 0002301 0002305 0002309 0002314 0002330 0002539 0002542 0002543 0002802 0002870
001g	0002001 0002002 0002003 0002005 0002006 0002010 0002013 0002014 0002048 0002049 0002068 0002098 0002110 0002274 0002275 0002278 0002279 0002281 0002301 0002305 0002309 0002314 0002330 0002539 0002542 0002543 0002802 0002870
001l	0002001 0002002 0002003 0002005 0002006 0002010 0002013 0002014 0002048 0002049 0002068 0002098 0002110 0002274 0002275 0002278 0002279 0002281 0002301 0002305 0002309 0002314 0002330 0002539 0002542 0002543 0002802 0002870
001n	0002001 0002002 0002003 0002005 0002006 0002010 0002013 0002014 0002048 0002049 0002068 0002098 0002110 0002274 0002275 0002278 0002279 0002281 0002301 0002305 0002309 0002314 0002330 0002539 0002542 0002543 0002802 0002870
001p	0002001 0002002 0002003 0002005 0002006 0002010 0002013 0002014 0002048 0002049 0002068 0002098 0002110 0002274 0002275 0002278 0002279 0002281 0002301 0002305 0002309 0002314 0002330 0002539 0002542 0002543 0002802 0002870
001r	0002001 0002002 0002003 0002005 0002006 0002010 0002013 0002014 0002048 0002049 0002068 0002098 0002110 0002274 0002275 0002278 0002279 0002281 0002301 0002305 0002309 0002314 0002330 0002539 0002542 0002543 0002802 0002870
002a	0002018 0002951
002d	0002018 0002951
002dn	0002018 0002951
002g	0002018 0002951
002l	0002018 0002951
002n	0002018 0002951
002p	0002018 0002951
002r	0002018 0002951
003a	0002317 0002338
003d	0002317 0002338
003dn	0002317 0002338
003g	0002317 0002338
003l	0002317 0002338
003n	0002317 0002338
003p	0002317 0002338
003r	0002317 0002338
004a	0002720 0002721 0002749 0005775
004d	0002720 0002721 0002749 0005775
004dn	0002720 0002721 0002749 0005775
004g	0002720 0002721 0002749 0005775
004l	0002720 0002721 0002749 0005775
004n	0002720 0002721 0002749 0005775
004p	0002720 0002721 0002749 0005775
004r	0002720 0002721 0002749 0005775
005a	0002723 0002724 0002725 0002727 0002729 0002731 0002734 0003781 0003782 0005743 0005745 0005747 0005748 0005752 0005758 0005763 0005782
005d	0002723 0002724 0002725 0002727 0002729 0002731 0002734 0003781 0003782 0005743 0005745 0005747 0005748 0005752 0005758 0005763 0005782
005dn	0002723 0002724 0002725 0002727 0002729 0002731 0002734 0003781 0003782 0005743 0005745 0005747 0005748 0005752 0005758 0005763 0005782
005g	0002723 0002724 0002725 0002727 0002729 0002731 0002734 0003781 0003782 0005743 0005745 0005747 0005748 0005752 0005758 0005763 0005782
005l	0002723 0002724 0002725 0002727 0002729 0002731 0002734 0003781 0003782 0005743 0005745 0005747 0005748 0005752 0005758 0005763 0005782
005n	0002723 0002724 0002725 0002727 0002729 0002731 0002734 0003781 0003782 0005743 0005745 0005747 0005748 0005752 0005758 0005763 0005782
005p	0002723 0002724 0002725 0002727 0002729 0002731 0002734 0003781 0003782 0005743 0005745 0005747 0005748 0005752 0005758 0005763 0005782
005r	0002723 0002724 0002725 0002727 0002729 0002731 0002734 0003781 0003782 0005743 0005745 0005747 0005748 0005752 0005758 0005763 0005782
006a	0002726 0002740 0003784
006d	0002726 0002740 0003784
006dn	0002726 0002740 0003784
006g	0002726 0002740 0003784
006l	0002726 0002740 0003784
006n	0002726 0002740 0003784
006p	0002726 0002740 0003784
006r	0002726 0002740 0003784
007a	0002751
007d	0002751
007dn	0002751
007g	0002751
007l	0002751
007n	0002751
007p	0002751
007r	0002751
008a	0002808 0004665 0004669 0004672 0004685 0004687 0004689 0004691 0004695 0005759 0006663 0006666
008d	0002808 0004665 0004669 0004672 0004685 0004687 0004689 0004691 0004695 0005759 0006663 0006666
008dn	0002808 0004665 0004669 0004672 0004685 0004687 0004689 0004691 0004695 0005759 0006663 0006666
