sequence	type	contest_id	external_id	vote_for	title	text	approval_required	contest_party_id
001	header	103199	e4ad3bc8-0e0b-40e4-9982-6a989dc6bd85		Presidential Primary Election, March 3rd, 2020			
010	text	99476	70		Party-Nominated Offices	Only voters who disclosed a preference upon registering to vote for the same party as the candidate seeking the nomination of any party for the Presidency or election to a party committee may vote for that candidate at the primary election, unless the party has adopted a rule to permit non-party voters to vote in its primary elections.		
028	header	99659	header-1		PARTY-NOMINATED OFFICES			
029	header	99660	header-2		PRESIDENT OF THE UNITED STATES			
030	contest	99478	1	1	Presidential Preference			
040	contest	99479	2	1	PRESIDENTIAL PREFERENCE			
050	contest	99480	3	1	Presidential Preference			
060	contest	99481	4	1	Presidential Candidate Preference~Vote for a candidate. Delegates to the national convention will be selected after the primary election.			
070	contest	99482	5	1	Presidential Preference			
080	contest	99483	6	1	Presidential Preference			
088	header	99661	header-3		COUNTY COMMITTEE			
090	contest	99484	20	6	Members of County Central Committee~24th Assembly District			
100	contest	99485	21	6	Members of County Central Committee~25th Assembly District			
110	contest	99486	22	6	Members of County Central Committee~27th Assembly District			
120	contest	99487	23	6	Members of County Central Committee,~28th Assembly District			
130	contest	99488	24	7	Members of County Central Committee~1st Supervisorial District			
140	contest	99489	25	3	Members of County Central Committee~2nd Supervisorial District			
150	contest	99490	26	5	Members of County Central Committee~3rd Supervisorial District			
160	contest	99491	27	5	Members of County Central Committee~4th Supervisorial District			
170	contest	99492	28	5	Members of County Central Committee~5th Supervisorial District			
180	contest	99493	29	7	Member, County Council			
250	text	99500	71		Voter-Nominated and Nonpartisan Offices	All voters, regardless of the party preference they disclosed upon registration, or refusal to disclose a party preference, may vote for any candidate for a voter-nominated or nonpartisan office. The party preference, if any, designated by a candidate for a voter-nominated office is selected by the candidate and is shown for the information of the voters only. It does not imply that the candidate is nominated or endorsed by the party or that the party approves of the candidate. The party preference, if any, of a candidate for a nonpartisan office does not appear on the ballot.		
258	header	99663	header-5		VOTER-NOMINATED OFFICES			
259	header	99664	header-6		UNITED STATES REPRESENTATIVE			
260	contest	99501	7	1	District 17			
270	contest	99502	8	1	District 18			
280	contest	99503	9	1	District 19			
290	contest	99504	10	1	District 20			
299	header	99665	header-7		STATE SENATOR			
300	contest	99505	11	1	District 13			
310	contest	99506	12	1	District 15			
320	contest	99507	13	1	District 17			
329	header	99666	header-8		MEMBER OF THE STATE ASSEMBLY			
330	contest	99508	14	1	District 24			
340	contest	99509	15	1	District 25			
350	contest	99510	16	1	District 27			
360	contest	99511	17	1	District 28			
370	contest	99512	18	1	District 29			
380	contest	99513	19	1	District 30			
398	header	99667	header-9		NONPARTISAN OFFICES			
399	header	99668	header-10		JUDICIAL			
