contest_id|cand_id|cand_name|ballot_designation|cand_party|incumbent|qualified
0100|006|MICHAEL BENNET|||N|Y
0100|003|JOSEPH R. BIDEN|||N|Y
0100|008|MICHAEL R. BLOOMBERG|||N|Y
0100|009|CORY BOOKER|||N|Y
0100|010|MOSIE BOYD|||N|Y
0100|002|PETE BUTTIGIEG|||N|Y
0100|005|JULIÁN CASTRO|||N|Y
0100|004|ROQUE "ROCKY" DE LA FUENTE III|||N|Y
0100|011|JOHN K. DELANEY|||N|Y
0100|020|MICHAEL A. ELLINGER|||N|Y
0100|019|TULSI GABBARD|||N|Y
0100|015|MARK STEWART GREENSTEIN|||N|Y
0100|018|AMY KLOBUCHAR|||N|Y
0100|017|DEVAL PATRICK|||N|Y
0100|016|BERNIE SANDERS|||N|Y
0100|012|JOE SESTAK|||N|Y
0100|007|TOM STEYER|||N|Y
0100|021|ELIZABETH WARREN|||N|Y
0100|014|MARIANNE WILLIAMSON|||N|Y
0100|013|ANDREW YANG|||N|Y
0101|005|ROBERT ARDINI|||N|Y
0101|006|ROQUE "ROCKY" DE LA FUENTE|||N|Y
0101|007|ZOLTAN G. ISTVAN|||N|Y
0101|001|MATTHEW JOHN MATERN|||N|Y
0101|002|DONALD J. TRUMP|||N|Y
0101|004|JOE WALSH|||N|Y
0101|003|BILL WELD|||N|Y
0102|001|CHARLES KRAUT|||N|Y
0102|005|J.R. MYERS|||N|Y
0102|002|DON BLANKENSHIP|||N|Y
0102|003|PHIL COLLINS|||N|Y
0102|004|ROQUE "ROCKY" DE LA FUENTE|||N|Y
0104|001|DARIO HUNTER|||N|Y
0104|002|DENNIS LAMBERT|||N|Y
0104|005|SEDINAM MOYOWASIFZA-CURRY|||N|Y
0104|003|DAVID ROLDE|||N|Y
0104|004|HOWIE HAWKINS|||N|Y
0105|001|HOWIE HAWKINS|||N|Y
0105|002|GLORIA LA RIVA|||N|Y
0106|004|MAX ABRAMSON|||N|Y
0106|012|KEN ARMSTRONG|||N|Y
0106|011|DAN BEHRMAN|||N|Y
0106|006|KEENAN WALLACE DUNHAM|||N|Y
0106|008|SOURAYA FAAS|||N|Y
0106|002|ERIK CHASE GERHARDT|||N|Y
0106|003|JACOB HORNBERGER|||N|Y
0106|005|JO JORGENSEN|||N|Y
0106|013|ADAM KOKESH|||N|Y
0106|007|STEVEN A RICHEY|||N|Y
0106|009|SAM ROBB|||N|Y
