contest_id2	cand_id2	contest_id1	cand_id1	cand_seq	cand_name2	cand_name1
10	04045	0104	003		DAVID ROLDE	DAVID ROLDE
10	04046	0104	004		HOWIE HAWKINS	HOWIE HAWKINS
10	04047	0104	001		DARIO HUNTER	DARIO HUNTER
10	04048	0104	002		DENNIS LAMBERT	DENNIS LAMBERT
10	04049	0104	005		SEDINAM MOYOWASIFZA-CURRY	SEDINAM MOYOWASIFZA-CURRY
11	05050	0105	001		HOWIE HAWKINS	HOWIE HAWKINS
11	05051	0105	002		GLORIA LA RIVA	GLORIA LA RIVA
12	06052	0106	012		KEN ARMSTRONG	KEN ARMSTRONG
12	06053	0106	004		MAX ABRAMSON	MAX ABRAMSON
12	06054	0106	009		SAM ROBB	SAM ROBB
12	06055	0106	001		KIM RUFF	KIM RUFF
12	06056	0106	007		STEVEN A RICHEY	STEVEN A RICHEY
12	06057	0106	003		JACOB HORNBERGER	JACOB HORNBERGER
12	06058	0106	008		SOURAYA FAAS	SOURAYA FAAS
12	06059	0106	006		KEENAN WALLACE DUNHAM	KEENAN WALLACE DUNHAM
12	06060	0106	013		ADAM KOKESH	ADAM KOKESH
12	06061	0106	010		VERMIN SUPREME	VERMIN SUPREME
12	06062	0106	005		JO JORGENSEN	JO JORGENSEN
12	06063	0106	011		DAN BEHRMAN	DAN BEHRMAN
12	06064	0106	002		ERIK CHASE GERHARDT	ERIK CHASE GERHARDT
13	10065	1020	001		JOHN DENNIS	JOHN DENNIS
13	10066	1020	006		NANCY PELOSI	NANCY PELOSI
13	10067	1020	005		AGATHA BACELAR	AGATHA BACELAR
13	10068	1020	002		SHAHID BUTTAR	SHAHID BUTTAR
13	10069	1020	003		TOM GALLAGHER	TOM GALLAGHER
13	10070	1020	007		DEANNA LORRAINE	DEANNA LORRAINE
14	11071	1030	002		BARBARA LEE	BARBARA LEE
14	11072	1030	001		NIKKA PITERMAN	NIKKA PITERMAN
15	12073	1040	001		JACKIE SPEIER	JACKIE SPEIER
15	12074	1040	002		RAN S. PETEL	RAN S. PETEL
15	12075	1040	003		CRISTOS GOODROW	CRISTOS GOODROW
15	12076	1040	004		ERIC TAYLOR	ERIC TAYLOR
16	13077	1130	006		ERIN SMITH	ERIN SMITH
16	13078	1130	001		SCOTT WIENER	SCOTT WIENER
16	13079	1130	005		JACKIE FIELDER	JACKIE FIELDER
17	15080	1210	002		JOHN P. MCDONNELL	JOHN P. MCDONNELL
17	15081	1210	001		PHIL TING	PHIL TING
18	14082	1310	001		DAVID CHIU	DAVID CHIU
19	16083	2200	003		MARIA ELENA EVANGELISTA	MARIA ELENA EVANGELISTA
19	16084	2200	002		PANG LY	PANG LY
20	17085	2318	002		DOROTHY CHOU PROUDFOOT	DOROTHY CHOU PROUDFOOT
20	17086	2318	003		MICHELLE TONG	MICHELLE TONG
21	18087	2321	002		KULVINDAR "RANI" SINGH	KULVINDAR "RANI" SINGH
21	18088	2321	003		CAROLYN GOLD	CAROLYN GOLD
22	080100	3000	021		AHSHA SAFAI	AHSHA SAFAI
22	080101	3000	006		GORDON MAR	GORDON MAR
22	080102	3000	016		SEEYEW MO	SEEYEW MO
22	080103	3000	008		FAAUUGA MOLIGA	FAAUUGA MOLIGA
22	080104	3000	023		PAUL MIYAMOTO	PAUL MIYAMOTO
22	080105	3000	013		MARY JUNG	MARY JUNG
22	080106	3000	004		KEITH BARAKA	KEITH BARAKA
22	080107	3000	007		KELLY AKEMI GROTH	KELLY AKEMI GROTH
22	080108	3000	002		A. J. THOMAS	A. J. THOMAS
22	080109	3000	027		MAWULI TUGBENYOH	MAWULI TUGBENYOH
22	08089	3000	003		KAT ANDERSON	KAT ANDERSON
22	08090	3000	015		NADIA RAHMAN	NADIA RAHMAN
22	08091	3000	022		MANO RAJU	MANO RAJU
22	08092	3000	011		ABRA PAULINE CASTLE	ABRA PAULINE CASTLE
22	08093	3000	010		QUEENA CHEN	QUEENA CHEN
22	08094	3000	014		CYN WANG	CYN WANG
22	08095	3000	018		LEAH LACROIX	LEAH LACROIX
22	08096	3000	025		SUZY LOFTUS	SUZY LOFTUS
22	08097	3000	019		LI MIAO LOVETT	LI MIAO LOVETT
22	08098	3000	005		JANICE LI	JANICE LI
22	08099	3000	012		JANE NATOLI	JANE NATOLI
23	070110	3010	040		KRISTEN ASATO-WEBB	KRISTEN ASATO-WEBB
23	070111	3010	042		JOHN AVALOS	JOHN AVALOS
23	070112	3010	024		NIMA RAHIMI	NIMA RAHIMI
23	070113	3010	033		HILLARY RONEN	HILLARY RONEN
23	070114	3010	023		DAVID CAMPOS	DAVID CAMPOS
23	070115	3010	016		CHRISTOPHER CHRISTENSEN	CHRISTOPHER CHRISTENSEN
23	070116	3010	021		MIKE CHEN	MIKE CHEN
23	070117	3010	031		MATT HANEY	MATT HANEY
23	070118	3010	027		RICK HAUPTMAN	RICK HAUPTMAN
23	070119	3010	006		SHAUN HAINES	SHAUN HAINES
23	070120	3010	007		FRANCES HSIEH	FRANCES HSIEH
23	070121	3010	017		AUSTIN HUNTER	AUSTIN HUNTER
23	070122	3010	025		SHAMANN WALTON	SHAMANN WALTON
23	070123	3010	014		SHANELL WILLIAMS	SHANELL WILLIAMS
23	070124	3010	020		TYRA FENNELL	TYRA FENNELL
23	070125	3010	036		KEVIN ORTIZ	KEVIN ORTIZ
23	070126	3010	038		VICTOR OLIVIERI	VICTOR OLIVIERI
23	070127	3010	032		NOMVULA O'MEARA	NOMVULA O'MEARA
23	070128	3010	041		WILLIAM (ANUBIS) DAUGHERTY	WILLIAM (ANUBIS) DAUGHERTY
23	070129	3010	019		MICK DEL ROSARIO	MICK DEL ROSARIO
23	070130	3010	004		BEVAN DUFTY	BEVAN DUFTY
23	070131	3010	008		JANE KIM	JANE KIM
23	070132	3010	009		RAFAEL MANDELMAN	RAFAEL MANDELMAN
23	070133	3010	010		SOPHIE MAXWELL	SOPHIE MAXWELL
23	070134	3010	028		HONEY MAHOGANY	HONEY MAHOGANY
23	070135	3010	035		CAROLE MIGDEN	CAROLE MIGDEN
23	070136	3010	013		DAVID VILLA-LOBOS	DAVID VILLA-LOBOS
23	070137	3010	022		BIVETT BRACKETT	BIVETT BRACKETT
23	070138	3010	034		TAMI BRYANT	TAMI BRYANT
23	070139	3010	039		VALLIE BROWN	VALLIE BROWN
23	070140	3010	001		GLORIA BERRY	GLORIA BERRY
23	070141	3010	002		STEVEN BUSS	STEVEN BUSS
23	070142	3010	005		PETER GALLOTTA	PETER GALLOTTA
23	070143	3010	026		ANABELL IBÁÑEZ	ANABELL IBÁÑEZ
23	070144	3010	037		NANCY TUNG	NANCY TUNG
24	090145	3110	002		LISA REMMER	LISA REMMER
24	090146	3110	008		JOSEPH C ROBERTS	JOSEPH C ROBERTS
24	090147	3110	001		STEPHEN WAID	STEPHEN WAID
24	090148	3110	007		LEO LACAYO	LEO LACAYO
24	090149	3110	004		RYAN LAM	RYAN LAM
24	090150	3110	014		CHRISTIAN FOSTER	CHRISTIAN FOSTER
24	090151	3110	012		JOSH YORK	JOSH YORK
24	090152	3110	005		EVE DEL CASTELLO	EVE DEL CASTELLO
24	090153	3110	010		CHRIS WARD KLINE	CHRIS WARD KLINE
24	090154	3110	009		ERIN SMITH	ERIN SMITH
24	090155	3110	006		LARRY MARSO	LARRY MARSO
24	090156	3110	013		NICOLE GARAY	NICOLE GARAY
24	090157	3110	003		CALE GARVERICK	CALE GARVERICK
24	090158	3110	011		KRISTA GARVERICK	KRISTA GARVERICK
7	01013	0100	005		JULIÁN CASTRO	JULIÁN CASTRO
7	01014	0100	020		MICHAEL A. ELLINGER	MICHAEL A. ELLINGER
7	01015	0100	021		ELIZABETH WARREN	ELIZABETH WARREN
7	01016	0100	014		MARIANNE WILLIAMSON	MARIANNE WILLIAMSON
7	01017	0100	013		ANDREW YANG	ANDREW YANG
7	01018	0100	004		ROQUE "ROCKY" DE LA FUENTE III	ROQUE "ROCKY" DE LA FUENTE III
7	01019	0100	011		JOHN K. DELANEY	JOHN K. DELANEY
7	01020	0100	018		AMY KLOBUCHAR	AMY KLOBUCHAR
7	01021	0100	016		BERNIE SANDERS	BERNIE SANDERS
7	01022	0100	012		JOE SESTAK	JOE SESTAK
7	01023	0100	007		TOM STEYER	TOM STEYER
7	01024	0100	017		DEVAL PATRICK	DEVAL PATRICK
7	01025	0100	006		MICHAEL BENNET	MICHAEL BENNET
7	01026	0100	008		MICHAEL R. BLOOMBERG	MICHAEL R. BLOOMBERG
7	01027	0100	010		MOSIE BOYD	MOSIE BOYD
7	01028	0100	009		CORY BOOKER	CORY BOOKER
7	01029	0100	002		PETE BUTTIGIEG	PETE BUTTIGIEG
7	01030	0100	003		JOSEPH R. BIDEN	JOSEPH R. BIDEN
7	01031	0100	019		TULSI GABBARD	TULSI GABBARD
7	01032	0100	015		MARK STEWART GREENSTEIN	MARK STEWART GREENSTEIN
8	02033	0101	005		ROBERT ARDINI	ROBERT ARDINI
8	02034	0101	004		JOE WALSH	JOE WALSH
8	02035	0101	003		BILL WELD	BILL WELD
8	02036	0101	006		ROQUE "ROCKY" DE LA FUENTE	ROQUE "ROCKY" DE LA FUENTE
8	02037	0101	001		MATTHEW JOHN MATERN	MATTHEW JOHN MATERN
8	02038	0101	007		ZOLTAN G. ISTVAN	ZOLTAN G. ISTVAN
8	02039	0101	002		DONALD J. TRUMP	DONALD J. TRUMP
9	03040	0102	003		PHIL COLLINS	PHIL COLLINS
9	03041	0102	004		ROQUE "ROCKY" DE LA FUENTE	ROQUE "ROCKY" DE LA FUENTE
9	03042	0102	001		CHARLES KRAUT	CHARLES KRAUT
9	03043	0102	005		J.R. MYERS	J.R. MYERS
9	03044	0102	002		DON BLANKENSHIP	DON BLANKENSHIP
