contest_seq	contest_id	district_id	headings	ballot_title	contest_abbr	contest_party	vote_for	on_ballot
001	100	0	FEDERAL	PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	DEM	1	Y
002	101	0	FEDERAL	PRESIDENT OF THE UNITED STATES-REP	PRESIDENT REP	REP	1	Y
003	102	0	FEDERAL	PRESIDENT OF THE UNITED STATES-AI	PRESIDENT AI	AI	1	Y
004	104	0	FEDERAL	PRESIDENT OF THE UNITED STATES-GRN	PRESIDENT GRN	GRN	1	Y
005	105	0	FEDERAL	PRESIDENT OF THE UNITED STATES-P&F	PRESIDENT PF	PF	1	Y
006	106	0	FEDERAL	PRESIDENT OF THE UNITED STATES-LIB	PRESIDENT LIB	LIB	1	Y
007	1020	CONG12	FEDERAL	UNITED STATES REPRESENTATIVE, DISTRICT 12	US House of Rep~District 12		1	Y
008	1030	CONG13	FEDERAL	UNITED STATES REPRESENTATIVE, DISTRICT 13	US House of Rep~District 13		1	Y
009	1040	CONG14	FEDERAL	UNITED STATES REPRESENTATIVE, DISTRICT 14	US House of Rep~District 14		1	Y
010	1130	SEN11	STATE	STATE SENATOR	State Senator~District 11		1	Y
011	1210	ASSM19	STATE	STATE ASSEMBLY MEMBER, DISTRICT 19	STATE ASSEMBLY MEMBER~District 19		1	Y
012	1310	ASSM17	STATE	STATE ASSEMBLY MEMBER, DISTRICT 17	STATE ASSEMBLY MEMBER~District 17		1	Y
013	2200	CITY1	JUDICIAL	JUDGE OF THE SUPERIOR COURT, SEAT #1	Superior Court Judge~Seat 1		1	Y
014	2318	CITY1	JUDICIAL	JUDGE OF THE SUPERIOR COURT, SEAT #18	Superior Court Judge~Seat 18		1	Y
015	2321	CITY1	JUDICIAL	JUDGE OF THE SUPERIOR COURT, SEAT #21	Superior Court Judge~Seat 21		1	Y
016	3000	ASSM19	DEMOCRATIC PARTY	MEMBER, COUNTY CENTRAL COMMITTEE, ASSEMBLY DISTRICT 19	DEM CCC~District 19	DEM	10	Y
017	3010	ASSM17	DEMOCRATIC PARTY	MEMBER, COUNTY CENTRAL COMMITTEE, ASSEMBLY DISTRICT 17	DEM CCC~District 17	DEM	14	Y
018	3110	ASSM17	REPUBLICAN PARTY	MEMBER, COUNTY CENTRAL COMMITTEE, ASSEMBLY DISTRICT 17	REP CCC~District 17	REP	11	Y
