cons_precinct_id|ALL|DEM|REP|AI|PF|LIB|GRN|NPP
1101|562|323|36|5|1|1|0|196
1102|1004|619|57|17|2|6|4|299
1103|971|566|76|17|4|5|6|297
1104|1018|591|70|27|5|5|6|314
1106|771|439|50|14|2|3|10|253
1107|751|431|36|9|2|3|2|268
1108|923|563|36|20|3|0|4|297
1109|822|467|43|10|5|3|4|290
1111|1046|562|58|15|7|4|9|391
1112|802|424|35|8|3|4|0|328
1113|795|419|56|9|6|1|0|304
1114|991|541|67|26|2|5|7|343
1115|936|497|35|19|3|6|1|375
1116|931|527|58|11|4|9|4|318
1117|846|500|42|15|4|3|3|279
1118|1065|598|37|22|2|5|11|390
1119|797|476|46|13|6|3|3|250
1121|705|399|42|10|8|5|2|239
1122|637|321|46|11|2|1|2|254
1123|938|484|45|13|6|6|5|379
1124|829|447|32|21|10|5|5|309
1125|1097|597|64|13|3|9|6|405
1126|1012|566|52|10|3|4|4|373
1127|965|521|79|20|6|4|2|333
1128|879|453|55|16|5|1|4|345
1129|1036|549|92|8|4|4|4|375
1131|860|450|72|8|2|3|1|324
1132|1032|551|61|13|4|8|3|392
1133|875|490|68|15|3|4|4|291
1134|767|420|54|12|1|1|3|276
1135|556|306|32|13|0|2|1|202
1136|867|490|69|12|3|4|2|287
1141|1056|593|50|14|7|7|10|375
1142|896|535|48|14|6|3|7|283
1143|1049|574|72|25|8|6|5|359
1144|947|548|66|20|6|6|5|296
1145|905|576|43|18|7|0|7|254
1146|1054|564|71|21|7|8|12|371
1147|885|522|51|13|4|4|9|282
1148|1028|581|56|11|6|6|8|360
1149|939|546|52|19|5|8|5|304
1151|0|0|0|0|0|0|0|0
1152|890|497|63|13|10|2|4|301
1153|940|503|65|19|2|3|3|345
1154|0|0|0|0|0|0|0|0
7001|773|490|31|12|1|2|10|227
7002|714|442|41|11|0|8|5|207
7003|906|613|42|15|2|7|8|219
7004|913|607|32|9|0|9|6|250
7005|859|605|26|7|2|5|6|208
7006|932|614|33|11|7|7|11|249
7007|957|650|42|13|1|7|7|237
7008|909|628|38|18|1|2|7|215
7009|871|573|36|14|2|8|8|230
7011|973|650|34|11|16|5|6|251
7012|1226|816|58|16|1|5|5|325
7013|1139|747|41|26|1|9|3|312
7014|719|501|36|12|1|5|3|161
7015|110|71|5|8|0|1|1|24
7016|932|506|45|22|9|6|3|341
7017|781|512|22|18|13|2|6|208
7018|1047|584|42|17|3|4|0|397
7019|900|532|42|13|6|5|7|295
7021|967|591|25|17|9|4|8|313
7022|963|604|35|19|8|4|7|286
7023|920|615|36|17|8|3|6|235
7024|441|285|9|9|9|1|1|127
7025|483|289|19|10|5|1|4|155
7026|1010|490|54|8|5|3|3|447
7027|896|524|52|17|7|1|3|292
7028|856|541|17|12|4|6|3|273
7029|909|617|25|18|8|0|1|240
7030|795|380|50|12|2|2|1|348
7031|694|390|27|12|2|4|2|257
7032|881|516|37|15|5|4|4|300
7033|778|503|22|8|3|6|5|231
7034|938|579|23|33|11|3|0|289
7035|719|423|35|20|8|4|2|227
7036|974|520|68|18|6|2|1|359
7037|746|413|20|27|14|3|3|266
7038|961|488|40|20|3|4|5|401
7039|837|452|55|10|1|3|4|312
7041|66|31|7|0|0|1|0|27
7042|660|360|50|15|3|2|3|227
7043|978|556|45|16|4|4|5|348
7044|852|504|31|28|13|4|5|267
7045|786|399|37|16|3|2|0|329
7046|430|255|22|4|2|3|0|144
7047|883|478|52|17|3|5|3|325
7048|881|502|42|13|3|2|2|317
7049|826|368|72|9|4|3|0|370
7051|880|427|69|11|5|5|4|359
7052|906|461|52|10|6|4|2|371
7053|585|320|43|7|2|2|2|209
7054|1136|706|45|22|4|2|3|354
7055|826|507|45|14|2|4|2|252
7056|705|456|24|7|0|7|4|207
7101|147|104|2|1|0|1|2|37
7201|935|550|112|22|0|7|0|244
7202|851|488|117|20|0|10|3|213
7203|879|521|69|17|1|8|5|258
7204|899|556|86|17|0|9|2|229
7205|871|520|96|19|0|3|7|226
7206|377|230|33|7|0|1|1|105
7207|867|506|61|31|3|9|4|253
7208|570|337|46|17|1|2|0|167
7209|647|370|85|14|2|6|1|169
7301|1014|538|78|22|0|8|3|365
7302|849|452|75|15|1|1|4|301
7303|1068|600|101|19|2|6|7|333
7304|1001|599|83|19|2|10|4|284
7305|867|494|100|17|0|7|8|241
7306|1044|582|80|30|1|12|4|335
7307|774|455|64|20|1|3|3|228
7308|625|379|49|12|0|6|4|175
7309|858|502|84|26|1|13|3|229
7311|906|538|72|19|3|8|6|260
7312|810|501|99|18|0|6|2|184
7313|1003|569|77|21|3|5|2|326
7314|759|330|24|6|6|8|2|383
7315|765|408|53|20|0|7|4|273
7316|832|443|46|12|2|11|8|310
7317|890|491|77|13|3|5|5|296
7318|723|386|52|8|2|3|6|266
7319|1049|590|83|18|2|5|5|346
7321|659|313|43|14|1|4|4|280
7322|888|360|36|10|1|2|1|478
7323|956|538|63|18|2|7|4|324
7324|737|422|77|5|2|10|3|218
7325|886|516|65|9|0|6|1|289
7326|859|457|83|10|5|4|4|296
7327|687|252|32|6|2|2|4|389
7328|1002|355|62|8|6|5|4|562
7329|651|308|71|15|2|5|6|244
7331|870|479|119|15|1|9|2|245
7332|790|466|44|9|7|9|6|249
7333|1015|615|74|27|4|10|2|283
7334|819|518|49|19|2|4|5|222
7335|934|537|104|24|2|12|3|252
7336|954|528|124|21|1|8|5|267
7337|897|480|86|24|3|8|1|295
7338|895|380|53|14|6|7|2|433
7339|755|438|45|11|2|17|4|238
7341|853|515|44|23|3|12|2|254
7342|904|565|61|18|2|9|3|246
7343|704|457|28|14|4|9|5|187
7344|1064|623|65|26|2|6|9|333
7345|1114|692|55|32|1|9|8|317
7346|889|545|52|14|4|2|13|259
7347|1003|605|50|24|3|11|9|301
7348|843|493|49|18|6|9|5|263
7349|912|517|76|29|4|9|1|276
7501|551|346|43|8|1|0|3|150
7502|789|452|62|13|1|7|6|248
7503|762|484|55|13|3|4|1|202
7504|488|292|36|4|1|1|1|153
7505|862|544|81|17|0|5|3|212
7506|1000|637|47|22|2|9|2|281
7507|956|604|37|21|8|1|4|281
7508|744|476|45|8|1|3|8|203
7509|929|597|49|17|0|5|4|257
7512|600|346|66|5|2|2|2|177
7513|806|515|54|12|3|3|1|218
7514|916|563|37|10|1|4|2|299
7515|864|566|37|13|7|4|3|234
7516|920|604|55|10|1|10|4|236
7517|868|607|19|16|3|9|5|209
7518|926|636|25|7|2|5|6|245
7519|715|480|22|13|3|7|9|181
7521|779|548|22|13|2|12|8|174
7522|759|522|17|8|2|10|3|197
7523|744|514|17|7|0|4|10|192
7524|624|415|14|14|4|1|7|169
7525|764|505|22|14|4|6|4|209
7526|988|675|35|18|2|5|4|249
7527|710|462|38|11|2|2|5|190
7529|903|648|22|8|2|4|9|210
