iContestID	szBallotHeading	szSubHeading	szOfficeTitle	szOfficeAbbr1	szOfficeAbbr2	sGoesIntoExtension	iNumToVoteFor	iOfficeOnBallot	iNumQualified	iNumCandidates	iCandidateID	szCandidateName	szBallotDesignation	iIncumbent	dtQualified	dtSigsInLieuFiled_dt	dtSigsInLieuIssued_dt	dtDecOfIntentIssued_dt	dtDecOfIntentFiled_dt	dtNOMIssued_dt	dtNomFiled_dt	dtFilingFeePaid_dt	dtCandStmtFiled_dt	dtCandStmtIssued_dt	dtDecOfCandIssued_dt	dtDecOfCandFiled_dt	dtCodeFairCampFiled_dt	sUserCode1	sUserCode2	szResAddress1	szResAddress2	szResAddress3	szMailAddr1	szMailAddr2	szMailAddr3	szMailAddr4	szBusinessAddr1	szBusinessCity	szBusinessState	szBusinessZip	sBusinessPhone	sHomePhone	sFaxNo	szEmailAddress	sPartyAbbr	szPartyName	sCampaignPhone	sCampaignFax	sCampaignMobile	szWebAddress	sElectronicCandStmt
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	6	MICHAEL BENNET		0	12/11/2019 12:48:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	3	JOSEPH R. BIDEN		0	12/11/2019 12:48:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	8	MICHAEL R. BLOOMBERG		0	12/11/2019 12:56:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	9	CORY BOOKER		0	12/11/2019 12:56:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	10	MOSIE BOYD		0	12/11/2019 12:57:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	2	PETE BUTTIGIEG		0	12/11/2019 12:58:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	5	JULIÁN CASTRO		0	12/11/2019 12:58:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	4	ROQUE "ROCKY" DE LA FUENTE III		0	12/11/2019 12:59:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	11	JOHN K. DELANEY		0	12/11/2019 12:59:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	20	MICHAEL A. ELLINGER		0	12/11/2019 1:03:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	19	TULSI GABBARD		0	12/11/2019 1:11:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	15	MARK STEWART GREENSTEIN		0	12/11/2019 1:12:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	18	AMY KLOBUCHAR		0	12/11/2019 1:12:00 PM																																				No
100	FEDERAL		PRESIDENT OF THE UNITED STATES-DEM	PRESIDENT DEM	 DEM	N	1	1	20	20	17	DEVAL PATRICK		0	12/11/2019 1:13:00 PM																																				No
