ELECTION	CONTESTID	CONTESTTITLE1	CONTESTTITLE2	NUMTOVOTFOR	TERMOFOFFICE	FILINGFEE	NUMOFCANDS	NUMQUALIFIEDCANDS	NUMTOVOTFOR	DECOFINTENT	FILINGEXTENSION	CANDSTMT	DISTRICTID	SUBDISTRICT	CONTESTPARTY
March 3 2020 Consolidated Presidential Primary Election	100	PRESIDENT DEM		1	4	0	20	20	1	0	0	0	*0	0	DEM
March 3 2020 Consolidated Presidential Primary Election	101	PRESIDENT REP		1	4	0	7	7	1	0	0	0	*0	0	REP
March 3 2020 Consolidated Presidential Primary Election	102	PRESIDENT AI		1	4	0	5	5	1	0	0	0	*0	0	AI
March 3 2020 Consolidated Presidential Primary Election	104	PRESIDENT GRN		1	4	0	5	5	1	0	0	0	*0	0	GRN
March 3 2020 Consolidated Presidential Primary Election	105	PRESIDENT PF		1	4	0	2	2	1	0	0	0	*0	0	PF
March 3 2020 Consolidated Presidential Primary Election	106	PRESIDENT LIB		1	4	0	13	13	1	0	0	0	*0	0	LIB
March 3 2020 Consolidated Presidential Primary Election	1020	US House of Rep	District 12	1	2	1740	6	6	1	0	0	1	CONG12	0	
March 3 2020 Consolidated Presidential Primary Election	1030	US House of Rep	District 13	1	2	1740	2	2	1	0	0	1	CONG13	0	
March 3 2020 Consolidated Presidential Primary Election	1040	US House of Rep	District 14	1	2	1740	4	4	1	0	0	1	CONG14	0	
March 3 2020 Consolidated Presidential Primary Election	1130	State Senator	District 11	1	4	1001.13	3	3	1	0	0	1	SEN11	0	
March 3 2020 Consolidated Presidential Primary Election	1210	STATE ASSEMBLY MEMBER	District 19	1	2	952.91	2	2	1	0	0	1	ASSM19	0	
March 3 2020 Consolidated Presidential Primary Election	1310	STATE ASSEMBLY MEMBER	District 17	1	2	952.91	1	1	1	0	0	1	ASSM17	0	
March 3 2020 Consolidated Presidential Primary Election	2200	Superior Court Judge	Seat 1	1	6	1788	2	2	1	0	0	0	CITY1	0	
March 3 2020 Consolidated Presidential Primary Election	2318	Superior Court Judge	Seat 18	1	6	1788	2	2	1	0	0	0	CITY1	0	
March 3 2020 Consolidated Presidential Primary Election	2321	Superior Court Judge	Seat 21	1	6	1788	2	2	1	0	0	0	CITY1	0	
March 3 2020 Consolidated Presidential Primary Election	3000	DEM CCC	District 19	10	4	0	21	21	10	0	0	0	ASSM19	0	DEM
March 3 2020 Consolidated Presidential Primary Election	3010	DEM CCC	District 17	14	4	0	35	35	14	0	0	0	ASSM17	0	DEM
March 3 2020 Consolidated Presidential Primary Election	3110	REP CCC	District 17	11	4	0	14	14	11	0	0	0	ASSM17	0	REP
