ELECTIONABBR	CONTESTID	CONTESTABBR1	CONTESTABBR2	BALLOTTYPE	ROTATION
2020PRI   	100	PRESIDENT DEM	  DEM 	1	19
2020PRI   	100	PRESIDENT DEM	  DEM 	2	17
2020PRI   	100	PRESIDENT DEM	  DEM 	3	17
2020PRI   	100	PRESIDENT DEM	  DEM 	4	19
2020PRI   	100	PRESIDENT DEM	  DEM 	5	19
2020PRI   	100	PRESIDENT DEM	  DEM 	6	19
2020PRI   	100	PRESIDENT DEM	  DEM 	7	17
2020PRI   	100	PRESIDENT DEM	  DEM 	8	17
2020PRI   	100	PRESIDENT DEM	  DEM 	9	17
2020PRI   	101	PRESIDENT REP	  REP 	1	5
2020PRI   	101	PRESIDENT REP	  REP 	2	3
2020PRI   	101	PRESIDENT REP	  REP 	3	3
2020PRI   	101	PRESIDENT REP	  REP 	4	5
2020PRI   	101	PRESIDENT REP	  REP 	5	5
2020PRI   	101	PRESIDENT REP	  REP 	6	5
2020PRI   	101	PRESIDENT REP	  REP 	7	3
2020PRI   	101	PRESIDENT REP	  REP 	8	3
2020PRI   	101	PRESIDENT REP	  REP 	9	3
2020PRI   	102	PRESIDENT AI	  AI  	1	4
2020PRI   	102	PRESIDENT AI	  AI  	2	2
2020PRI   	102	PRESIDENT AI	  AI  	3	2
2020PRI   	102	PRESIDENT AI	  AI  	4	4
2020PRI   	102	PRESIDENT AI	  AI  	5	4
2020PRI   	102	PRESIDENT AI	  AI  	6	4
2020PRI   	102	PRESIDENT AI	  AI  	7	2
2020PRI   	102	PRESIDENT AI	  AI  	8	2
2020PRI   	102	PRESIDENT AI	  AI  	9	2
2020PRI   	104	PRESIDENT GRN	  GRN 	1	4
2020PRI   	104	PRESIDENT GRN	  GRN 	2	2
2020PRI   	104	PRESIDENT GRN	  GRN 	3	2
2020PRI   	104	PRESIDENT GRN	  GRN 	4	4
2020PRI   	104	PRESIDENT GRN	  GRN 	5	4
2020PRI   	104	PRESIDENT GRN	  GRN 	6	4
2020PRI   	104	PRESIDENT GRN	  GRN 	7	2
2020PRI   	104	PRESIDENT GRN	  GRN 	8	2
2020PRI   	104	PRESIDENT GRN	  GRN 	9	2
2020PRI   	105	PRESIDENT PF	  PF  	1	1
2020PRI   	105	PRESIDENT PF	  PF  	2	1
2020PRI   	105	PRESIDENT PF	  PF  	3	1
2020PRI   	105	PRESIDENT PF	  PF  	4	1
2020PRI   	105	PRESIDENT PF	  PF  	5	1
2020PRI   	105	PRESIDENT PF	  PF  	6	1
2020PRI   	105	PRESIDENT PF	  PF  	7	1
2020PRI   	105	PRESIDENT PF	  PF  	8	1
2020PRI   	105	PRESIDENT PF	  PF  	9	1
2020PRI   	106	PRESIDENT LIB	  LIB 	1	6
2020PRI   	106	PRESIDENT LIB	  LIB 	2	4
2020PRI   	106	PRESIDENT LIB	  LIB 	3	4
2020PRI   	106	PRESIDENT LIB	  LIB 	4	6
2020PRI   	106	PRESIDENT LIB	  LIB 	5	6
2020PRI   	106	PRESIDENT LIB	  LIB 	6	6
2020PRI   	106	PRESIDENT LIB	  LIB 	7	4
2020PRI   	106	PRESIDENT LIB	  LIB 	8	4
2020PRI   	106	PRESIDENT LIB	  LIB 	9	4
2020PRI   	1020	US House of Rep	District 12      	2	1
2020PRI   	1020	US House of Rep	District 12      	3	1
2020PRI   	1020	US House of Rep	District 12      	5	2
2020PRI   	1020	US House of Rep	District 12      	6	2
2020PRI   	1030	US House of Rep	District 13      	7	1
2020PRI   	1040	US House of Rep	District 14      	1	2
2020PRI   	1040	US House of Rep	District 14      	4	2
2020PRI   	1040	US House of Rep	District 14      	8	1
2020PRI   	1040	US House of Rep	District 14      	9	1
2020PRI   	1130	State Senator	District 11      	1	0
2020PRI   	1130	State Senator	District 11      	2	0
2020PRI   	1130	State Senator	District 11      	3	0
2020PRI   	1130	State Senator	District 11      	4	0
2020PRI   	1130	State Senator	District 11      	5	0
2020PRI   	1130	State Senator	District 11      	6	0
2020PRI   	1130	State Senator	District 11      	7	0
2020PRI   	1130	State Senator	District 11      	8	0
2020PRI   	1130	State Senator	District 11      	9	0
2020PRI   	1210	STATE ASSEMBLY MEMBER	District 19      	1	0
2020PRI   	1210	STATE ASSEMBLY MEMBER	District 19      	4	0
2020PRI   	1210	STATE ASSEMBLY MEMBER	District 19      	5	0
2020PRI   	1210	STATE ASSEMBLY MEMBER	District 19      	6	0
2020PRI   	1310	STATE ASSEMBLY MEMBER	District 17      	2	0
2020PRI   	1310	STATE ASSEMBLY MEMBER	District 17      	3	0
