sDistrictID	iSubDistrict	szDistrictName	sPrecinctID	sPrecinctPortion	szPrecinctName	dtLastUpdateDate
*0	0	County Wide	1101   		Pct 1101	5/30/2012 1:43:05 PM
*0	0	County Wide	1102   		Pct 1102	5/30/2012 1:43:05 PM
*0	0	County Wide	1103   		Pct 1103	5/30/2012 1:43:05 PM
*0	0	County Wide	1104   		Pct 1104	5/30/2012 1:43:05 PM
*0	0	County Wide	1105   		Pct 1105	5/30/2012 1:43:05 PM
*0	0	County Wide	1106   		Pct 1106	5/30/2012 1:43:05 PM
*0	0	County Wide	1107   		Pct 1107	5/30/2012 1:43:05 PM
*0	0	County Wide	1108   		Pct 1108	5/30/2012 1:43:05 PM
*0	0	County Wide	1109   		Pct 1109	5/30/2012 1:43:05 PM
*0	0	County Wide	1111   		Pct 1111	5/30/2012 1:43:05 PM
*0	0	County Wide	1112   		Pct 1112	5/30/2012 1:43:05 PM
*0	0	County Wide	1113   		Pct 1113	5/30/2012 1:43:05 PM
*0	0	County Wide	1114   		Pct 1114	5/30/2012 1:43:05 PM
*0	0	County Wide	1115   		Pct 1115	5/30/2012 1:43:05 PM
*0	0	County Wide	1116   		Pct 1116	5/30/2012 1:43:05 PM
*0	0	County Wide	1117   		Pct 1117	5/30/2012 1:43:05 PM
*0	0	County Wide	1118   		Pct 1118	5/30/2012 1:43:05 PM
*0	0	County Wide	1119   		Pct 1119	5/30/2012 1:43:05 PM
*0	0	County Wide	1121   		Pct 1121	5/30/2012 1:43:05 PM
*0	0	County Wide	1122   		Pct 1122	5/30/2012 1:43:05 PM
*0	0	County Wide	1123   		Pct 1123	5/30/2012 1:43:05 PM
*0	0	County Wide	1124   		Pct 1124	5/30/2012 1:43:05 PM
*0	0	County Wide	1125   		Pct 1125	5/30/2012 1:43:05 PM
*0	0	County Wide	1126   		Pct 1126	5/30/2012 1:43:05 PM
*0	0	County Wide	1127   		Pct 1127	5/30/2012 1:43:05 PM
*0	0	County Wide	1128   		Pct 1128	5/30/2012 1:43:05 PM
*0	0	County Wide	1129   		Pct 1129	5/30/2012 1:43:05 PM
*0	0	County Wide	1131   		Pct 1131	5/30/2012 1:43:05 PM
*0	0	County Wide	1132   		Pct 1132	5/30/2012 1:43:05 PM
*0	0	County Wide	1133   		Pct 1133	5/30/2012 1:43:05 PM
*0	0	County Wide	1134   		Pct 1134	5/30/2012 1:43:05 PM
*0	0	County Wide	1135   		Pct 1135	5/30/2012 1:43:05 PM
*0	0	County Wide	1136   		Pct 1136	5/30/2012 1:43:05 PM
*0	0	County Wide	1141   		Pct 1141	5/30/2012 1:43:05 PM
*0	0	County Wide	1142   		Pct 1142	5/30/2012 1:43:05 PM
*0	0	County Wide	1143   		Pct 1143	5/30/2012 1:43:05 PM
*0	0	County Wide	1144   		Pct 1144	5/30/2012 1:43:05 PM
*0	0	County Wide	1145   		Pct 1145	5/30/2012 1:43:05 PM
*0	0	County Wide	1146   		Pct 1146	5/30/2012 1:43:05 PM
*0	0	County Wide	1147   		Pct 1147	5/30/2012 1:43:05 PM
*0	0	County Wide	1148   		Pct 1148	5/30/2012 1:43:05 PM
*0	0	County Wide	1149   		Pct 1149	5/30/2012 1:43:05 PM
*0	0	County Wide	1151   		Pct 1151	5/30/2012 1:43:05 PM
*0	0	County Wide	1152   		Pct 1152	5/30/2012 1:43:05 PM
*0	0	County Wide	1153   		Pct 1153	5/30/2012 1:43:05 PM
*0	0	County Wide	1154   		Pct 1154	5/30/2012 1:43:05 PM
*0	0	County Wide	7001   		Pct 7001	5/30/2012 1:43:05 PM
*0	0	County Wide	7002   		Pct 7002	5/30/2012 1:43:05 PM
*0	0	County Wide	7003   		Pct 7003	5/30/2012 1:43:05 PM
*0	0	County Wide	7004   		Pct 7004	5/30/2012 1:43:05 PM
*0	0	County Wide	7005   		Pct 7005	5/30/2012 1:43:05 PM
*0	0	County Wide	7006   		Pct 7006	5/30/2012 1:43:05 PM
*0	0	County Wide	7007   		Pct 7007	5/30/2012 1:43:05 PM
*0	0	County Wide	7008   		Pct 7008	5/30/2012 1:43:05 PM
*0	0	County Wide	7009   		Pct 7009	5/30/2012 1:43:05 PM
*0	0	County Wide	7011   		Pct 7011	5/30/2012 1:43:05 PM
*0	0	County Wide	7012   		Pct 7012	5/30/2012 1:43:05 PM
*0	0	County Wide	7013   		Pct 7013	5/30/2012 1:43:05 PM
*0	0	County Wide	7014   		Pct 7014	5/30/2012 1:43:05 PM
*0	0	County Wide	7015   		Pct 7015	5/30/2012 1:43:05 PM
*0	0	County Wide	7016   		Pct 7016	5/30/2012 1:43:05 PM
*0	0	County Wide	7017   		Pct 7017	5/30/2012 1:43:05 PM
*0	0	County Wide	7018   		Pct 7018	5/30/2012 1:43:05 PM
*0	0	County Wide	7019   		Pct 7019	5/30/2012 1:43:05 PM
*0	0	County Wide	7021   		Pct 7021	5/30/2012 1:43:05 PM
*0	0	County Wide	7022   		Pct 7022	5/30/2012 1:43:05 PM
*0	0	County Wide	7023   		Pct 7023	5/30/2012 1:43:05 PM
*0	0	County Wide	7024   		Pct 7024	5/30/2012 1:43:05 PM
*0	0	County Wide	7025   		Pct 7025	5/30/2012 1:43:05 PM
*0	0	County Wide	7026   		Pct 7026	5/30/2012 1:43:05 PM
*0	0	County Wide	7027   		Pct 7027	5/30/2012 1:43:05 PM
*0	0	County Wide	7028   		Pct 7028	5/30/2012 1:43:05 PM
*0	0	County Wide	7029   		Pct 7029	5/30/2012 1:43:05 PM
*0	0	County Wide	7030   		Pct 7030	7/5/2012 6:11:26 PM
*0	0	County Wide	7031   		Pct 7031	5/30/2012 1:43:05 PM
*0	0	County Wide	7032   		Pct 7032	5/30/2012 1:43:05 PM
*0	0	County Wide	7033   		Pct 7033	5/30/2012 1:43:05 PM
*0	0	County Wide	7034   		Pct 7034	5/30/2012 1:43:05 PM
*0	0	County Wide	7035   		Pct 7035	5/30/2012 1:43:05 PM
*0	0	County Wide	7036   		Pct 7036	5/30/2012 1:43:05 PM
*0	0	County Wide	7037   		Pct 7037	5/30/2012 1:43:05 PM
*0	0	County Wide	7038   		Pct 7038	5/30/2012 1:43:05 PM
*0	0	County Wide	7039   		Pct 7039	5/30/2012 1:43:05 PM
*0	0	County Wide	7041   		Pct 7041	5/30/2012 1:43:05 PM
*0	0	County Wide	7042   		Pct 7042	5/30/2012 1:43:05 PM
*0	0	County Wide	7043   		Pct 7043	5/30/2012 1:43:05 PM
*0	0	County Wide	7044   		Pct 7044	5/30/2012 1:43:05 PM
*0	0	County Wide	7045   		Pct 7045	5/30/2012 1:43:05 PM
*0	0	County Wide	7046   		Pct 7046	5/30/2012 1:43:05 PM
*0	0	County Wide	7047   		Pct 7047	5/30/2012 1:43:05 PM
*0	0	County Wide	7048   		Pct 7048	5/30/2012 1:43:05 PM
*0	0	County Wide	7049   		Pct 7049	5/30/2012 1:43:05 PM
*0	0	County Wide	7051   		Pct 7051	5/30/2012 1:43:05 PM
*0	0	County Wide	7052   		Pct 7052	5/30/2012 1:43:05 PM
*0	0	County Wide	7053   		Pct 7053	5/30/2012 1:43:05 PM
*0	0	County Wide	7054   		Pct 7054	5/30/2012 1:43:05 PM
*0	0	County Wide	7055   		Pct 7055	4/11/2017 3:22:41 PM
*0	0	County Wide	7056   		Pct 7056	3/4/2019 1:31:28 PM
*0	0	County Wide	7101   		Pct 7101	5/30/2012 1:43:05 PM
*0	0	County Wide	7201   		Pct 7201	5/30/2012 1:43:05 PM
*0	0	County Wide	7202   		Pct 7202	5/30/2012 1:43:05 PM
*0	0	County Wide	7203   		Pct 7203	5/30/2012 1:43:05 PM
*0	0	County Wide	7204   		Pct 7204	5/30/2012 1:43:05 PM
*0	0	County Wide	7205   		Pct 7205	5/30/2012 1:43:05 PM
*0	0	County Wide	7206   		Pct 7206	5/30/2012 1:43:05 PM
*0	0	County Wide	7207   		Pct 7207	5/30/2012 1:43:05 PM
*0	0	County Wide	7208   		Pct 7208	5/30/2012 1:43:05 PM
*0	0	County Wide	7209   		Pct 7209	5/30/2012 1:43:05 PM
*0	0	County Wide	7301   		Pct 7301	5/30/2012 1:43:05 PM
*0	0	County Wide	7302   		Pct 7302	5/30/2012 1:43:05 PM
*0	0	County Wide	7303   		Pct 7303	5/30/2012 1:43:05 PM
*0	0	County Wide	7304   		Pct 7304	5/30/2012 1:43:05 PM
*0	0	County Wide	7305   		Pct 7305	5/30/2012 1:43:05 PM
*0	0	County Wide	7306   		Pct 7306	5/30/2012 1:43:05 PM
*0	0	County Wide	7307   		Pct 7307	5/30/2012 1:43:05 PM
*0	0	County Wide	7308   		Pct 7308	5/30/2012 1:43:05 PM
*0	0	County Wide	7309   		Pct 7309	5/30/2012 1:43:05 PM
*0	0	County Wide	7311   		Pct 7311	5/30/2012 1:43:05 PM
*0	0	County Wide	7312   		Pct 7312	5/30/2012 1:43:05 PM
