ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	1151   	Pct 1151 MB	1151   		2  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	1154   	Pct 1154 MB	1154   		2  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7015   	Pct 7015 MB	7015   		3  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7041   	Pct 7041 MB	7041   		3  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7101   	Pct 7101 MB	7101   		2  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7553   	Pct 7553 MB	7553   		2  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7648   	Pct 7648 MB	7648   		3  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7703   	Pct 7703 MB	7703   		2  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7933   	Pct 7933 MB	7933   		2  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7954   	Pct 7954 MB	7954   		2  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7958   	Pct 7958 MB	7958   		2  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9001   	Pct 9001 MB	9001   		4  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9257   	Pct 9257 MB	9257   		6  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9501   	Pct 9501 MB	9501   		5  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9502   	Pct 9502 MB	9502   		5  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9706   	Pct 9706 MB	9706   		5  
2020PRI   	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9732   	Pct 9732 MB	9732   		5  
