poll_id|poll_location|poll_directions|poll_address|poll_city|accessibility
1013|Alvarado Elementary School - Motor Skills Rm|Enter On 22nd St. Between Douglass & Eureka|625 Douglass St||4.5% Slope
1047|Firehouse #11|Btw Church And Dolores Sts|3880 26th St||7.1% Slope
1063|Leonard Flynn School - Parent Center Bungalow|Enter On Harrison Btw Precita & Cesar Chavez|3125 Cesar Chavez St||8.0% Slope Ramped Access
1064|Garage|Between Alabama & Florida Sts|514 Precita Avenue||5.5% Slope
1069|Community Center - Bernal Hts - Dining Room|Btw Andover & Moultrie Sts|515 Cortland Ave||7% Slope
106|St John's Presbyterian Church - Lobby|Enter At Corner Of Lake St & Arguello Bl|25 Lake St||8.3% Slope - Ramped Access
1089|Jewish Community Center Of S F - Atrium|Btw Presidio Ave & Walnut St|3200 California St||1.9% Slope
1093|Taraval Police Station|Between Taraval & Santiago|2345 24th Ave||6.7% Slope
1126|Royal Apartments - Community Rm|Btw Webster & Fillmore|1390 1/2 Turk St||6.1% Slope
1138|Dolores Street Community Services - Conf Room|Btw 20th & Liberty Sts|938 Valencia  St||1.9% Slope
1143|Noe Valley Branch Library - Program Room|Btw Diamond & Castro|451 Jersey St||4.4% Slope
1144|Bethany United Methodist Church - Chapel|Btw Clipper &26th St.|1270 Sanchez St||1.2% Slope
1149|School - Hoover - Auditorium Lobby|Enter 14th Ave At Santiago|2290 14th Ave||8.3% Slope - Ramped Access
1150|Firehouse #24|Btw Alvarado & 23rd Sts|100 Hoffman Ave||1.6% Slope
116|Menorah Park- Conference Room|Between Walnut & Presidio Ave|3365 Sacramento St||3.3% Slope
119|Firehouse #34|Btw Geary Blvd & Pt. Lobos Ave|499 41st Ave||7.1% Slope
11|Longfellow School - Front Lobby|Btw Mission & Lowell|755 Morse St||3.5% Slope
1204|School - Sunshine - S F Education Fund|Between 25th & 26th Street|2730 Bryant St||7.5% Slope - Ramped Access
1210|Western Park Apartments - Community Room|Between Eddy & Ellis|1280 Laguna St||8.3% Slope
121|Garage|Btw Balboa & Cabrillo Sts|734 46th Ave||1.6% Slope
1224|School - Martin Luther King Jr - Cafeteria|Btw Bacon & Burrows Sts|350 Girard Street||4.8% Slope
1243|Garage|Btw California & Lake Sts|199 15th Ave||1.4% Slope
1275|Church - Convent Presbyterian - Portalhurst Hall|Btw Funston Ave And 14th Ave|321 Taraval Street||7% Slope
1284|Garage|Btw Masonic & Levant|366 Roosevelt Way||5.7% Slope
1318|Garage|Btw Guererro & Dolores Sts|59 28th St||4.6% Slope
1336|Rochambeau Playground - Clubhouse|Btw California & Lake Sts|250 25th Ave||4.6% Slope
134|Golden Gate Park Sr. Center - Lobby|Btw 37th & 38th Aves|6101 Fulton St||8.3% Slope
1358|James Denman School - Front Lobby|Btw Delano & Otsego|241 Oneida Ave||5.0% Slope
1360|Garage|Btw San Juan & Santa Ysabel|91 Delano Ave||4 % slope
1363|Fire Station #44|Btw Wilde And Harkness Aves|1298 Girard St||3.5% Slope
138|Washington High School - Audit Lobby|Enter 30th Ave At Anza St|600 32nd Ave||7.4% Slope - Ramped Access
1414|Church - First Unitarian Universalist|Enter On Geary Btw Gough & Franklin|1187 Franklin St||7% Slope - Ramped Access
1425|Community Room|Btw Duboce Ave & 14th St|25 Sanchez St||7.4% Slope - Ramped Access
1442|Hayes Valley Apartments - Community Room|Btw Buchanan & Webster|403 Rose St||1.2 % Slope
1450|1760 Bush Street Apartments - Community Rm|Btw Octavia & Gough|1760 Bush St||8.3% Slope - Ramped Access
1451|Firehouse #17|Corner Hawes & Ingalls Sts|1295 Shafter Ave||8.3% Slope
1483|Ebenezer Lutheran Church|Enter Portola Dr Between Sydney Way And Woodside Ave|678 Portola Drive||4% Slope
1488|St. Andrew's Society Of San Francisco|Btw Jones & Leavenworth|1088 Green Street||4.7% Slope
148|Academic & Professional Dev - Room 118|Btw Balboa & Cabrillo Sts|735 24th Ave||6.9% Slope
1494|Firehouse #23|Between Irving and Judah Streets|1348 45th Ave||7% Slope
1499|Club House - Forest Hill Association|Enter Btw Montalvo And Dorantes|381 Magellan Ave||Exceeds 8.3% Running Slope, 2% Cross Slope. Curbside Voting Avail
150|School - Alamo Elementary - Lobby|Between Clement & California Sts|250 23rd Ave - Use Entrance Nearest Clement||3.7% Slope
