precinct_id|cons_precinct_id|cons_precinct_name|ballot_type|vbm|poll_id
1101|1101|Pct 1101|001|N|2036
1102|1102|Pct 1102|001|N|1360
1103|1103|Pct 1103|001|N|3181
1104|1104|Pct 1104/1105|001|N|36
1105|1104|Pct 1104/1105|001|N|36
1106|1106|Pct 1106|001|N|492
1107|1107|Pct 1107|001|N|3517
1108|1108|Pct 1108|001|N|3110
1109|1109|Pct 1109|001|N|2268
1111|1111|Pct 1111|001|N|2413
1112|1112|Pct 1112|001|N|1840
1113|1113|Pct 1113|001|N|1358
1114|1114|Pct 1114|001|N|21
1115|1115|Pct 1115|001|N|2633
1116|1116|Pct 1116|001|N|2055
1117|1117|Pct 1117|001|N|3538
1118|1118|Pct 1118|001|N|2270
1119|1119|Pct 1119|001|N|2934
1121|1121|Pct 1121|001|N|3027
1122|1122|Pct 1122|001|N|3373
1123|1123|Pct 1123|001|N|1557
1124|1124|Pct 1124|001|N|2900
1125|1125|Pct 1125|001|N|3220
1126|1126|Pct 1126|001|N|2912
1127|1127|Pct 1127|001|N|2443
1128|1128|Pct 1128|001|N|3505
1129|1129|Pct 1129|001|N|11
1131|1131|Pct 1131|001|N|2988
1132|1132|Pct 1132|001|N|3508
1133|1133|Pct 1133|001|N|3442
1134|1134|Pct 1134|001|N|3522
1135|1135|Pct 1135|001|N|32
1136|1136|Pct 1136|001|N|2453
1141|1141|Pct 1141|002|N|2479
1142|1142|Pct 1142|002|N|3308
1143|1143|Pct 1143|002|N|1560
1144|1144|Pct 1144|002|N|39
1145|1145|Pct 1145|002|N|3068
1146|1146|Pct 1146|002|N|3030
1147|1147|Pct 1147|002|N|3375
1148|1148|Pct 1148|002|N|2623
1149|1149|Pct 1149|002|N|55
1151|1151|Pct 1151 MB|002|Y|Mail
1152|1152|Pct 1152|002|N|28
1153|1153|Pct 1153|002|N|1797
1154|1154|Pct 1154 MB|002|Y|Mail
7001|7001|Pct 7001|003|N|2939
7002|7002|Pct 7002|003|N|2249
7003|7003|Pct 7003|003|N|2273
7004|7004|Pct 7004|003|N|2940
7005|7005|Pct 7005|003|N|2632
7006|7006|Pct 7006|003|N|2941
7007|7007|Pct 7007|003|N|992
7008|7008|Pct 7008|003|N|3351
7009|7009|Pct 7009|003|N|997
7011|7011|Pct 7011|003|N|3426
7012|7012|Pct 7012|003|N|2168
7013|7013|Pct 7013|003|N|2724
7014|7014|Pct 7014|003|N|3434
7015|7015|Pct 7015 MB|003|Y|Mail
7016|7016|Pct 7016|003|N|517
7017|7017|Pct 7017|003|N|2021
7018|7018|Pct 7018|003|N|524
7019|7019|Pct 7019|003|N|2624
7021|7021|Pct 7021|003|N|528
7022|7022|Pct 7022|003|N|3540
7023|7023|Pct 7023|003|N|3535
7024|7024|Pct 7024|003|N|3059
7025|7025|Pct 7025|003|N|522
7026|7026|Pct 7026|003|N|548
7027|7027|Pct 7027|003|N|530
7028|7028|Pct 7028|003|N|2773
7029|7029|Pct 7029|003|N|1871
7030|7030|Pct 7030|003|N|1883
7031|7031|Pct 7031|003|N|3226
7032|7032|Pct 7032|003|N|2192
7033|7033|Pct 7033|003|N|1451
7034|7034|Pct 7034|003|N|3251
7035|7035|Pct 7035|003|N|2907
7036|7036|Pct 7036|003|N|2445
7037|7037|Pct 7037|003|N|73
7038|7038|Pct 7038|003|N|2822
7039|7039|Pct 7039|003|N|78
7041|7041|Pct 7041 MB|003|Y|Mail
7042|7042|Pct 7042|003|N|2942
7043|7043|Pct 7043|003|N|1530
7044|7044|Pct 7044|003|N|3349
7045|7045|Pct 7045|003|N|2252
7046|7046|Pct 7046|003|N|1363
7047|7047|Pct 7047|003|N|3394
7048|7048|Pct 7048|003|N|2001
7049|7049|Pct 7049|003|N|91
7051|7051|Pct 7051|003|N|3246
7052|7052|Pct 7052|003|N|2931
7053|7053|Pct 7053|003|N|3106
7054|7054|Pct 7054|003|N|562
7055|7055|Pct 7055|003|N|3342
7056|7056|Pct 7056|003|N|3457
7101|7101|Pct 7101 MB|002|Y|Mail
7201|7201|Pct 7201|003|N|652
7202|7202|Pct 7202|003|N|654
7203|7203|Pct 7203|003|N|2378
7204|7204|Pct 7204|003|N|653
7205|7205|Pct 7205|003|N|2695
7206|7206|Pct 7206|003|N|3512
7207|7207|Pct 7207|003|N|646
7208|7208|Pct 7208|003|N|1414
7209|7209|Pct 7209|003|N|3496
7301|7301|Pct 7301|002|N|2302
7302|7302|Pct 7302|002|N|1715
7303|7303|Pct 7303|002|N|3153
7304|7304|Pct 7304|002|N|663
7305|7305|Pct 7305|002|N|1555
7306|7306|Pct 7306|002|N|693
7307|7307|Pct 7307|002|N|665
7308|7308|Pct 7308|002|N|2460
7309|7309|Pct 7309|002|N|3311
7311|7311|Pct 7311|002|N|2545
7312|7312|Pct 7312|002|N|1488
7313|7313|Pct 7313|002|N|2948
7314|7314|Pct 7314|002|N|700
7315|7315|Pct 7315|002|N|2763
7316|7316|Pct 7316|002|N|2805
7317|7317|Pct 7317|002|N|703
7318|7318|Pct 7318|002|N|676
7319|7319|Pct 7319|002|N|3307
7321|7321|Pct 7321|002|N|3242
7322|7322|Pct 7322|002|N|1536
7323|7323|Pct 7323|002|N|3295
7324|7324|Pct 7324|002|N|3419
7325|7325|Pct 7325|002|N|2148
7326|7326|Pct 7326|002|N|2799
7327|7327|Pct 7327|002|N|705
7328|7328|Pct 7328|002|N|3318
7329|7329|Pct 7329|002|N|1965
7331|7331|Pct 7331|002|N|671
7332|7332|Pct 7332|002|N|2795
7333|7333|Pct 7333|002|N|685
7334|7334|Pct 7334|002|N|3018
7335|7335|Pct 7335|002|N|3539
7336|7336|Pct 7336|002|N|1762
7337|7337|Pct 7337|002|N|2952
7338|7338|Pct 7338|002|N|707
7339|7339|Pct 7339|002|N|2662
7341|7341|Pct 7341|002|N|711
7342|7342|Pct 7342|002|N|735
7343|7343|Pct 7343|002|N|2260
7344|7344|Pct 7344|002|N|736
7345|7345|Pct 7345|002|N|2236
7346|7346|Pct 7346|002|N|3026
7347|7347|Pct 7347|002|N|3543
7348|7348|Pct 7348|002|N|3052
7349|7349|Pct 7349|002|N|3451
7501|7501|Pct 7501|002|N|3494
7502|7502|Pct 7502|002|N|1743
7503|7503|Pct 7503|002|N|1450
7504|7504|Pct 7504|002|N|770
7505|7505|Pct 7505|002|N|647
7506|7506|Pct 7506|002|N|2904
7507|7507|Pct 7507|002|N|773
7508|7508|Pct 7508|002|N|1210
7509|7509|Pct 7509/7511|002|N|650
7511|7509|Pct 7509/7511|002|N|650
7512|7512|Pct 7512|002|N|3355
7513|7513|Pct 7513|002|N|1126
7514|7514|Pct 7514|002|N|3360
7515|7515|Pct 7515|002|N|791
7516|7516|Pct 7516|002|N|781
7517|7517|Pct 7517|002|N|846
7518|7518|Pct 7518|002|N|847
7519|7519|Pct 7519|002|N|3424
7521|7521|Pct 7521|002|N|2340
7522|7522|Pct 7522|002|N|2651
7523|7523|Pct 7523|002|N|1556
7524|7524|Pct 7524|002|N|2022
7525|7525|Pct 7525|002|N|2764
7526|7526|Pct 7526|002|N|3362
7527|7527|Pct 7527/7528|002|N|848
7528|7527|Pct 7527/7528|002|N|848
7529|7529|Pct 7529|002|N|3222
7531|7531|Pct 7531|002|N|3422
7532|7532|Pct 7532|002|N|1658
7533|7533|Pct 7533|002|N|853
7534|7534|Pct 7534|002|N|2427
7535|7535|Pct 7535|002|N|3495
7536|7536|Pct 7536|002|N|2434
7537|7537|Pct 7537|002|N|2673
7538|7538|Pct 7538|002|N|3509
7539|7539|Pct 7539|002|N|2685
7541|7541|Pct 7541|002|N|3379
7542|7542|Pct 7542|002|N|816
7543|7543|Pct 7543|002|N|1442
7544|7544|Pct 7544|002|N|820
7545|7545|Pct 7545|002|N|1739
7546|7546|Pct 7546|002|N|3546
7547|7547|Pct 7547|002|N|2992
7548|7548|Pct 7548|002|N|2353
7549|7549|Pct 7549|002|N|3404
7551|7551|Pct 7551|002|N|2806
7552|7552|Pct 7552|002|N|3467
7553|7553|Pct 7553 MB|002|Y|Mail
7554|7554|Pct 7554|002|N|2366
7555|7555|Pct 7555|002|N|874
7556|7556|Pct 7556/7557|002|N|2499
7557|7556|Pct 7556/7557|002|N|2499
7601|7601|Pct 7601|003|N|712
7602|7602|Pct 7602|003|N|726
7603|7603|Pct 7603|003|N|3531
7604|7604|Pct 7604|003|N|2779
7605|7605|Pct 7605|003|N|3309
7606|7606|Pct 7606|003|N|2864
7607|7607|Pct 7607|003|N|2310
7608|7608|Pct 7608|003|N|750
7609|7609|Pct 7609|003|N|2092
7611|7611|Pct 7611|003|N|743
7612|7612|Pct 7612|003|N|3479
7613|7613|Pct 7613|003|N|727
7614|7614|Pct 7614|003|N|3364
7615|7615|Pct 7615|003|N|2619
7616|7616|Pct 7616|003|N|3365
7617|7617|Pct 7617|003|N|2905
7618|7618|Pct 7618|003|N|2865
7619|7619|Pct 7619|003|N|1910
7621|7621|Pct 7621|003|N|2112
7622|7622|Pct 7622|003|N|2957
7623|7623|Pct 7623|003|N|2866
7624|7624|Pct 7624|003|N|2278
7625|7625|Pct 7625|003|N|3231
7626|7626|Pct 7626|003|N|3189
7627|7627|Pct 7627|003|N|3510
7628|7628|Pct 7628|003|N|3009
7629|7629|Pct 7629|003|N|3214
7631|7631|Pct 7631|003|N|830
7632|7632|Pct 7632|003|N|2751
7633|7633|Pct 7633|003|N|822
7634|7634|Pct 7634|003|N|834
7635|7635|Pct 7635|003|N|3077
7636|7636|Pct 7636|003|N|1976
7637|7637|Pct 7637|003|N|3028
7638|7638|Pct 7638|003|N|3262
7639|7639|Pct 7639|003|N|2446
7641|7641|Pct 7641|003|N|3523
7642|7642|Pct 7642|003|N|2334
7643|7643|Pct 7643|003|N|2735
7644|7644|Pct 7644|003|N|2272
7645|7645|Pct 7645|003|N|2596
7646|7646|Pct 7646|003|N|2725
7647|7647|Pct 7647|003|N|2269
7648|7648|Pct 7648 MB|003|Y|Mail
7649|7649|Pct 7649|003|N|3343
7651|7651|Pct 7651|003|N|3344
7652|7652|Pct 7652|003|N|3345
7653|7653|Pct 7653|003|N|3346
7654|7654|Pct 7654|003|N|3458
7655|7655|Pct 7655|003|N|3459
7656|7656|Pct 7656|003|N|3460
7657|7657|Pct 7657|003|N|3461
7701|7701|Pct 7701|002|N|330
7702|7702|Pct 7702|002|N|364
7703|7703|Pct 7703 MB|002|Y|Mail
7704|7704|Pct 7704|002|N|366
7705|7705|Pct 7705|002|N|2533
7706|7706|Pct 7706|002|N|395
7707|7707|Pct 7707|002|N|2494
7708|7708|Pct 7708|002|N|2700
7709|7709|Pct 7709|002|N|3234
7711|7711|Pct 7711|002|N|3313
7712|7712|Pct 7712|002|N|2870
7801|7801|Pct 7801|003|N|2677
7802|7802|Pct 7802|003|N|1284
7803|7803|Pct 7803|003|N|3212
7804|7804|Pct 7804|003|N|880
7805|7805|Pct 7805|003|N|3443
7806|7806|Pct 7806|003|N|807
7807|7807|Pct 7807|003|N|893
7808|7808|Pct 7808|003|N|1425
7809|7809|Pct 7809|003|N|2441
7811|7811|Pct 7811|003|N|3532
7812|7812|Pct 7812|003|N|929
7813|7813|Pct 7813|003|N|3290
7814|7814|Pct 7814|003|N|2728
7815|7815|Pct 7815|003|N|3534
7816|7816|Pct 7816|003|N|3481
7817|7817|Pct 7817|003|N|2565
7818|7818|Pct 7818|003|N|900
7819|7819|Pct 7819|003|N|932
7821|7821|Pct 7821|003|N|2532
7822|7822|Pct 7822|003|N|914
7823|7823|Pct 7823|003|N|3485
7824|7824|Pct 7824|003|N|927
7825|7825|Pct 7825|003|N|2177
7826|7826|Pct 7826|003|N|941
7827|7827|Pct 7827|003|N|942
7828|7828|Pct 7828|003|N|903
7829|7829|Pct 7829|003|N|2584
7831|7831|Pct 7831|003|N|3502
7832|7832|Pct 7832|003|N|3408
7833|7833|Pct 7833|003|N|3530
7834|7834|Pct 7834|003|N|3124
7835|7835|Pct 7835|003|N|3250
7836|7836|Pct 7836|003|N|2306
7837|7837|Pct 7837|003|N|1150
7838|7838|Pct 7838|003|N|1013
7839|7839|Pct 7839|003|N|2496
7841|7841|Pct 7841|003|N|2660
7842|7842|Pct 7842|003|N|3316
7843|7843|Pct 7843|003|N|1138
7844|7844|Pct 7844|003|N|2586
7845|7845|Pct 7845|003|N|2710
7846|7846|Pct 7846|003|N|1143
7847|7847|Pct 7847|003|N|2462
7848|7848|Pct 7848|003|N|2985
7849|7849|Pct 7849|003|N|2171
7851|7851|Pct 7851|003|N|3489
7852|7852|Pct 7852|003|N|2170
7853|7853|Pct 7853|003|N|2796
7854|7854|Pct 7854|003|N|2869
7855|7855|Pct 7855|003|N|1144
7856|7856|Pct 7856|003|N|1047
7857|7857|Pct 7857|003|N|3486
7858|7858|Pct 7858|003|N|2963
7859|7859|Pct 7859|003|N|3483
7861|7861|Pct 7861|003|N|3428
7862|7862|Pct 7862|003|N|3252
7863|7863|Pct 7863|003|N|1318
7864|7864|Pct 7864|003|N|450
7865|7865|Pct 7865|003|N|452
7866|7866|Pct 7866|003|N|2884
7867|7867|Pct 7867|003|N|3536
7868|7868|Pct 7868|003|N|439
7869|7869|Pct 7869|003|N|1861
7871|7871|Pct 7871|003|N|446
7872|7872|Pct 7872|003|N|3545
7873|7873|Pct 7873|003|N|3001
7874|7874|Pct 7874|003|N|3216
7875|7875|Pct 7875|003|N|3188
7876|7876|Pct 7876|003|N|3347
7901|7901|Pct 7901|002|N|2030
7902|7902|Pct 7902|002|N|2679
7903|7903|Pct 7903|002|N|2288
7904|7904|Pct 7904|002|N|2461
7905|7905|Pct 7905|002|N|1921
7906|7906|Pct 7906|002|N|2908
7907|7907|Pct 7907|002|N|2603
7908|7908|Pct 7908|002|N|951
7909|7909|Pct 7909|002|N|958
7911|7911|Pct 7911|002|N|2324
7912|7912|Pct 7912|002|N|2893
7913|7913|Pct 7913|002|N|959
7914|7914|Pct 7914|002|N|3477
7915|7915|Pct 7915|002|N|2312
7916|7916|Pct 7916|002|N|2267
7917|7917|Pct 7917|002|N|1631
7918|7918|Pct 7918|002|N|2515
7919|7919|Pct 7919|002|N|3499
7921|7921|Pct 7921|002|N|1757
7922|7922|Pct 7922|002|N|3506
7923|7923|Pct 7923|002|N|1204
7924|7924|Pct 7924|002|N|1761
7925|7925|Pct 7925|002|N|2437
7926|7926|Pct 7926|002|N|3035
7927|7927|Pct 7927|002|N|1063
7928|7928|Pct 7928|002|N|1064
7929|7929|Pct 7929|002|N|3513
7931|7931|Pct 7931|002|N|2452
7932|7932|Pct 7932|002|N|3321
7933|7933|Pct 7933 MB|002|Y|Mail
7934|7934|Pct 7934|002|N|3187
7935|7935|Pct 7935|002|N|3328
7936|7936|Pct 7936|002|N|1069
7937|7937|Pct 7937|002|N|2676
7938|7938|Pct 7938|002|N|3310
7939|7939|Pct 7939|002|N|461
7941|7941|Pct 7941|002|N|3263
7942|7942|Pct 7942|002|N|2276
7943|7943|Pct 7943|002|N|61
7944|7944|Pct 7944|002|N|453
7945|7945|Pct 7945|002|N|466
7946|7946|Pct 7946|002|N|65
7947|7947|Pct 7947|002|N|3462
7948|7948|Pct 7948|002|N|2241
7949|7949|Pct 7949|002|N|3490
7951|7951|Pct 7951|002|N|66
7952|7952|Pct 7952|002|N|2257
7953|7953|Pct 7953|002|N|3416
7954|7954|Pct 7954 MB|002|Y|Mail
7955|7955|Pct 7955|002|N|3498
7956|7956|Pct 7956|002|N|1224
7957|7957|Pct 7957|002|N|3480
7958|7958|Pct 7958 MB|002|Y|Mail
7959|7959|Pct 7959|002|N|2207
9001|9001|Pct 9001 MB|004|Y|Mail
9101|9101|Pct 9101|005|N|3491
9102|9102|Pct 9102|005|N|3472
9103|9103|Pct 9103|005|N|2296
9104|9104|Pct 9104|005|N|2414
9105|9105|Pct 9105|005|N|1336
9106|9106|Pct 9106|005|N|1243
9107|9107|Pct 9107|005|N|150
9108|9108|Pct 9108|005|N|1554
9109|9109|Pct 9109|005|N|3211
9111|9111|Pct 9111|005|N|1563
9112|9112|Pct 9112|005|N|1717
9113|9113|Pct 9113|005|N|2560
9114|9114|Pct 9114|005|N|2741
9115|9115|Pct 9115|005|N|3410
9116|9116|Pct 9116|005|N|181
9117|9117|Pct 9117|005|N|119
9118|9118|Pct 9118|005|N|2969
9119|9119|Pct 9119|005|N|3191
9121|9121|Pct 9121|005|N|3503
9122|9122|Pct 9122|005|N|138
9123|9123|Pct 9123|005|N|2558
9124|9124|Pct 9124|005|N|3500
9125|9125|Pct 9125|005|N|2742
9126|9126|Pct 9126|005|N|1643
9127|9127|Pct 9127|005|N|3524
9128|9128|Pct 9128|005|N|1917
9129|9129|Pct 9129|005|N|2046
9131|9131|Pct 9131|005|N|2354
9132|9132|Pct 9132|005|N|3423
9133|9133|Pct 9133|005|N|2155
9134|9134|Pct 9134|005|N|3271
9135|9135|Pct 9135|005|N|3413
9136|9136|Pct 9136|005|N|121
