ballot_type	contest_ids
000	7 8 9 10 11 12 23 22 24 13 14 15 16 18 17 19 20 21 1 2 3 4 5 6
001a	9 15 16 17 19 20 21 1 2 3 4 5 6
001d	7 22 15 16 17 19 20 21 1 2 3 4 5 6
001dn	7 15 16 17 19 20 21 1 2 3 4 5 6
001g	10 15 16 17 19 20 21 1 2 3 4 5 6
001l	12 15 16 17 19 20 21 1 2 3 4 5 6
001ln	12 15 16 17 19 20 21 1 2 3 4 5 6
001n	15 16 17 19 20 21 1 2 3 4 5 6
001p	11 15 16 17 19 20 21 1 2 3 4 5 6
001r	8 15 16 17 19 20 21 1 2 3 4 5 6
002a	9 13 16 18 19 20 21 1 2 3 4 5 6
002d	7 23 13 16 18 19 20 21 1 2 3 4 5 6
002dn	7 13 16 18 19 20 21 1 2 3 4 5 6
002g	10 13 16 18 19 20 21 1 2 3 4 5 6
002l	12 13 16 18 19 20 21 1 2 3 4 5 6
002ln	12 13 16 18 19 20 21 1 2 3 4 5 6
002n	13 16 18 19 20 21 1 2 3 4 5 6
002p	11 13 16 18 19 20 21 1 2 3 4 5 6
002r	8 24 13 16 18 19 20 21 1 2 3 4 5 6
003a	9 13 16 18 19 20 21 1 2 3 4 5 6
003d	7 23 13 16 18 19 20 21 1 2 3 4 5 6
003dn	7 13 16 18 19 20 21 1 2 3 4 5 6
003g	10 13 16 18 19 20 21 1 2 3 4 5 6
003l	12 13 16 18 19 20 21 1 2 3 4 5 6
003ln	12 13 16 18 19 20 21 1 2 3 4 5 6
003n	13 16 18 19 20 21 1 2 3 4 5 6
003p	11 13 16 18 19 20 21 1 2 3 4 5 6
003r	8 24 13 16 18 19 20 21 1 2 3 4 5 6
004a	9 15 16 17 19 20 21 1 2 3 4 5 6
004d	7 22 15 16 17 19 20 21 1 2 3 4 5 6
004dn	7 15 16 17 19 20 21 1 2 3 4 5 6
004g	10 15 16 17 19 20 21 1 2 3 4 5 6
004l	12 15 16 17 19 20 21 1 2 3 4 5 6
004ln	12 15 16 17 19 20 21 1 2 3 4 5 6
004n	15 16 17 19 20 21 1 2 3 4 5 6
004p	11 15 16 17 19 20 21 1 2 3 4 5 6
004r	8 15 16 17 19 20 21 1 2 3 4 5 6
005a	9 13 16 17 19 20 21 1 2 3 4 5 6
005d	7 22 13 16 17 19 20 21 1 2 3 4 5 6
005dn	7 13 16 17 19 20 21 1 2 3 4 5 6
005g	10 13 16 17 19 20 21 1 2 3 4 5 6
005l	12 13 16 17 19 20 21 1 2 3 4 5 6
005ln	12 13 16 17 19 20 21 1 2 3 4 5 6
005n	13 16 17 19 20 21 1 2 3 4 5 6
005p	11 13 16 17 19 20 21 1 2 3 4 5 6
005r	8 13 16 17 19 20 21 1 2 3 4 5 6
006a	9 13 16 17 19 20 21 1 2 3 4 5 6
006d	7 22 13 16 17 19 20 21 1 2 3 4 5 6
006dn	7 13 16 17 19 20 21 1 2 3 4 5 6
006g	10 13 16 17 19 20 21 1 2 3 4 5 6
006l	12 13 16 17 19 20 21 1 2 3 4 5 6
006ln	12 13 16 17 19 20 21 1 2 3 4 5 6
006n	13 16 17 19 20 21 1 2 3 4 5 6
006p	11 13 16 17 19 20 21 1 2 3 4 5 6
006r	8 13 16 17 19 20 21 1 2 3 4 5 6
007a	9 14 16 18 19 20 21 1 2 3 4 5 6
007d	7 23 14 16 18 19 20 21 1 2 3 4 5 6
007dn	7 14 16 18 19 20 21 1 2 3 4 5 6
007g	10 14 16 18 19 20 21 1 2 3 4 5 6
007l	12 14 16 18 19 20 21 1 2 3 4 5 6
007ln	12 14 16 18 19 20 21 1 2 3 4 5 6
007n	14 16 18 19 20 21 1 2 3 4 5 6
007p	11 14 16 18 19 20 21 1 2 3 4 5 6
007r	8 24 14 16 18 19 20 21 1 2 3 4 5 6
008a	9 15 16 18 19 20 21 1 2 3 4 5 6
008d	7 23 15 16 18 19 20 21 1 2 3 4 5 6
008dn	7 15 16 18 19 20 21 1 2 3 4 5 6
008g	10 15 16 18 19 20 21 1 2 3 4 5 6
008l	12 15 16 18 19 20 21 1 2 3 4 5 6
008ln	12 15 16 18 19 20 21 1 2 3 4 5 6
008n	15 16 18 19 20 21 1 2 3 4 5 6
008p	11 15 16 18 19 20 21 1 2 3 4 5 6
008r	8 24 15 16 18 19 20 21 1 2 3 4 5 6
009a	9 15 16 18 19 20 21 1 2 3 4 5 6
009d	7 23 15 16 18 19 20 21 1 2 3 4 5 6
009dn	7 15 16 18 19 20 21 1 2 3 4 5 6
009g	10 15 16 18 19 20 21 1 2 3 4 5 6
009l	12 15 16 18 19 20 21 1 2 3 4 5 6
009ln	12 15 16 18 19 20 21 1 2 3 4 5 6
009n	15 16 18 19 20 21 1 2 3 4 5 6
009p	11 15 16 18 19 20 21 1 2 3 4 5 6
009r	8 24 15 16 18 19 20 21 1 2 3 4 5 6
composite	7 8 9 10 11 12 23 22 24 13 14 15 16 18 17 19 20 21 1 2 3 4 5 6
