contest_id2	cand_id2	contest_id1	cand_id1	cand_seq	cand_name2	cand_name1
1	1901	1	1	01	YES	YES
1	1902	1	2	02	NO	NO
10	04045	10	45	01	DAVID ROLDE	DAVID ROLDE
10	04046	10	46	02	HOWIE HAWKINS	HOWIE HAWKINS
10	04047	10	47	03	DARIO HUNTER	DARIO HUNTER
10	04048	10	48	04	DENNIS LAMBERT	DENNIS LAMBERT
10	04049	10	49	05	SEDINAM MOYOWASIFZA-CURRY	SEDINAM MOYOWASIFZA-CURRY
10	187	10	187	06	KENT MESPLAY	KENT MESPLAY
11	05050	11	50	01	HOWIE HAWKINS	HOWIE HAWKINS
11	05051	11	51	02	GLORIA LA RIVA	GLORIA LA RIVA
12	06052	12	52	01	KEN ARMSTRONG	KEN ARMSTRONG
12	06053	12	53	02	MAX ABRAMSON	MAX ABRAMSON
12	06054	12	54	03	SAM ROBB	SAM ROBB
12	06055	12	55	04	KIM RUFF	KIM RUFF
12	06056	12	56	05	STEVEN A RICHEY	STEVEN A RICHEY
12	06057	12	57	06	JACOB HORNBERGER	JACOB HORNBERGER
12	06058	12	58	07	SOURAYA FAAS	SOURAYA FAAS
12	06059	12	59	08	KEENAN WALLACE DUNHAM	KEENAN WALLACE DUNHAM
12	06060	12	60	09	ADAM KOKESH	ADAM KOKESH
12	06061	12	61	10	VERMIN SUPREME	VERMIN SUPREME
12	06062	12	62	11	JO JORGENSEN	JO JORGENSEN
12	06063	12	63	12	DAN BEHRMAN	DAN BEHRMAN
12	06064	12	64	13	ERIK CHASE GERHARDT	ERIK CHASE GERHARDT
12	188	12	188	14	NICHOLAS D'ARTAGNAN DUMAS	NICHOLAS D'ARTAGNAN DUMAS
12	189	12	189	15	GEBY EVA ESPINOSA	GEBY EVA ESPINOSA
12	190	12	190	16	JAMES ORLANDO OGLE	JAMES ORLANDO OGLE
12	191	12	191	17	SORINNE ARDELEANU	SORINNE ARDELEANU
13	10065	13	65	02	JOHN DENNIS	JOHN DENNIS
13	10066	13	66	03	NANCY PELOSI	NANCY PELOSI
13	10067	13	67	04	AGATHA BACELAR	AGATHA BACELAR
13	10068	13	68	05	SHAHID BUTTAR	SHAHID BUTTAR
13	10069	13	69	06	TOM GALLAGHER	TOM GALLAGHER
13	10070	13	70	01	DEANNA LORRAINE	DEANNA LORRAINE
14	11071	14	71	01	BARBARA LEE	BARBARA LEE
14	11072	14	72	02	NIKKA PITERMAN	NIKKA PITERMAN
15	12073	15	73	01	JACKIE SPEIER	JACKIE SPEIER
15	12074	15	74	02	RAN S. PETEL	RAN S. PETEL
15	12075	15	75	03	CRISTOS GOODROW	CRISTOS GOODROW
15	12076	15	76	04	ERIC TAYLOR	ERIC TAYLOR
