sequence	cont_external_id	cand_external_ids	bts
010	7	01013 01014 01015 01016 01017 01018 01019 01020 01021 01022 01023 01024 01025 01026 01027 01028 01029 01030 01031 01032	000 composite
010	7	01029 01030 01031 01032 01013 01014 01015 01016 01017 01018 01019 01020 01021 01022 01023 01024 01025 01026 01027 01028	002d 002dn 003d 003dn 007d 007dn 008d 008dn 009d 009dn
010	7	01031 01032 01013 01014 01015 01016 01017 01018 01019 01020 01021 01022 01023 01024 01025 01026 01027 01028 01029 01030	001d 001dn 004d 004dn 005d 005dn 006d 006dn
020	8	02035 02036 02037 02038 02039 02033 02034	002r 003r 007r 008r 009r
020	8	02037 02038 02039 02033 02034 02035 02036	000 001r 004r 005r 006r composite
030	9	03041 03042 03043 03044 03040	002a 003a 007a 008a 009a
030	9	03043 03040 03041 03042 03044	000 composite
030	9	03043 03044 03040 03041 03042	001a 004a 005a 006a
040	10	04046 04047 04048 04049 04045	002g 003g 007g 008g 009g
040	10	04048 04049 04045 04046 04047	000 001g 004g 005g 006g composite
050	11	05050 05051	000 001p 002p 003p 004p 005p 006p 007p 008p 009p composite
060	12	06055 06056 06057 06058 06059 06060 06061 06062 06063 06064 06052 06053 06054	002l 002ln 003l 003ln 007l 007ln 008l 008ln 009l 009ln
060	12	06057 06058 06059 06060 06061 06062 06063 06064 06052 06053 06054 06055 06056	000 001l 001ln 004l 004ln 005l 005ln 006l 006ln composite
070	23	070110 070111 070112 070113 070114 070115 070116 070117 070118 070119 070120 070121 070122 070123 070124 070125 070126 070127 070128 070129 070130 070131 070134 070132 070133 070135 070136 070137 070138 070139 070140 070141 070142 070143 070144	000 002d 003d 007d 008d 009d composite
080	22	08089 08090 08091 08092 08093 08094 08095 08096 08097 08098 08099 080100 080101 080102 080103 080104 080105 080106 080107 080108 080109	000 001d 004d 005d 006d composite
090	24	090145 090146 090147 090148 090149 090150 090151 090152 090153 090154 090155 090156 090157 090158	000 002r 003r 007r 008r 009r composite
100	13	10065 10066 10067 10068 10069 10070	005a 005d 005dn 005g 005l 005ln 005n 005p 005r 006a 006d 006dn 006g 006l 006ln 006n 006p 006r
