runoff_date	runoff_type	contest_id	external_id	title
2020-11-03	non_majority	X016	19	JUDGE OF THE SUPERIOR COURT, SEAT #1
2020-11-03	non_majority	X017	20	JUDGE OF THE SUPERIOR COURT, SEAT #18
2020-11-03	non_majority	X018	21	JUDGE OF THE SUPERIOR COURT, SEAT #21
2020-11-03	top_2	X007	23	MEMBER, COUNTY CENTRAL COMMITTEE~ASSEMBLY DISTRICT 17
2020-11-03	top_2	X008	22	MEMBER, COUNTY CENTRAL COMMITTEE~ASSEMBLY DISTRICT 19
2020-11-03	top_2	X009	24	MEMBER, COUNTY CENTRAL COMMITTEE~ASSEMBLY DISTRICT 17
2020-11-03	top_2	X010	13	UNITED STATES REPRESENTATIVE, DISTRICT 12
2020-11-03	top_2	X011	14	UNITED STATES REPRESENTATIVE, DISTRICT 13
2020-11-03	top_2	X012	15	UNITED STATES REPRESENTATIVE, DISTRICT 14
2020-11-03	top_2	X013	16	STATE SENATOR, DISTRICT 11
2020-11-03	top_2	X014	18	STATE ASSEMBLY MEMBER, DISTRICT 17
2020-11-03	top_2	X015	17	STATE ASSEMBLY MEMBER, DISTRICT 19
