area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	45:DAVID ROLDE	46:HOWIE HAWKINS	47:DARIO HUNTER	48:DENNIS LAMBERT	49:SEDINAM MOYOWASIFZA-CURRY	187:KENT MESPLAY
ALL	TO	3073	1077	0	0	474	603	0	22	216	158	88	119	0
ALL	ED	700	329	0	0	113	216	0	14	59	58	35	50	0
ALL	MV	2373	748	0	0	361	387	0	8	157	100	53	69	0
PCT1101	MV	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1101	ED	-1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1101	TO	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1102	MV	3	1	0	0	1	0	0	0	0	0	0	0	0
PCT1102	ED	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1102	TO	4	1	0	0	1	0	0	0	0	0	0	0	0
PCT1103	MV	6	3	0	0	0	3	0	0	1	1	1	0	0
PCT1103	ED	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1103	TO	6	3	0	0	0	3	0	0	1	1	1	0	0
PCT1104	MV	5	2	0	0	1	1	0	0	0	0	0	1	0
PCT1104	ED	1	1	0	0	0	1	0	0	0	0	0	1	0
PCT1104	TO	6	3	0	0	1	2	0	0	0	0	0	2	0
PCT1106	MV	10	1	0	0	0	1	0	0	1	0	0	0	0
PCT1106	ED	0	1	0	0	1	0	0	0	0	0	0	0	0
PCT1106	TO	10	2	0	0	1	1	0	0	1	0	0	0	0
PCT1107	MV	2	0	0	0	0	0	0	0	0	0	0	0	0
PCT1107	ED	0	1	0	0	1	0	0	0	0	0	0	0	0
PCT1107	TO	2	1	0	0	1	0	0	0	0	0	0	0	0
PCT1108	MV	2	2	0	0	1	1	0	0	1	0	0	0	0
PCT1108	ED	2	1	0	0	1	0	0	0	0	0	0	0	0
PCT1108	TO	4	3	0	0	2	1	0	0	1	0	0	0	0
PCT1109	MV	3	2	0	0	1	1	0	0	0	0	1	0	0
PCT1109	ED	1	2	0	0	0	2	0	0	0	1	0	1	0
PCT1109	TO	4	4	0	0	1	3	0	0	0	1	1	1	0
PCT1111	MV	6	0	0	0	0	0	0	0	0	0	0	0	0
PCT1111	ED	3	1	0	0	1	0	0	0	0	0	0	0	0
PCT1111	TO	9	1	0	0	1	0	0	0	0	0	0	0	0
PCT1112	MV	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1112	ED	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1112	TO	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1113	MV	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1113	ED	-1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1113	TO	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1114	MV	6	4	0	0	1	3	0	0	2	1	0	0	0
PCT1114	ED	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1114	TO	7	4	0	0	1	3	0	0	2	1	0	0	0
