area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	70:DEANNA LORRAINE	65:JOHN DENNIS	66:NANCY PELOSI	67:AGATHA BACELAR	68:SHAHID BUTTAR	69:TOM GALLAGHER
ALLPCTS	TO	445848	129111	0	320	5306	123485	63	2653	11387	89460	1679	15645	2598
ALLPCTS	ED	445848	65251	0	54	2422	62775	63	861	3755	46888	784	9192	1232
ALLPCTS	MV	445848	63860	0	266	2884	60710	0	1792	7632	42572	895	6453	1366
PCT1141	MV	1056	144	0	0	3	141	0	12	12	98	3	13	3
PCT1141	ED	1056	123	0	0	6	117	0	5	4	81	1	22	4
PCT1141	TO	1056	267	0	0	9	258	0	17	16	179	4	35	7
PCT1142	MV	896	111	0	0	2	109	0	8	13	67	0	17	4
PCT1142	ED	896	87	0	0	1	86	0	1	5	62	0	13	5
PCT1142	TO	896	198	0	0	3	195	0	9	18	129	0	30	9
PCT1143	MV	1049	152	0	1	7	144	0	8	15	97	2	19	3
PCT1143	ED	1049	113	0	0	5	108	0	3	2	79	0	18	6
PCT1143	TO	1049	265	0	1	12	252	0	11	17	176	2	37	9
PCT1144	MV	947	110	0	1	1	108	0	10	18	60	1	16	3
PCT1144	ED	947	121	0	0	6	115	0	1	9	78	1	18	8
PCT1144	TO	947	231	0	1	7	223	0	11	27	138	2	34	11
PCT1145	MV	905	146	0	0	5	141	0	6	10	108	2	11	4
PCT1145	ED	905	114	0	0	4	110	1	2	4	77	3	19	4
PCT1145	TO	905	260	0	0	9	251	1	8	14	185	5	30	8
PCT1146	MV	1054	143	0	1	8	134	0	12	13	95	2	11	1
PCT1146	ED	1054	109	0	0	4	105	0	2	5	63	7	23	5
PCT1146	TO	1054	252	0	1	12	239	0	14	18	158	9	34	6
PCT1147	MV	885	100	0	0	3	97	0	2	15	63	2	13	2
PCT1147	ED	885	107	0	0	1	106	0	4	5	75	3	18	1
PCT1147	TO	885	207	0	0	4	203	0	6	20	138	5	31	3
PCT1148	MV	1028	148	0	2	5	141	0	17	18	84	3	18	1
PCT1148	ED	1028	116	0	0	3	113	0	6	10	71	3	23	0
PCT1148	TO	1028	264	0	2	8	254	0	23	28	155	6	41	1
PCT1149	MV	939	107	0	1	5	101	0	5	13	62	2	14	5
PCT1149	ED	939	118	0	0	3	115	1	4	11	73	2	17	7
PCT1149	TO	939	225	0	1	8	216	1	9	24	135	4	31	12
PCT1151	MV	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1152	MV	890	112	0	0	7	105	0	6	10	75	0	9	5
PCT1152	ED	890	85	0	0	0	85	0	3	13	47	1	18	3
PCT1152	TO	890	197	0	0	7	190	0	9	23	122	1	27	8
PCT1153	MV	940	114	0	2	4	108	0	7	24	72	0	2	3
PCT1153	ED	940	116	0	1	4	111	0	6	8	83	0	12	2
PCT1153	TO	940	230	0	3	8	219	0	13	32	155	0	14	5
PCT1154	MV	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1154	ED	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1154	TO	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7001	MV	773	112	0	1	5	106	0	1	8	73	2	22	0
PCT7001	ED	773	101	0	0	5	96	0	2	1	69	1	23	0
PCT7001	TO	773	213	0	1	10	202	0	3	9	142	3	45	0
PCT7002	MV	714	81	0	0	10	71	0	3	10	45	2	8	3
PCT7002	ED	714	88	0	0	4	84	0	1	2	64	2	13	2
PCT7002	TO	714	169	0	0	14	155	0	4	12	109	4	21	5
PCT7003	MV	906	147	0	0	3	144	0	6	12	94	3	28	1
PCT7003	ED	906	144	0	0	6	138	0	3	5	99	2	24	5
PCT7003	TO	906	291	0	0	9	282	0	9	17	193	5	52	6
PCT7004	MV	913	146	0	0	7	139	0	3	17	94	1	22	2
PCT7004	ED	913	142	0	0	6	136	0	0	6	113	4	11	2
PCT7004	TO	913	288	0	0	13	275	0	3	23	207	5	33	4
PCT7005	MV	859	142	0	0	3	139	0	2	5	110	2	18	2
PCT7005	ED	859	162	0	1	8	153	0	0	4	125	4	18	2
PCT7005	TO	859	304	0	1	11	292	0	2	9	235	6	36	4
PCT7006	MV	932	119	0	1	3	115	0	0	6	70	5	32	2
PCT7006	ED	932	149	0	0	5	144	0	1	7	89	1	41	5
PCT7006	TO	932	268	0	1	8	259	0	1	13	159	6	73	7
PCT7007	MV	957	145	0	0	5	140	0	1	9	110	2	17	1
PCT7007	ED	957	168	0	0	4	164	0	0	6	133	2	21	2
PCT7007	TO	957	313	0	0	9	304	0	1	15	243	4	38	3
PCT7008	MV	909	154	0	0	3	151	0	6	7	121	4	11	2
PCT7008	ED	909	189	0	0	8	181	0	2	7	149	1	16	6
PCT7008	TO	909	343	0	0	11	332	0	8	14	270	5	27	8
PCT7009	MV	871	141	0	0	3	138	0	4	12	90	4	22	6
PCT7009	ED	871	91	0	0	10	81	0	0	10	58	2	10	1
PCT7009	TO	871	232	0	0	13	219	0	4	22	148	6	32	7
PCT7011	MV	973	66	0	0	0	66	0	0	3	54	2	5	2
PCT7011	ED	973	87	0	0	2	85	0	0	3	73	2	4	3
PCT7011	TO	973	153	0	0	2	151	0	0	6	127	4	9	5
PCT7012	MV	1226	192	0	0	8	184	0	5	18	121	3	35	2
PCT7012	ED	1226	203	0	0	5	198	0	2	17	148	4	23	4
PCT7012	TO	1226	395	0	0	13	382	0	7	35	269	7	58	6
PCT7013	MV	1139	122	0	0	0	122	0	1	5	98	3	13	2
PCT7013	ED	1139	151	0	0	6	145	0	2	6	107	3	25	2
PCT7013	TO	1139	273	0	0	6	267	0	3	11	205	6	38	4
PCT7014	MV	719	90	0	0	2	88	0	1	7	66	0	12	2
PCT7014	ED	719	111	0	0	8	103	0	2	3	89	1	8	0
PCT7014	TO	719	201	0	0	10	191	0	3	10	155	1	20	2
PCT7015	MV	110	13	0	0	2	11	0	0	0	7	0	4	0
PCT7015	ED	110	0	0	0	0	0	0	0	0	0	0	0	0
PCT7015	TO	110	13	0	0	2	11	0	0	0	7	0	4	0
PCT7016	MV	932	85	0	1	3	81	0	3	14	49	4	10	1
PCT7016	ED	932	75	0	0	2	73	0	3	1	59	1	8	1
PCT7016	TO	932	160	0	1	5	154	0	6	15	108	5	18	2
PCT7017	MV	781	52	0	0	2	50	0	3	6	38	0	2	1
PCT7017	ED	781	53	0	0	5	48	0	2	0	40	0	3	3
PCT7017	TO	781	105	0	0	7	98	0	5	6	78	0	5	4
PCT7018	MV	1047	130	0	1	14	115	0	11	10	81	2	7	4
PCT7018	ED	1047	56	0	0	0	56	0	2	0	47	2	5	0
PCT7018	TO	1047	186	0	1	14	171	0	13	10	128	4	12	4
PCT7019	MV	900	130	0	0	9	121	0	10	21	71	4	13	2
PCT7019	ED	900	73	0	0	8	65	0	0	0	54	2	7	2
PCT7019	TO	900	203	0	0	17	186	0	10	21	125	6	20	4
PCT7021	MV	967	78	0	0	6	72	0	2	1	59	1	5	4
PCT7021	ED	967	106	0	1	5	100	0	1	1	83	0	11	4
PCT7021	TO	967	184	0	1	11	172	0	3	2	142	1	16	8
PCT7022	MV	963	109	0	0	3	106	0	6	12	73	2	11	2
PCT7022	ED	963	54	0	0	2	52	0	0	3	38	2	6	3
PCT7022	TO	963	163	0	0	5	158	0	6	15	111	4	17	5
PCT7023	MV	920	142	0	0	6	136	0	5	5	114	0	9	3
PCT7023	ED	920	71	0	0	1	70	0	0	2	59	0	6	3
PCT7023	TO	920	213	0	0	7	206	0	5	7	173	0	15	6
PCT7024	MV	441	25	0	1	0	24	0	1	3	14	0	6	0
PCT7024	ED	441	20	0	0	1	19	0	0	1	17	0	0	1
PCT7024	TO	441	45	0	1	1	43	0	1	4	31	0	6	1
PCT7025	MV	483	41	0	1	0	40	0	1	1	29	0	7	2
PCT7025	ED	483	39	0	0	0	39	1	0	0	33	0	3	2
PCT7025	TO	483	80	0	1	0	79	1	1	1	62	0	10	4
PCT7026	MV	1010	137	0	1	8	128	0	5	20	86	0	9	8
PCT7026	ED	1010	72	0	0	1	71	0	0	4	57	1	5	4
PCT7026	TO	1010	209	0	1	9	199	0	5	24	143	1	14	12
PCT7027	MV	896	96	0	2	6	88	0	4	7	63	0	9	5
PCT7027	ED	896	96	0	0	2	94	1	0	2	84	0	7	0
PCT7027	TO	896	192	0	2	8	182	1	4	9	147	0	16	5
PCT7028	MV	856	85	0	0	1	84	0	0	7	63	0	13	1
PCT7028	ED	856	97	0	0	0	97	0	1	3	75	1	15	2
PCT7028	TO	856	182	0	0	1	181	0	1	10	138	1	28	3
PCT7029	MV	909	80	0	0	0	80	0	2	6	60	2	7	3
PCT7029	ED	909	39	0	0	0	39	0	2	1	30	0	5	1
PCT7029	TO	909	119	0	0	0	119	0	4	7	90	2	12	4
PCT7030	MV	795	128	0	1	10	117	0	10	16	81	1	6	3
PCT7030	ED	795	58	0	0	0	58	0	0	12	35	3	6	2
PCT7030	TO	795	186	0	1	10	175	0	10	28	116	4	12	5
PCT7031	MV	694	119	0	1	4	114	0	5	23	80	3	1	2
PCT7031	ED	694	48	0	1	2	45	0	1	1	35	0	8	0
PCT7031	TO	694	167	0	2	6	159	0	6	24	115	3	9	2
PCT7032	MV	881	112	0	1	9	102	0	6	14	75	1	5	1
PCT7032	ED	881	51	0	0	0	51	0	2	0	34	7	7	1
PCT7032	TO	881	163	0	1	9	153	0	8	14	109	8	12	2
PCT7033	MV	778	96	0	0	5	91	0	4	6	66	3	11	1
PCT7033	ED	778	86	0	1	0	85	0	2	3	73	0	5	2
PCT7033	TO	778	182	0	1	5	176	0	6	9	139	3	16	3
PCT7034	MV	938	52	0	1	3	48	0	3	1	41	0	3	0
PCT7034	ED	938	57	0	0	1	56	0	1	3	47	0	4	1
PCT7034	TO	938	109	0	1	4	104	0	4	4	88	0	7	1
