area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	71:BARBARA LEE	72:NIKKA PITERMAN
ALLPCTS	TO	0	0	0	0	0	0	0	0	0
ALLPCTS	ED	0	0	0	0	0	0	0	0	0
ALLPCTS	MV	0	0	0	0	0	0	0	0	0
PCT9900	MV	0	0	0	0	0	0	0	0	0
PCT9900	ED	0	0	0	0	0	0	0	0	0
PCT9900	TO	0	0	0	0	0	0	0	0	0
ASSM17	MV	232787	0	0	0	0	0	0	0	0
ASSM17	ED	59635	0	0	0	0	0	0	0	0
ASSM17	TO	292422	0	0	0	0	0	0	0	0
SUPV10	MV	33765	0	0	0	0	0	0	0	0
SUPV10	ED	9348	0	0	0	0	0	0	0	0
SUPV10	TO	43113	0	0	0	0	0	0	0	0
NEIG1	MV	15464	0	0	0	0	0	0	0	0
NEIG1	ED	5021	0	0	0	0	0	0	0	0
NEIG1	TO	20485	0	0	0	0	0	0	0	0
ASSM17	MV	232787	0	0	0	0	0	0	0	0
ASSM17	ED	59635	0	0	0	0	0	0	0	0
ASSM17	TO	292422	0	0	0	0	0	0	0	0
SUPV10	MV	33765	0	0	0	0	0	0	0	0
SUPV10	ED	9348	0	0	0	0	0	0	0	0
SUPV10	TO	43113	0	0	0	0	0	0	0	0
NEIG1	MV	15464	0	0	0	0	0	0	0	0
NEIG1	ED	5021	0	0	0	0	0	0	0	0
NEIG1	TO	20485	0	0	0	0	0	0	0	0
