area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	73:JACKIE SPEIER	74:RAN S. PETEL	75:CRISTOS GOODROW	76:ERIC TAYLOR
ALLPCTS	TO	0	0	0	0	0	0	0	0	0	0	0
ALLPCTS	ED	0	0	0	0	0	0	0	0	0	0	0
ALLPCTS	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1101	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1101	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1101	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1102	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1102	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1102	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1103	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1103	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1103	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1104	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1104	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1104	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1106	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1106	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1106	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1107	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1107	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1107	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1108	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1108	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1108	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1109	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1109	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1109	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1111	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1111	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1111	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1112	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1112	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1112	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1113	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1113	ED	0	0	0	0	0	0	0	0	0	0	0
PCT1113	TO	0	0	0	0	0	0	0	0	0	0	0
PCT1114	MV	0	0	0	0	0	0	0	0	0	0	0
PCT1114	ED	0	0	0	0	0	0	0	0	0	0	0
