area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	78:SCOTT WIENER	77:ERIN SMITH	79:JACKIE FIELDER
ALLPCTS	TO	503899	304487	0	247	29006	275234	200	153878	29262	91894
ALLPCTS	ED	101024	106604	0	53	11372	95179	200	50079	8024	36876
ALLPCTS	MV	402875	197883	0	194	17634	180055	0	103799	21238	55018
PCT1101	MV	448	216	0	0	11	205	0	99	27	79
PCT1101	ED	114	93	0	0	7	86	0	38	9	39
PCT1101	TO	562	309	0	0	18	291	0	137	36	118
PCT1102	MV	774	370	0	0	18	352	0	177	57	118
PCT1102	ED	230	209	0	0	17	192	0	78	10	104
PCT1102	TO	1004	579	0	0	35	544	0	255	67	222
PCT1103	MV	749	372	0	0	14	358	0	169	55	134
PCT1103	ED	222	193	0	1	9	183	0	100	10	73
PCT1103	TO	971	565	0	1	23	541	0	269	65	207
PCT1104	MV	751	343	0	0	23	320	0	166	37	117
PCT1104	ED	267	169	0	0	18	151	2	61	15	73
PCT1104	TO	1018	512	0	0	41	471	2	227	52	190
PCT1106	MV	598	255	0	0	20	235	0	103	44	88
PCT1106	ED	173	148	0	0	11	137	0	67	14	56
PCT1106	TO	771	403	0	0	31	372	0	170	58	144
PCT1107	MV	612	288	0	0	29	259	0	124	41	94
PCT1107	ED	139	124	0	0	12	112	1	49	6	56
PCT1107	TO	751	412	0	0	41	371	1	173	47	150
PCT1108	MV	725	360	0	0	35	325	0	185	37	103
PCT1108	ED	198	158	0	0	17	141	0	68	11	62
PCT1108	TO	923	518	0	0	52	466	0	253	48	165
PCT1109	MV	653	285	0	0	17	268	0	129	49	90
PCT1109	ED	169	140	0	0	11	129	0	73	8	48
PCT1109	TO	822	425	0	0	28	397	0	202	57	138
PCT1111	MV	849	354	0	1	26	327	0	154	58	115
PCT1111	ED	197	187	0	0	20	167	0	56	15	96
PCT1111	TO	1046	541	0	1	46	494	0	210	73	211
