area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	82:DAVID CHIU	177:Starchild
ALLPCTS	TO	292422	83782	0	2	24753	59027	868	58159	0
ALLPCTS	ED	292422	41964	0	2	12324	29638	868	28770	0
ALLPCTS	MV	292422	41818	0	0	12429	29389	0	29389	0
PCT1141	MV	1056	144	0	0	27	117	0	117	0
PCT1141	ED	1056	123	0	0	30	93	9	84	0
PCT1141	TO	1056	267	0	0	57	210	9	201	0
PCT1142	MV	896	111	0	0	37	74	0	74	0
PCT1142	ED	896	87	0	0	19	68	3	65	0
PCT1142	TO	896	198	0	0	56	142	3	139	0
PCT1143	MV	1049	152	0	0	48	104	0	104	0
PCT1143	ED	1049	113	0	0	31	82	6	76	0
PCT1143	TO	1049	265	0	0	79	186	6	180	0
PCT1144	MV	947	110	0	0	35	75	0	75	0
PCT1144	ED	947	121	0	0	42	79	2	77	0
PCT1144	TO	947	231	0	0	77	154	2	152	0
PCT1145	MV	905	146	0	0	34	112	0	112	0
PCT1145	ED	905	114	0	0	32	82	1	81	0
PCT1145	TO	905	260	0	0	66	194	1	193	0
PCT1146	MV	1054	143	0	0	39	104	0	104	0
PCT1146	ED	1054	109	0	0	33	76	3	73	0
PCT1146	TO	1054	252	0	0	72	180	3	177	0
PCT1147	MV	885	100	0	0	35	65	0	65	0
PCT1147	ED	885	107	0	0	32	75	3	72	0
PCT1147	TO	885	207	0	0	67	140	3	137	0
PCT1148	MV	1028	148	0	0	51	97	0	97	0
PCT1148	ED	1028	116	0	0	39	77	3	74	0
PCT1148	TO	1028	264	0	0	90	174	3	171	0
PCT1149	MV	939	107	0	0	30	77	0	77	0
PCT1149	ED	939	118	0	0	39	79	1	78	0
PCT1149	TO	939	225	0	0	69	156	1	155	0
PCT1151	MV	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0
PCT1152	MV	890	112	0	0	32	80	0	80	0
PCT1152	ED	890	85	0	0	28	57	4	53	0
PCT1152	TO	890	197	0	0	60	137	4	133	0
PCT1153	MV	940	114	0	0	35	79	0	79	0
PCT1153	ED	940	116	0	0	35	81	1	80	0
PCT1153	TO	940	230	0	0	70	160	1	159	0
PCT1154	MV	0	0	0	0	0	0	0	0	0
PCT1154	ED	0	0	0	0	0	0	0	0	0
PCT1154	TO	0	0	0	0	0	0	0	0	0
PCT7001	MV	773	112	0	0	33	79	0	79	0
PCT7001	ED	773	101	0	0	31	70	2	68	0
PCT7001	TO	773	213	0	0	64	149	2	147	0
PCT7002	MV	714	81	0	0	34	47	0	47	0
PCT7002	ED	714	88	0	0	23	65	2	63	0
PCT7002	TO	714	169	0	0	57	112	2	110	0
PCT7003	MV	906	147	0	0	52	95	0	95	0
PCT7003	ED	906	144	0	0	45	99	3	96	0
PCT7003	TO	906	291	0	0	97	194	3	191	0
PCT7004	MV	913	146	0	0	54	92	0	92	0
PCT7004	ED	913	142	0	0	54	88	4	84	0
PCT7004	TO	913	288	0	0	108	180	4	176	0
PCT7005	MV	859	142	0	0	38	104	0	104	0
PCT7005	ED	859	162	0	0	49	113	3	110	0
PCT7005	TO	859	304	0	0	87	217	3	214	0
PCT7006	MV	932	119	0	0	38	81	0	81	0
PCT7006	ED	932	149	0	0	60	89	4	85	0
PCT7006	TO	932	268	0	0	98	170	4	166	0
PCT7007	MV	957	145	0	0	49	96	0	96	0
PCT7007	ED	957	168	0	0	57	111	3	108	0
PCT7007	TO	957	313	0	0	106	207	3	204	0
PCT7008	MV	909	154	0	0	50	104	0	104	0
PCT7008	ED	909	189	0	0	52	137	7	130	0
PCT7008	TO	909	343	0	0	102	241	7	234	0
PCT7009	MV	871	141	0	0	49	92	0	92	0
PCT7009	ED	871	91	0	0	36	55	3	52	0
PCT7009	TO	871	232	0	0	85	147	3	144	0
PCT7011	MV	973	66	0	0	18	48	0	48	0
PCT7011	ED	973	87	0	0	12	75	0	75	0
PCT7011	TO	973	153	0	0	30	123	0	123	0
PCT7012	MV	1226	192	0	0	57	135	0	135	0
PCT7012	ED	1226	203	0	0	53	150	7	143	0
PCT7012	TO	1226	395	0	0	110	285	7	278	0
PCT7013	MV	1139	122	0	0	34	88	0	88	0
PCT7013	ED	1139	151	0	0	41	110	1	109	0
PCT7013	TO	1139	273	0	0	75	198	1	197	0
PCT7014	MV	719	90	0	0	26	64	0	64	0
PCT7014	ED	719	111	0	0	30	81	0	81	0
PCT7014	TO	719	201	0	0	56	145	0	145	0
PCT7015	MV	110	13	0	0	4	9	0	9	0
PCT7015	ED	110	0	0	0	0	0	0	0	0
PCT7015	TO	110	13	0	0	4	9	0	9	0
PCT7016	MV	932	85	0	0	28	57	0	57	0
PCT7016	ED	932	75	0	0	19	56	4	52	0
PCT7016	TO	932	160	0	0	47	113	4	109	0
PCT7017	MV	781	52	0	0	11	41	0	41	0
PCT7017	ED	781	53	0	0	21	32	0	32	0
PCT7017	TO	781	105	0	0	32	73	0	73	0
PCT7018	MV	1047	130	0	0	38	92	0	92	0
PCT7018	ED	1047	56	0	0	8	48	1	47	0
PCT7018	TO	1047	186	0	0	46	140	1	139	0
PCT7019	MV	900	130	0	0	32	98	0	98	0
PCT7019	ED	900	73	0	0	23	50	1	49	0
PCT7019	TO	900	203	0	0	55	148	1	147	0
PCT7021	MV	967	78	0	0	20	58	0	58	0
PCT7021	ED	967	106	0	0	32	74	7	67	0
PCT7021	TO	967	184	0	0	52	132	7	125	0
PCT7022	MV	963	109	0	0	28	81	0	81	0
PCT7022	ED	963	54	0	0	16	38	1	37	0
PCT7022	TO	963	163	0	0	44	119	1	118	0
PCT7023	MV	920	142	0	0	34	108	0	108	0
PCT7023	ED	920	71	0	0	15	56	1	55	0
PCT7023	TO	920	213	0	0	49	164	1	163	0
PCT7024	MV	441	25	0	0	5	20	0	20	0
PCT7024	ED	441	20	0	0	7	13	1	12	0
PCT7024	TO	441	45	0	0	12	33	1	32	0
PCT7025	MV	483	41	0	0	6	35	0	35	0
