area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	83:MARIA ELENA EVANGELISTA	84:PANG LY
ALLPCTS	TO	503899	281773	0	141	52069	229563	369	147092	82102
ALLPCTS	ED	101053	84584	0	25	17033	67526	369	47785	19372
ALLPCTS	MV	402846	197189	0	116	35036	162037	0	99307	62730
PCT1101	MV	448	215	0	0	23	192	0	120	72
PCT1101	ED	114	61	0	0	11	50	0	43	7
PCT1101	TO	562	276	0	0	34	242	0	163	79
PCT1102	MV	774	369	0	0	37	332	0	230	102
PCT1102	ED	230	162	0	0	22	140	0	106	34
PCT1102	TO	1004	531	0	0	59	472	0	336	136
PCT1103	MV	749	371	0	0	33	338	0	213	125
PCT1103	ED	222	144	0	0	15	129	0	96	33
PCT1103	TO	971	515	0	0	48	467	0	309	158
PCT1104	MV	751	343	0	0	39	304	0	230	74
PCT1104	ED	267	122	0	0	15	107	1	86	20
PCT1104	TO	1018	465	0	0	54	411	1	316	94
PCT1106	MV	598	255	0	0	40	215	0	119	96
PCT1106	ED	173	97	0	0	16	81	1	55	25
PCT1106	TO	771	352	0	0	56	296	1	174	121
PCT1107	MV	612	287	0	0	47	240	0	147	93
PCT1107	ED	139	76	0	0	8	68	0	50	18
PCT1107	TO	751	363	0	0	55	308	0	197	111
PCT1108	MV	725	360	0	0	42	318	0	205	113
PCT1108	ED	198	116	0	0	25	91	0	75	16
PCT1108	TO	923	476	0	0	67	409	0	280	129
PCT1109	MV	653	284	0	0	27	257	0	158	99
PCT1109	ED	169	99	0	0	19	80	3	59	18
PCT1109	TO	822	383	0	0	46	337	3	217	117
PCT1111	MV	849	354	0	0	44	310	0	190	120
PCT1111	ED	197	118	0	0	13	105	1	81	23
PCT1111	TO	1046	472	0	0	57	415	1	271	143
PCT1112	MV	643	278	0	2	24	252	0	145	107
PCT1112	ED	159	79	0	0	14	65	0	52	13
PCT1112	TO	802	357	0	2	38	317	0	197	120
PCT1113	MV	675	286	0	0	36	250	0	150	100
PCT1113	ED	120	65	0	0	10	55	0	44	11
PCT1113	TO	795	351	0	0	46	305	0	194	111
PCT1114	MV	769	328	0	1	34	293	0	187	106
PCT1114	ED	222	98	0	0	14	84	0	68	16
PCT1114	TO	991	426	0	1	48	377	0	255	122
PCT1115	MV	743	295	0	0	31	264	0	161	103
PCT1115	ED	193	89	0	0	11	78	1	62	15
PCT1115	TO	936	384	0	0	42	342	1	223	118
PCT1116	MV	715	308	0	0	51	257	0	150	107
PCT1116	ED	216	119	0	0	17	102	3	78	21
PCT1116	TO	931	427	0	0	68	359	3	228	128
PCT1117	MV	665	258	0	0	36	222	0	146	76
PCT1117	ED	181	72	0	0	9	63	0	52	11
PCT1117	TO	846	330	0	0	45	285	0	198	87
PCT1118	MV	846	357	0	0	39	318	0	200	118
PCT1118	ED	219	106	0	0	16	90	1	74	15
PCT1118	TO	1065	463	0	0	55	408	1	274	133
PCT1119	MV	659	303	0	0	34	269	0	191	78
PCT1119	ED	138	75	0	0	10	65	0	56	9
PCT1119	TO	797	378	0	0	44	334	0	247	87
PCT1121	MV	556	268	0	0	47	221	0	136	85
PCT1121	ED	149	87	0	0	9	78	2	53	23
PCT1121	TO	705	355	0	0	56	299	2	189	108
PCT1122	MV	519	245	0	0	28	217	0	107	110
PCT1122	ED	118	71	0	0	10	61	0	41	20
PCT1122	TO	637	316	0	0	38	278	0	148	130
PCT1123	MV	730	257	0	0	39	218	0	145	73
PCT1123	ED	208	89	0	0	9	80	0	62	18
PCT1123	TO	938	346	0	0	48	298	0	207	91
PCT1124	MV	630	246	0	0	28	218	0	147	71
PCT1124	ED	199	76	0	0	7	69	0	57	12
