area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	85:DOROTHY CHOU PROUDFOOT	86:MICHELLE TONG
ALLPCTS	TO	503899	281773	0	255	55833	225685	410	97680	127595
ALLPCTS	ED	101053	84584	0	39	18415	66130	410	25872	39848
ALLPCTS	MV	402846	197189	0	216	37418	159555	0	71808	87747
PCT1101	MV	448	215	0	0	18	197	0	83	114
PCT1101	ED	114	61	0	0	8	53	0	24	29
PCT1101	TO	562	276	0	0	26	250	0	107	143
PCT1102	MV	774	369	0	1	52	316	0	154	162
PCT1102	ED	230	162	0	0	32	130	1	46	83
PCT1102	TO	1004	531	0	1	84	446	1	200	245
PCT1103	MV	749	371	0	0	37	334	0	146	188
PCT1103	ED	222	144	0	1	19	124	0	56	68
PCT1103	TO	971	515	0	1	56	458	0	202	256
PCT1104	MV	751	343	0	0	46	297	0	104	193
PCT1104	ED	267	122	0	0	24	98	1	33	64
PCT1104	TO	1018	465	0	0	70	395	1	137	257
PCT1106	MV	598	255	0	0	49	206	0	84	122
PCT1106	ED	173	97	0	0	12	85	1	38	46
PCT1106	TO	771	352	0	0	61	291	1	122	168
PCT1107	MV	612	287	0	0	50	237	0	103	134
PCT1107	ED	139	76	0	0	11	65	0	22	43
PCT1107	TO	751	363	0	0	61	302	0	125	177
PCT1108	MV	725	360	0	0	50	310	0	151	159
PCT1108	ED	198	116	0	0	24	92	0	30	62
PCT1108	TO	923	476	0	0	74	402	0	181	221
PCT1109	MV	653	284	0	0	31	253	0	101	152
PCT1109	ED	169	99	0	0	21	78	3	32	43
PCT1109	TO	822	383	0	0	52	331	3	133	195
PCT1111	MV	849	354	0	2	54	298	0	138	160
PCT1111	ED	197	118	0	0	16	102	1	34	67
PCT1111	TO	1046	472	0	2	70	400	1	172	227
PCT1112	MV	643	278	0	4	31	243	0	88	155
PCT1112	ED	159	79	0	0	13	66	1	15	50
PCT1112	TO	802	357	0	4	44	309	1	103	205
PCT1113	MV	675	286	0	1	51	234	0	104	130
PCT1113	ED	120	65	0	0	9	56	0	13	43
PCT1113	TO	795	351	0	1	60	290	0	117	173
PCT1114	MV	769	328	0	1	36	291	0	122	169
PCT1114	ED	222	98	0	0	21	77	0	24	53
PCT1114	TO	991	426	0	1	57	368	0	146	222
PCT1115	MV	743	295	0	0	41	254	0	97	157
PCT1115	ED	193	89	0	0	12	77	2	34	41
PCT1115	TO	936	384	0	0	53	331	2	131	198
PCT1116	MV	715	308	0	0	46	262	0	128	134
PCT1116	ED	216	119	0	0	22	97	0	39	58
PCT1116	TO	931	427	0	0	68	359	0	167	192
PCT1117	MV	665	258	0	0	40	218	0	76	142
PCT1117	ED	181	72	0	0	13	59	0	17	42
PCT1117	TO	846	330	0	0	53	277	0	93	184
PCT1118	MV	846	357	0	0	44	313	0	149	164
PCT1118	ED	219	106	0	0	19	87	0	34	53
PCT1118	TO	1065	463	0	0	63	400	0	183	217
PCT1119	MV	659	303	0	0	41	262	0	113	149
PCT1119	ED	138	75	0	0	10	65	0	22	43
PCT1119	TO	797	378	0	0	51	327	0	135	192
PCT1121	MV	556	268	0	2	48	218	0	108	110
PCT1121	ED	149	87	0	0	10	77	3	30	44
PCT1121	TO	705	355	0	2	58	295	3	138	154
PCT1122	MV	519	245	0	0	33	212	0	98	114
PCT1122	ED	118	71	0	0	12	59	1	25	33
PCT1122	TO	637	316	0	0	45	271	1	123	147
PCT1123	MV	730	257	0	0	34	223	0	84	139
PCT1123	ED	208	89	0	0	12	77	1	20	56
PCT1123	TO	938	346	0	0	46	300	1	104	195
PCT1124	MV	630	246	0	1	30	215	0	99	116
PCT1124	ED	199	76	0	0	6	70	0	22	48
PCT1124	TO	829	322	0	1	36	285	0	121	164
PCT1125	MV	919	364	0	1	37	326	0	161	165
PCT1125	ED	178	68	0	1	10	57	1	24	32
PCT1125	TO	1097	432	0	2	47	383	1	185	197
PCT1126	MV	812	308	0	1	32	275	0	130	145
PCT1126	ED	200	68	0	0	4	64	1	26	37
PCT1126	TO	1012	376	0	1	36	339	1	156	182
PCT1127	MV	743	293	0	0	35	258	0	120	138
PCT1127	ED	222	101	0	0	17	84	0	35	49
PCT1127	TO	965	394	0	0	52	342	0	155	187
PCT1128	MV	734	287	0	0	39	248	0	107	141
PCT1128	ED	145	59	0	0	10	49	0	12	37
PCT1128	TO	879	346	0	0	49	297	0	119	178
PCT1129	MV	790	314	0	0	32	282	0	128	154
PCT1129	ED	246	109	0	0	20	89	3	23	63
PCT1129	TO	1036	423	0	0	52	371	3	151	217
PCT1131	MV	694	280	0	0	40	240	0	121	119
PCT1131	ED	166	61	0	0	9	52	0	24	28
PCT1131	TO	860	341	0	0	49	292	0	145	147
PCT1132	MV	839	370	0	2	60	308	0	130	178
PCT1132	ED	193	60	0	0	8	52	0	22	30
PCT1132	TO	1032	430	0	2	68	360	0	152	208
PCT1133	MV	716	334	0	0	62	272	0	108	164
PCT1133	ED	159	74	0	0	15	59	1	36	22
PCT1133	TO	875	408	0	0	77	331	1	144	186
PCT1134	MV	585	293	0	2	40	251	0	115	136
PCT1134	ED	182	80	0	0	11	69	2	17	50
PCT1134	TO	767	373	0	2	51	320	2	132	186
PCT1135	MV	465	218	0	1	29	188	0	77	111
PCT1135	ED	91	51	0	0	6	45	1	19	25
PCT1135	TO	556	269	0	1	35	233	1	96	136
PCT1136	MV	710	340	0	2	44	294	0	128	166
PCT1136	ED	157	79	0	0	12	67	2	31	34
PCT1136	TO	867	419	0	2	56	361	2	159	200
PCT1141	MV	836	393	0	0	59	334	0	159	175
PCT1141	ED	220	124	0	0	24	100	0	31	69
PCT1141	TO	1056	517	0	0	83	434	0	190	244
PCT1142	MV	721	324	0	0	67	257	0	92	165
PCT1142	ED	175	87	0	0	13	74	0	21	53
PCT1142	TO	896	411	0	0	80	331	0	113	218
PCT1143	MV	824	360	0	0	68	292	0	125	167
PCT1143	ED	225	116	0	0	14	102	4	32	66
