area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	87:KULVINDAR "RANI" SINGH	88:CAROLYN GOLD
ALLPCTS	TO	503899	265563	0	116	52184	213263	522	106697	106044
ALLPCTS	ED	101847	72177	0	32	14483	57662	522	24985	32155
ALLPCTS	MV	402052	193386	0	84	37701	155601	0	81712	73889
PCT1101	MV	447	211	0	0	22	189	0	99	90
PCT1101	ED	115	60	0	0	12	48	0	22	26
PCT1101	TO	562	271	0	0	34	237	0	121	116
PCT1102	MV	771	364	0	0	54	310	0	173	137
PCT1102	ED	233	158	0	0	29	129	0	56	73
PCT1102	TO	1004	522	0	0	83	439	0	229	210
PCT1103	MV	748	360	0	0	46	314	0	163	151
PCT1103	ED	223	142	0	0	22	120	0	56	64
PCT1103	TO	971	502	0	0	68	434	0	219	215
PCT1104	MV	750	340	0	0	56	284	0	125	159
PCT1104	ED	268	119	0	0	17	102	0	42	60
PCT1104	TO	1018	459	0	0	73	386	0	167	219
PCT1106	MV	597	246	0	1	49	196	0	106	90
PCT1106	ED	174	96	0	0	16	80	1	31	48
PCT1106	TO	771	342	0	1	65	276	1	137	138
PCT1107	MV	606	281	0	0	54	227	0	125	102
PCT1107	ED	145	76	0	0	11	65	2	29	34
PCT1107	TO	751	357	0	0	65	292	2	154	136
PCT1108	MV	721	350	0	0	56	294	0	147	147
PCT1108	ED	202	114	0	0	25	89	0	41	48
PCT1108	TO	923	464	0	0	81	383	0	188	195
PCT1109	MV	650	278	0	0	31	247	0	128	119
PCT1109	ED	172	97	0	0	22	75	4	29	42
PCT1109	TO	822	375	0	0	53	322	4	157	161
PCT1111	MV	845	346	0	1	60	285	0	162	123
PCT1111	ED	201	118	0	1	16	101	1	42	58
PCT1111	TO	1046	464	0	2	76	386	1	204	181
PCT1112	MV	642	271	0	1	39	231	0	128	103
PCT1112	ED	160	76	0	0	9	67	0	24	43
PCT1112	TO	802	347	0	1	48	298	0	152	146
PCT1113	MV	674	280	0	1	61	218	0	104	114
PCT1113	ED	121	65	0	0	8	57	0	21	36
PCT1113	TO	795	345	0	1	69	275	0	125	150
PCT1114	MV	768	324	0	1	40	283	0	128	155
PCT1114	ED	223	97	0	0	20	77	2	31	44
PCT1114	TO	991	421	0	1	60	360	2	159	199
PCT1115	MV	741	287	0	0	45	242	0	122	120
PCT1115	ED	195	85	0	0	11	74	2	28	44
PCT1115	TO	936	372	0	0	56	316	2	150	164
PCT1116	MV	709	305	0	0	59	246	0	130	116
PCT1116	ED	222	118	0	1	24	93	0	43	50
PCT1116	TO	931	423	0	1	83	339	0	173	166
PCT1117	MV	659	250	0	0	44	206	0	91	115
PCT1117	ED	187	71	0	0	12	59	0	21	38
PCT1117	TO	846	321	0	0	56	265	0	112	153
PCT1118	MV	843	353	0	0	51	302	0	165	137
PCT1118	ED	222	100	0	0	17	83	1	34	48
PCT1118	TO	1065	453	0	0	68	385	1	199	185
PCT1119	MV	659	302	0	0	51	251	0	127	124
PCT1119	ED	138	73	0	0	8	65	1	22	42
PCT1119	TO	797	375	0	0	59	316	1	149	166
PCT1121	MV	556	261	0	0	45	216	0	136	80
PCT1121	ED	149	81	0	1	9	71	3	33	35
PCT1121	TO	705	342	0	1	54	287	3	169	115
PCT1122	MV	519	243	0	0	45	198	0	108	90
PCT1122	ED	118	70	0	0	17	53	0	28	25
PCT1122	TO	637	313	0	0	62	251	0	136	115
PCT1123	MV	722	254	0	0	42	212	0	109	103
PCT1123	ED	216	89	0	0	13	76	0	26	50
PCT1123	TO	938	343	0	0	55	288	0	135	153
PCT1124	MV	621	240	0	0	33	207	0	109	98
PCT1124	ED	208	72	0	0	4	68	0	25	43
PCT1124	TO	829	312	0	0	37	275	0	134	141
PCT1125	MV	916	353	0	0	36	317	0	188	129
PCT1125	ED	181	65	0	1	7	57	1	17	39
PCT1125	TO	1097	418	0	1	43	374	1	205	168
PCT1126	MV	811	304	0	0	33	271	0	134	137
PCT1126	ED	201	68	0	0	4	64	1	28	35
PCT1126	TO	1012	372	0	0	37	335	1	162	172
PCT1127	MV	742	290	0	0	47	243	0	142	101
PCT1127	ED	223	99	0	0	20	79	1	30	48
PCT1127	TO	965	389	0	0	67	322	1	172	149
PCT1128	MV	733	292	0	0	46	246	0	119	127
PCT1128	ED	146	59	0	0	11	48	1	19	28
PCT1128	TO	879	351	0	0	57	294	1	138	155
PCT1129	MV	788	310	0	0	32	278	0	146	132
PCT1129	ED	248	108	0	0	18	90	3	27	60
PCT1129	TO	1036	418	0	0	50	368	3	173	192
PCT1131	MV	693	276	0	0	42	234	0	148	86
PCT1131	ED	167	60	0	0	9	51	0	28	23
PCT1131	TO	860	336	0	0	51	285	0	176	109
PCT1132	MV	837	368	0	0	67	301	0	154	147
PCT1132	ED	195	59	0	1	9	49	2	22	25
PCT1132	TO	1032	427	0	1	76	350	2	176	172
PCT1133	MV	716	332	0	0	63	269	0	138	131
PCT1133	ED	159	74	0	0	14	60	0	43	17
PCT1133	TO	875	406	0	0	77	329	0	181	148
PCT1134	MV	584	285	0	0	49	236	0	130	106
PCT1134	ED	183	80	0	0	12	68	2	22	44
PCT1134	TO	767	365	0	0	61	304	2	152	150
PCT1135	MV	464	216	0	1	37	178	0	89	89
PCT1135	ED	92	50	0	0	6	44	1	19	24
PCT1135	TO	556	266	0	1	43	222	1	108	113
PCT1136	MV	710	335	0	0	49	286	0	148	138
PCT1136	ED	157	77	0	1	9	67	1	25	41
PCT1136	TO	867	412	0	1	58	353	1	173	179
PCT1141	MV	836	387	0	1	72	314	0	176	138
PCT1141	ED	220	123	0	0	21	102	4	34	64
PCT1141	TO	1056	510	0	1	93	416	4	210	202
PCT1142	MV	721	322	0	0	66	256	0	116	140
PCT1142	ED	175	87	0	0	13	74	1	21	52
PCT1142	TO	896	409	0	0	79	330	1	137	192
PCT1143	MV	823	358	0	0	71	287	0	143	144
PCT1143	ED	226	113	0	0	17	96	3	34	59
PCT1143	TO	1049	471	0	0	88	383	3	177	203
PCT1144	MV	727	319	0	0	44	275	0	140	135
PCT1144	ED	220	121	0	0	19	102	1	37	64
PCT1144	TO	947	440	0	0	63	377	1	177	199
PCT1145	MV	752	411	0	0	84	327	0	148	179
PCT1145	ED	153	114	0	1	25	88	2	27	59
PCT1145	TO	905	525	0	1	109	415	2	175	238
PCT1146	MV	837	359	0	0	53	306	0	154	152
PCT1146	ED	217	109	0	0	16	93	0	26	67
PCT1146	TO	1054	468	0	0	69	399	0	180	219
PCT1147	MV	671	303	0	0	35	268	0	123	145
PCT1147	ED	214	107	0	0	19	88	0	28	60
PCT1147	TO	885	410	0	0	54	356	0	151	205
PCT1148	MV	804	364	0	1	52	311	0	153	158
PCT1148	ED	224	116	0	0	22	94	0	30	64
PCT1148	TO	1028	480	0	1	74	405	0	183	222
PCT1149	MV	709	316	0	0	62	254	0	119	135
PCT1149	ED	230	118	0	0	18	100	1	39	60
PCT1149	TO	939	434	0	0	80	354	1	158	195
