area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	89:KAT ANDERSON	90:NADIA RAHMAN	91:MANO RAJU	92:ABRA PAULINE CASTLE	93:QUEENA CHEN	94:CYN WANG	95:LEAH LACROIX	96:SUZY LOFTUS	97:LI MIAO LOVETT	98:JANICE LI	99:JANE NATOLI	100:AHSHA SAFAI	101:GORDON MAR	102:SEEYEW MO	103:FAAUUGA MOLIGA	104:PAUL MIYAMOTO	105:MARY JUNG	106:KEITH BARAKA	107:KELLY AKEMI GROTH	108:A. J. THOMAS	109:MAWULI TUGBENYOH
ALL	TO	120580	87929	0	172	486990	390580	0	15232	10542	23235	8285	21550	13075	23532	24876	21329	23153	14894	16607	28863	8799	20289	18123	19957	25624	19435	24658	8522
ALL	ED	23078	32018	0	36	196218	123602	0	5161	3367	7695	2975	7158	3815	7214	7916	7038	7113	4367	5057	9092	2396	6799	5246	5852	8359	6430	8245	2307
ALL	MV	97502	55911	0	136	290772	266978	0	10071	7175	15540	5310	14392	9260	16318	16960	14291	16040	10527	11550	19771	6403	13490	12877	14105	17265	13005	16413	6215
PCT1101	MV	261	156	0	0	588	972	0	22	27	60	16	52	30	61	47	50	59	40	44	73	21	60	53	45	66	45	82	19
PCT1101	ED	62	61	0	0	420	190	0	7	2	8	9	12	3	12	12	5	8	8	20	11	5	11	10	11	12	7	12	5
PCT1101	TO	323	217	0	0	1008	1162	0	29	29	68	25	64	33	73	59	55	67	48	64	84	26	71	63	56	78	52	94	24
PCT1102	MV	471	258	0	0	1208	1372	0	45	28	89	30	67	27	97	82	72	73	49	98	94	19	79	65	59	96	76	93	34
PCT1102	ED	148	162	0	1	887	723	0	17	12	49	18	46	11	50	48	40	44	15	59	51	7	49	31	24	54	34	54	10
PCT1102	TO	619	420	0	1	2095	2095	0	62	40	138	48	113	38	147	130	112	117	64	157	145	26	128	96	83	150	110	147	44
PCT1103	MV	437	256	0	0	1209	1351	0	47	33	84	26	66	35	84	90	70	60	63	104	97	24	74	68	67	85	55	77	42
