area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	145:LISA REMMER	146:JOSEPH C ROBERTS	147:STEPHEN WAID	148:LEO LACAYO	149:RYAN LAM	150:CHRISTIAN FOSTER	151:JOSH YORK	152:EVE DEL CASTELLO	153:CHRIS WARD KLINE	154:ERIN SMITH	155:LARRY MARSO	156:NICOLE GARAY	157:CALE GARVERICK	158:KRISTA GARVERICK
ALLPCTS	TO	292422	7087	0	15	49525	28267	14	2614	1980	1963	1703	2148	1825	1961	1508	1487	2924	1869	1913	2461	1897
ALLPCTS	ED	59704	1699	0	5	12178	6456	14	612	482	427	436	492	415	425	344	332	656	404	443	560	414
ALLPCTS	MV	232718	5388	0	10	37347	21811	0	2002	1498	1536	1267	1656	1410	1536	1164	1155	2268	1465	1470	1901	1483
PCT1141	MV	836	20	0	0	131	89	0	7	5	5	11	7	7	7	7	3	8	5	4	6	7
PCT1141	ED	220	8	0	0	59	29	0	3	3	2	4	1	3	1	2	2	2	1	3	1	1
PCT1141	TO	1056	28	0	0	190	118	0	10	8	7	15	8	10	8	9	5	10	6	7	7	8
PCT1142	MV	721	21	0	0	119	112	0	8	8	8	6	9	4	8	11	1	16	7	9	10	7
PCT1142	ED	175	7	0	0	44	33	0	3	3	2	2	3	3	1	2	2	4	2	1	3	2
PCT1142	TO	896	28	0	0	163	145	0	11	11	10	8	12	7	9	13	3	20	9	10	13	9
PCT1143	MV	824	33	0	0	199	164	0	14	14	12	11	10	11	12	9	10	16	10	9	14	12
PCT1143	ED	225	7	0	0	68	9	0	2	0	0	2	1	0	1	0	0	1	0	0	0	2
PCT1143	TO	1049	40	0	0	267	173	0	16	14	12	13	11	11	13	9	10	17	10	9	14	14
PCT1144	MV	727	29	0	0	198	121	0	11	7	10	10	11	8	9	6	4	10	8	9	10	8
PCT1144	ED	220	9	0	0	81	18	0	2	1	1	3	2	2	1	0	0	1	1	1	2	1
PCT1144	TO	947	38	0	0	279	139	0	13	8	11	13	13	10	10	6	4	11	9	10	12	9
PCT1145	MV	753	20	0	0	142	78	0	7	6	6	6	4	7	5	2	2	8	6	7	7	5
PCT1145	ED	152	2	0	0	6	16	0	2	2	1	2	0	1	2	0	0	1	2	1	2	0
PCT1145	TO	905	22	0	0	148	94	0	9	8	7	8	4	8	7	2	2	9	8	8	9	5
PCT1146	MV	839	15	0	0	78	87	0	8	4	10	4	6	7	9	4	5	7	6	5	5	7
PCT1146	ED	215	9	0	0	71	28	0	3	2	2	3	2	2	2	1	1	4	2	1	1	2
PCT1146	TO	1054	24	0	0	149	115	0	11	6	12	7	8	9	11	5	6	11	8	6	6	9
PCT1147	MV	673	16	0	0	109	67	0	5	6	4	5	6	4	4	4	4	5	5	4	5	6
PCT1147	ED	212	10	0	0	89	21	0	2	2	1	2	4	1	1	1	1	3	1	0	0	2
PCT1147	TO	885	26	0	0	198	88	0	7	8	5	7	10	5	5	5	5	8	6	4	5	8
PCT1148	MV	804	17	0	0	94	93	0	5	4	6	8	12	8	7	4	6	11	3	6	8	5
PCT1148	ED	224	16	0	0	113	63	0	5	4	5	5	5	4	4	5	4	6	6	4	4	2
PCT1148	TO	1028	33	0	0	207	156	0	10	8	11	13	17	12	11	9	10	17	9	10	12	7
PCT1149	MV	710	25	0	0	186	89	0	8	2	4	9	12	4	5	5	7	8	7	7	7	4
PCT1149	ED	229	6	0	0	57	9	0	0	1	0	1	2	1	0	0	0	2	0	1	1	0
PCT1149	TO	939	31	0	0	243	98	0	8	3	4	10	14	5	5	5	7	10	7	8	8	4
PCT1151	MV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1152	MV	710	19	0	0	88	121	0	9	10	9	9	8	9	11	7	5	12	9	9	8	6
PCT1152	ED	180	11	0	0	62	59	0	6	6	3	5	4	4	2	3	2	6	4	4	5	5
PCT1152	TO	890	30	0	0	150	180	0	15	16	12	14	12	13	13	10	7	18	13	13	13	11
PCT1153	MV	730	25	0	0	148	127	0	7	7	9	13	11	12	7	9	10	9	8	7	9	9
PCT1153	ED	210	17	0	0	130	57	0	4	3	4	4	5	5	3	2	3	6	4	4	5	5
PCT1153	TO	940	42	0	0	278	184	0	11	10	13	17	16	17	10	11	13	15	12	11	14	14
PCT1154	MV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1154	ED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1154	TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7001	MV	632	12	0	0	75	57	0	4	3	5	4	5	3	4	5	2	5	5	4	4	4
PCT7001	ED	141	4	0	0	37	7	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1
PCT7001	TO	773	16	0	0	112	64	0	5	4	6	4	5	3	5	5	2	6	6	4	4	5
PCT7002	MV	598	12	0	0	111	21	0	2	0	1	0	3	2	0	2	2	5	0	1	3	0
PCT7002	ED	116	3	0	0	16	17	0	1	2	1	3	1	1	1	1	1	1	0	1	2	1
PCT7002	TO	714	15	0	0	127	38	0	3	2	2	3	4	3	1	3	3	6	0	2	5	1
PCT7003	MV	759	24	0	0	160	104	0	11	6	6	4	7	6	6	6	5	15	7	6	10	9
PCT7003	ED	147	3	0	0	20	13	0	1	1	0	1	2	0	0	1	1	2	1	1	2	0
PCT7003	TO	906	27	0	0	180	117	0	12	7	6	5	9	6	6	7	6	17	8	7	12	9
PCT7004	MV	764	20	0	0	103	117	0	11	7	9	5	9	7	8	11	7	11	8	7	11	6
PCT7004	ED	149	4	0	0	26	18	0	2	1	0	1	1	1	1	1	1	1	1	1	3	3
PCT7004	TO	913	24	0	0	129	135	0	13	8	9	6	10	8	9	12	8	12	9	8	14	9
PCT7005	MV	698	8	0	0	58	30	0	2	3	2	2	3	2	2	3	2	3	2	2	2	0
PCT7005	ED	161	4	0	0	24	20	0	1	2	2	2	1	2	2	0	1	2	2	1	1	1
PCT7005	TO	859	12	0	0	82	50	0	3	5	4	4	4	4	4	3	3	5	4	3	3	1
PCT7006	MV	729	9	0	0	70	29	0	2	0	2	0	3	3	2	4	2	5	2	0	2	2
PCT7006	ED	203	7	0	0	42	35	0	3	3	4	0	3	2	3	0	1	4	3	1	4	4
PCT7006	TO	932	16	0	0	112	64	0	5	3	6	0	6	5	5	4	3	9	5	1	6	6
PCT7007	MV	777	20	0	0	163	57	0	7	7	5	2	3	2	3	4	8	7	2	1	2	4
PCT7007	ED	180	1	0	0	0	11	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1
PCT7007	TO	957	21	0	0	163	68	0	8	7	6	2	4	2	4	5	9	8	3	2	3	5
PCT7008	MV	732	13	0	0	94	49	0	6	5	3	3	2	3	4	2	2	5	3	4	3	4
PCT7008	ED	177	6	0	0	40	26	0	1	3	2	2	2	1	1	2	2	2	1	2	3	2
PCT7008	TO	909	19	0	0	134	75	0	7	8	5	5	4	4	5	4	4	7	4	6	6	6
PCT7009	MV	752	8	0	0	60	28	0	1	2	1	1	3	2	2	3	1	4	1	2	4	1
PCT7009	ED	119	6	0	0	36	30	0	3	2	2	2	1	4	2	0	0	4	2	3	3	2
PCT7009	TO	871	14	0	0	96	58	0	4	4	3	3	4	6	4	3	1	8	3	5	7	3
