area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	11:YES	12:NO
ALLPCTS	TO	503899	275013	0	57	27416	247540	135324	112216
ALLPCTS	ED	101053	78221	0	15	8335	69871	40961	28910
ALLPCTS	MV	402846	196792	0	42	19081	177669	94363	83306
PCT1101	MV	448	214	0	0	24	190	116	74
PCT1101	ED	114	60	0	0	8	52	35	17
PCT1101	TO	562	274	0	0	32	242	151	91
PCT1102	MV	774	368	0	0	26	342	164	178
PCT1102	ED	230	159	0	0	13	146	86	60
PCT1102	TO	1004	527	0	0	39	488	250	238
PCT1103	MV	749	371	0	0	21	350	197	153
PCT1103	ED	222	142	0	0	11	131	75	56
PCT1103	TO	971	513	0	0	32	481	272	209
PCT1104	MV	751	343	0	0	32	311	191	120
PCT1104	ED	267	120	0	0	6	114	75	39
PCT1104	TO	1018	463	0	0	38	425	266	159
PCT1106	MV	598	255	0	0	25	230	125	105
PCT1106	ED	173	96	0	0	7	89	46	43
PCT1106	TO	771	351	0	0	32	319	171	148
PCT1107	MV	612	287	0	0	21	266	135	131
PCT1107	ED	139	76	0	0	9	67	35	32
PCT1107	TO	751	363	0	0	30	333	170	163
PCT1108	MV	725	360	0	0	29	331	187	144
PCT1108	ED	198	115	0	0	15	100	64	36
PCT1108	TO	923	475	0	0	44	431	251	180
PCT1109	MV	653	284	0	0	21	263	140	123
PCT1109	ED	169	97	0	0	8	89	54	35
PCT1109	TO	822	381	0	0	29	352	194	158
PCT1111	MV	849	354	0	0	34	320	180	140
PCT1111	ED	197	118	0	0	10	108	72	36
PCT1111	TO	1046	472	0	0	44	428	252	176
PCT1112	MV	643	276	0	0	19	257	150	107
PCT1112	ED	159	77	0	0	5	72	51	21
PCT1112	TO	802	353	0	0	24	329	201	128
PCT1113	MV	675	286	0	0	26	260	143	117
PCT1113	ED	120	65	0	0	8	57	38	19
PCT1113	TO	795	351	0	0	34	317	181	136
PCT1114	MV	769	328	0	0	28	300	181	119
PCT1114	ED	222	97	0	0	14	83	56	27
PCT1114	TO	991	425	0	0	42	383	237	146
PCT1115	MV	743	295	0	0	24	271	155	116
PCT1115	ED	193	86	0	0	7	79	52	27
PCT1115	TO	936	381	0	0	31	350	207	143
PCT1116	MV	715	308	0	0	30	278	177	101
PCT1116	ED	216	118	0	0	10	108	76	32
PCT1116	TO	931	426	0	0	40	386	253	133
PCT1117	MV	665	257	0	0	23	234	142	92
PCT1117	ED	181	71	0	0	4	67	52	15
PCT1117	TO	846	328	0	0	27	301	194	107
PCT1118	MV	846	356	0	0	18	338	194	144
PCT1118	ED	219	104	0	0	16	88	53	35
PCT1118	TO	1065	460	0	0	34	426	247	179
PCT1119	MV	659	303	0	0	19	284	166	118
PCT1119	ED	138	74	0	0	6	68	50	18
PCT1119	TO	797	377	0	0	25	352	216	136
PCT1121	MV	556	268	0	0	32	236	134	102
PCT1121	ED	149	82	0	0	8	74	44	30
PCT1121	TO	705	350	0	0	40	310	178	132
PCT1122	MV	519	245	0	0	24	221	113	108
PCT1122	ED	118	71	0	0	8	63	35	28
PCT1122	TO	637	316	0	0	32	284	148	136
PCT1123	MV	730	257	0	0	22	235	137	98
PCT1123	ED	208	89	0	0	5	84	67	17
PCT1123	TO	938	346	0	0	27	319	204	115
PCT1124	MV	630	246	0	0	10	236	145	91
PCT1124	ED	199	73	0	0	4	69	50	19
PCT1124	TO	829	319	0	0	14	305	195	110
PCT1125	MV	919	364	0	1	44	319	193	126
PCT1125	ED	178	67	0	0	11	56	41	15
PCT1125	TO	1097	431	0	1	55	375	234	141
PCT1126	MV	812	308	0	0	26	282	165	117
PCT1126	ED	200	68	0	0	5	63	40	23
PCT1126	TO	1012	376	0	0	31	345	205	140
PCT1127	MV	743	293	0	0	19	274	136	138
PCT1127	ED	222	100	0	0	8	92	54	38
PCT1127	TO	965	393	0	0	27	366	190	176
PCT1128	MV	734	286	0	0	27	259	143	116
PCT1128	ED	145	59	0	0	7	52	37	15
PCT1128	TO	879	345	0	0	34	311	180	131
PCT1129	MV	790	314	0	1	27	286	175	111
PCT1129	ED	246	108	0	0	15	93	63	30
PCT1129	TO	1036	422	0	1	42	379	238	141
PCT1131	MV	694	279	0	1	35	243	111	132
PCT1131	ED	166	60	0	0	8	52	29	23
PCT1131	TO	860	339	0	1	43	295	140	155
PCT1132	MV	839	370	0	0	32	338	180	158
PCT1132	ED	193	59	0	0	3	56	26	30
