area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	13:JULIÁN CASTRO	14:MICHAEL A. ELLINGER	15:ELIZABETH WARREN	16:MARIANNE WILLIAMSON	17:ANDREW YANG	18:ROQUE "ROCKY" DE LA FUENTE III	19:JOHN K. DELANEY	20:AMY KLOBUCHAR	21:BERNIE SANDERS	22:JOE SESTAK	23:TOM STEYER	24:DEVAL PATRICK	25:MICHAEL BENNET	26:MICHAEL R. BLOOMBERG	27:MOSIE BOYD	28:CORY BOOKER	29:PETE BUTTIGIEG	30:JOSEPH R. BIDEN	31:TULSI GABBARD	32:MARK STEWART GREENSTEIN	178:NAKIA L. ANTHONY	179:DAPHNE DENISE BRADFORD	180:WILLIE FELIX CARTER	181:MICHAEL DENAME	182:JEFFREY H. DROBMAN	183:ROBERT JORDAN	184:HEATHER MARIE STAGG
ALLPCTS	TO	503899	121735	0	153	647	120935	60	99	38	25684	66	1857	38	42	2259	39571	29	1099	25	81	15800	11	63	6865	26605	583	60	0	0	0	0	0	0	0
ALLPCTS	ED	102888	67012	0	43	156	66813	60	32	19	16047	18	240	10	19	90	23238	12	119	1	22	5502	2	19	192	20871	282	18	0	0	0	0	0	0	0
ALLPCTS	MV	401011	54723	0	110	491	54122	0	67	19	9637	48	1617	28	23	2169	16333	17	980	24	59	10298	9	44	6673	5734	301	42	0	0	0	0	0	0	0
PCT1101	MV	446	73	0	0	1	72	0	0	0	8	0	5	0	0	3	29	0	1	0	0	9	0	0	10	7	0	0	0	0	0	0	0	0	0
PCT1101	ED	116	55	0	0	0	55	0	0	0	9	0	0	0	0	0	20	1	0	0	0	5	0	0	1	19	0	0	0	0	0	0	0	0	0
PCT1101	TO	562	128	0	0	1	127	0	0	0	17	0	5	0	0	3	49	1	1	0	0	14	0	0	11	26	0	0	0	0	0	0	0	0	0
PCT1102	MV	767	79	0	1	1	77	0	0	0	15	0	2	0	0	1	25	0	4	0	0	13	0	0	5	11	1	0	0	0	0	0	0	0	0
PCT1102	ED	237	150	0	0	1	149	0	0	0	32	0	0	0	0	0	59	0	0	0	0	15	0	0	0	42	1	0	0	0	0	0	0	0	0
PCT1102	TO	1004	229	0	1	2	226	0	0	0	47	0	2	0	0	1	84	0	4	0	0	28	0	0	5	53	2	0	0	0	0	0	0	0	0
PCT1103	MV	747	113	0	0	3	110	0	0	0	20	0	5	0	2	0	34	0	1	0	0	21	0	0	9	15	3	0	0	0	0	0	0	0	0
