area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	33:ROBERT ARDINI	34:JOE WALSH	35:BILL WELD	36:ROQUE "ROCKY" DE LA FUENTE	37:MATTHEW JOHN MATERN	38:ZOLTAN G. ISTVAN	39:DONALD J. TRUMP	185:DENIS C. GRASSKA	186:ROBERT LEE MANNING JR.
ALLPCTS	TO	503899	10077	0	4	787	9286	108	75	386	723	181	167	71	7575	0	0
ALLPCTS	ED	102888	3066	0	1	166	2899	108	21	135	187	77	58	21	2292	0	0
ALLPCTS	MV	401011	7011	0	3	621	6387	0	54	251	536	104	109	50	5283	0	0
PCT1101	MV	446	5	0	0	0	5	0	0	0	0	0	0	0	5	0	0
PCT1101	ED	116	4	0	0	0	4	1	0	1	0	0	0	0	2	0	0
PCT1101	TO	562	9	0	0	0	9	1	0	1	0	0	0	0	7	0	0
PCT1102	MV	767	17	0	0	0	17	0	0	0	2	0	0	0	15	0	0
PCT1102	ED	237	4	0	0	1	3	0	0	0	0	0	0	0	3	0	0
PCT1102	TO	1004	21	0	0	1	20	0	0	0	2	0	0	0	18	0	0
PCT1103	MV	747	19	0	0	0	19	0	1	1	0	1	0	2	14	0	0
PCT1103	ED	224	6	0	0	1	5	0	0	1	1	0	0	0	3	0	0
PCT1103	TO	971	25	0	0	1	24	0	1	2	1	1	0	2	17	0	0
PCT1104	MV	750	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT1104	ED	268	5	0	0	0	5	0	0	0	0	0	2	0	3	0	0
PCT1104	TO	1018	7	0	0	0	7	0	0	0	0	0	2	0	5	0	0
PCT1106	MV	595	13	0	0	3	10	0	0	0	1	0	0	0	9	0	0
PCT1106	ED	176	9	0	0	1	8	0	0	1	1	0	0	0	6	0	0
PCT1106	TO	771	22	0	0	4	18	0	0	1	2	0	0	0	15	0	0
PCT1107	MV	602	7	0	0	1	6	0	0	0	0	0	0	0	6	0	0
PCT1107	ED	149	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT1107	TO	751	8	0	0	1	7	0	0	0	0	0	0	0	7	0	0
PCT1108	MV	718	5	0	0	0	5	0	0	0	0	0	0	1	4	0	0
PCT1108	ED	205	3	0	0	1	2	0	0	1	0	0	0	0	1	0	0
PCT1108	TO	923	8	0	0	1	7	0	0	1	0	0	0	1	5	0	0
PCT1109	MV	649	9	0	0	2	7	0	1	0	1	0	0	0	5	0	0
PCT1109	ED	173	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT1109	TO	822	12	0	0	2	10	0	1	0	1	0	0	0	8	0	0
PCT1111	MV	841	15	0	0	2	13	0	0	0	0	0	0	0	13	0	0
PCT1111	ED	205	7	0	0	0	7	1	0	1	0	0	0	0	5	0	0
PCT1111	TO	1046	22	0	0	2	20	1	0	1	0	0	0	0	18	0	0
PCT1112	MV	641	6	0	0	0	6	0	0	1	0	0	0	0	5	0	0
PCT1112	ED	161	3	0	0	0	3	0	0	0	0	1	0	1	1	0	0
PCT1112	TO	802	9	0	0	0	9	0	0	1	0	1	0	1	6	0	0
PCT1113	MV	674	14	0	0	2	12	0	0	0	1	0	0	0	11	0	0
PCT1113	ED	121	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT1113	TO	795	17	0	0	2	15	0	0	0	1	0	0	0	14	0	0
PCT1114	MV	766	6	0	0	0	6	0	0	0	1	0	0	0	5	0	0
PCT1114	ED	225	6	0	0	0	6	0	0	0	0	0	1	0	5	0	0
PCT1114	TO	991	12	0	0	0	12	0	0	0	1	0	1	0	10	0	0
PCT1115	MV	739	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT1115	ED	197	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT1115	TO	936	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT1116	MV	702	13	0	0	1	12	0	1	0	0	0	1	0	10	0	0
PCT1116	ED	229	5	0	0	0	5	0	0	0	0	1	1	0	3	0	0
