area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	40:PHIL COLLINS	41:ROQUE "ROCKY" DE LA FUENTE	42:CHARLES KRAUT	43:J.R. MYERS	44:DON BLANKENSHIP
ALLPCTS	TO	503899	2669	0	1	1628	1040	143	309	174	128	161	125
ALLPCTS	ED	101847	540	0	0	156	384	143	88	47	33	43	30
ALLPCTS	MV	402052	2129	0	1	1472	656	0	221	127	95	118	95
PCT1101	MV	447	1	0	0	1	0	0	0	0	0	0	0
PCT1101	ED	115	0	0	0	0	0	0	0	0	0	0	0
PCT1101	TO	562	1	0	0	1	0	0	0	0	0	0	0
PCT1102	MV	771	4	0	0	2	2	0	0	0	1	1	0
PCT1102	ED	233	2	0	0	1	1	1	0	0	0	0	0
PCT1102	TO	1004	6	0	0	3	3	1	0	0	1	1	0
PCT1103	MV	748	2	0	0	1	1	0	0	0	0	0	1
PCT1103	ED	223	2	0	0	1	1	0	0	0	1	0	0
PCT1103	TO	971	4	0	0	2	2	0	0	0	1	0	1
PCT1104	MV	750	5	0	0	4	1	0	0	0	1	0	0
PCT1104	ED	268	2	0	0	0	2	0	0	1	0	1	0
PCT1104	TO	1018	7	0	0	4	3	0	0	1	1	1	0
PCT1106	MV	597	5	0	0	4	1	0	1	0	0	0	0
PCT1106	ED	174	0	0	0	0	0	0	0	0	0	0	0
PCT1106	TO	771	5	0	0	4	1	0	1	0	0	0	0
PCT1107	MV	606	2	0	0	2	0	0	0	0	0	0	0
PCT1107	ED	145	0	0	0	0	0	0	0	0	0	0	0
PCT1107	TO	751	2	0	0	2	0	0	0	0	0	0	0
PCT1108	MV	721	6	0	0	5	1	0	1	0	0	0	0
PCT1108	ED	202	3	0	0	1	2	0	1	0	1	0	0
PCT1108	TO	923	9	0	0	6	3	0	2	0	1	0	0
PCT1109	MV	650	4	0	0	3	1	0	0	0	0	1	0
PCT1109	ED	172	2	0	0	0	2	2	0	0	0	0	0
PCT1109	TO	822	6	0	0	3	3	2	0	0	0	1	0
PCT1111	MV	845	6	0	0	6	0	0	0	0	0	0	0
PCT1111	ED	201	1	0	0	0	1	0	0	1	0	0	0
PCT1111	TO	1046	7	0	0	6	1	0	0	1	0	0	0
PCT1112	MV	642	0	0	0	0	0	0	0	0	0	0	0
PCT1112	ED	160	3	0	0	0	3	2	0	0	0	0	1
PCT1112	TO	802	3	0	0	0	3	2	0	0	0	0	1
PCT1113	MV	674	4	0	0	3	1	0	0	0	1	0	0
PCT1113	ED	121	0	0	0	0	0	0	0	0	0	0	0
PCT1113	TO	795	4	0	0	3	1	0	0	0	1	0	0
PCT1114	MV	768	8	0	0	6	2	0	1	0	1	0	0
PCT1114	ED	223	0	0	0	0	0	0	0	0	0	0	0
PCT1114	TO	991	8	0	0	6	2	0	1	0	1	0	0
PCT1115	MV	741	3	0	0	1	2	0	0	1	0	1	0
PCT1115	ED	195	0	0	0	0	0	0	0	0	0	0	0
PCT1115	TO	936	3	0	0	1	2	0	0	1	0	1	0
PCT1116	MV	709	3	0	0	1	2	0	1	0	0	1	0
PCT1116	ED	222	1	0	0	1	0	0	0	0	0	0	0
PCT1116	TO	931	4	0	0	2	2	0	1	0	0	1	0
PCT1117	MV	659	4	0	0	3	1	0	0	1	0	0	0
PCT1117	ED	187	0	0	0	0	0	0	0	0	0	0	0
PCT1117	TO	846	4	0	0	3	1	0	0	1	0	0	0
PCT1118	MV	843	5	0	0	3	2	0	0	0	0	0	2
PCT1118	ED	222	3	0	0	1	2	1	0	0	1	0	0
PCT1118	TO	1065	8	0	0	4	4	1	0	0	1	0	2
PCT1119	MV	659	5	0	0	4	1	0	1	0	0	0	0
PCT1119	ED	138	0	0	0	0	0	0	0	0	0	0	0
PCT1119	TO	797	5	0	0	4	1	0	1	0	0	0	0
PCT1121	MV	556	5	0	0	0	5	0	2	0	0	3	0
PCT1121	ED	149	1	0	0	0	1	1	0	0	0	0	0
PCT1121	TO	705	6	0	0	0	6	1	2	0	0	3	0
PCT1122	MV	519	5	0	0	5	0	0	0	0	0	0	0
PCT1122	ED	118	2	0	0	1	1	0	1	0	0	0	0
PCT1122	TO	637	7	0	0	6	1	0	1	0	0	0	0
PCT1123	MV	722	3	0	0	1	2	0	1	0	1	0	0
PCT1123	ED	216	1	0	0	1	0	0	0	0	0	0	0
PCT1123	TO	938	4	0	0	2	2	0	1	0	1	0	0
PCT1124	MV	621	4	0	0	1	3	0	3	0	0	0	0
PCT1124	ED	208	0	0	0	0	0	0	0	0	0	0	0
PCT1124	TO	829	4	0	0	1	3	0	3	0	0	0	0
PCT1125	MV	916	4	0	0	3	1	0	0	1	0	0	0
PCT1125	ED	181	0	0	0	0	0	0	0	0	0	0	0
PCT1125	TO	1097	4	0	0	3	1	0	0	1	0	0	0
PCT1126	MV	811	2	0	0	2	0	0	0	0	0	0	0
PCT1126	ED	201	1	0	0	0	1	0	1	0	0	0	0
PCT1126	TO	1012	3	0	0	2	1	0	1	0	0	0	0
PCT1127	MV	742	4	0	0	1	3	0	1	0	0	2	0
PCT1127	ED	223	0	0	0	0	0	0	0	0	0	0	0
PCT1127	TO	965	4	0	0	1	3	0	1	0	0	2	0
PCT1128	MV	733	4	0	0	2	2	0	0	0	0	1	1
PCT1128	ED	146	0	0	0	0	0	0	0	0	0	0	0
PCT1128	TO	879	4	0	0	2	2	0	0	0	0	1	1
PCT1129	MV	788	2	0	0	1	1	0	1	0	0	0	0
PCT1129	ED	248	2	0	0	0	2	1	1	0	0	0	0
PCT1129	TO	1036	4	0	0	1	3	1	2	0	0	0	0
PCT1131	MV	693	2	0	0	1	1	0	1	0	0	0	0
PCT1131	ED	167	0	0	0	0	0	0	0	0	0	0	0
PCT1131	TO	860	2	0	0	1	1	0	1	0	0	0	0
PCT1132	MV	837	5	0	0	2	3	0	0	0	0	0	3
PCT1132	ED	195	1	0	0	0	1	1	0	0	0	0	0
PCT1132	TO	1032	6	0	0	2	4	1	0	0	0	0	3
PCT1133	MV	716	5	0	0	3	2	0	0	0	1	1	0
PCT1133	ED	159	0	0	0	0	0	0	0	0	0	0	0
PCT1133	TO	875	5	0	0	3	2	0	0	0	1	1	0
PCT1134	MV	584	2	0	0	1	1	0	0	1	0	0	0
PCT1134	ED	183	1	0	0	0	1	0	0	0	0	1	0
PCT1134	TO	767	3	0	0	1	2	0	0	1	0	1	0
PCT1135	MV	464	9	0	0	5	4	0	0	0	0	2	2
PCT1135	ED	92	2	0	0	0	2	1	0	0	0	1	0
PCT1135	TO	556	11	0	0	5	6	1	0	0	0	3	2
PCT1136	MV	710	6	0	0	3	3	0	1	0	0	2	0
PCT1136	ED	157	1	0	0	0	1	0	0	0	0	0	1
PCT1136	TO	867	7	0	0	3	4	0	1	0	0	2	1
PCT1141	MV	836	1	0	0	1	0	0	0	0	0	0	0
PCT1141	ED	220	1	0	0	0	1	0	1	0	0	0	0
PCT1141	TO	1056	2	0	0	1	1	0	1	0	0	0	0
PCT1142	MV	721	3	0	0	3	0	0	0	0	0	0	0
PCT1142	ED	175	3	0	0	1	2	0	0	2	0	0	0
PCT1142	TO	896	6	0	0	4	2	0	0	2	0	0	0
PCT1143	MV	823	5	0	0	4	1	0	0	1	0	0	0
PCT1143	ED	226	1	0	0	0	1	0	0	1	0	0	0
PCT1143	TO	1049	6	0	0	4	2	0	0	2	0	0	0
PCT1144	MV	727	5	0	0	4	1	0	0	0	0	0	1
PCT1144	ED	220	1	0	0	0	1	1	0	0	0	0	0
PCT1144	TO	947	6	0	0	4	2	1	0	0	0	0	1
PCT1145	MV	752	7	0	0	6	1	0	0	0	0	1	0
PCT1145	ED	153	0	0	0	0	0	0	0	0	0	0	0
PCT1145	TO	905	7	0	0	6	1	0	0	0	0	1	0
PCT1146	MV	837	7	0	0	3	4	0	2	0	0	1	1
PCT1146	ED	217	4	0	0	2	2	1	0	0	1	0	0
PCT1146	TO	1054	11	0	0	5	6	1	2	0	1	1	1
PCT1147	MV	671	4	0	0	4	0	0	0	0	0	0	0
PCT1147	ED	214	0	0	0	0	0	0	0	0	0	0	0
PCT1147	TO	885	4	0	0	4	0	0	0	0	0	0	0
PCT1148	MV	804	3	0	0	0	3	0	1	0	0	2	0
PCT1148	ED	224	1	0	0	0	1	1	0	0	0	0	0
PCT1148	TO	1028	4	0	0	0	4	1	1	0	0	2	0
PCT1149	MV	709	4	0	0	3	1	0	0	0	0	0	1
PCT1149	ED	230	1	0	0	0	1	0	1	0	0	0	0
PCT1149	TO	939	5	0	0	3	2	0	1	0	0	0	1
PCT1151	MV	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0	0	0	0
PCT1152	MV	710	4	0	0	3	1	0	1	0	0	0	0
