area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSCd1	RSCd2	RSPnd	RSCha
ALL	TO	ALL	503899	317204	305184	305184	283427	0	9405
ALL	TO	AI	8573	2512	2221	2221	2369	0	111
ALL	TO	AINPP		837	779	779	826	0	15
ALL	TO	DEM	305059	228187	219810	219810	219367	0	6788
ALL	TO	DEMNPP		42625	41554	41554	41387	0	806
ALL	TO	GRN	3073	1151	1077	1077	1105	0	38
ALL	TO	LIB	3096	892	796	796	835	0	43
ALL	TO	LIBNPP		382	360	360	367	0	7
ALL	TO	PF	1531	387	366	366	372	0	12
ALL	TO	REP	32967	17354	16708	16708	16799	0	462
ALL	TO	NPP	149600	22877	21513	21513	0	0	1123
ALL	TO	NPPALL	149600	66721	64206	64206	42580	0	1951
ALL	ED	ALL	101679	107184	107184	107184	105492		
ALL	ED	AI	1413	586	586	586	594		
ALL	ED	AINPP		242	242	242	247		
ALL	ED	DEM	61346	78826	78826	78826	78693		
ALL	ED	DEMNPP		21090	21090	21090	21033		
ALL	ED	GRN	800	329	329	329	329		
ALL	ED	LIB	655	222	222	222	225		
ALL	ED	LIBNPP		132	132	132	129		
ALL	ED	PF	390	120	120	120	120		
ALL	ED	REP	6609	4125	4125	4125	4122		
ALL	ED	NPP	58566	1512	1512	1512	0		
ALL	ED	NPPALL	58566	22976	22976	22976	21409		
ALL	MV	ALL	402885	210020	198000	198000	177935	0	9405
ALL	MV	AI	7295	1926	1635	1635	1775	0	111
ALL	MV	AINPP	1118	595	537	537	579	0	15
ALL	MV	DEM	244318	149361	140984	140984	140674	0	6788
ALL	MV	DEMNPP	26189	21535	20464	20464	20354	0	806
ALL	MV	GRN	2373	822	748	748	776	0	38
ALL	MV	LIB	2537	670	574	574	610	0	43
ALL	MV	LIBNPP	424	250	228	228	238	0	7
ALL	MV	PF	1193	267	246	246	252	0	12
ALL	MV	REP	26392	13229	12583	12583	12677	0	462
ALL	MV	NPP	91046	21365	20001	20001	0	0	1123
ALL	MV	NPPALL	118777	43745	41794			0	1951
PCT1101	TO	ALL	562	319	308				
PCT1101	TO	AI	5						
PCT1101	TO	DEM	323						
PCT1101	TO	GRN	0						
PCT1101	TO	LIB	1						
PCT1101	TO	PF	1						
PCT1101	TO	REP	36						
PCT1101	TO	NPP	196						
PCT1101	TO	NPPALL	196						
PCT1101	ED	ALL	114	93	93				
PCT1101	ED	AI	0						
PCT1101	ED	DEM	62						
PCT1101	ED	GRN	0						
PCT1101	ED	LIB	0						
PCT1101	ED	PF	0						
PCT1101	ED	REP	6						
PCT1101	ED	NPP	69						
PCT1101	ED	NPPALL	69						
PCT1101	MV	ALL	448	226	215			0	8
PCT1101	MV	AI	7	1	1			0	0
PCT1101	MV	AINPP	1	0	0			0	0
PCT1101	MV	DEM	261	162	159			0	3
PCT1101	MV	DEMNPP	18	14	14			0	0
PCT1101	MV	GRN	1	0	0			0	0
PCT1101	MV	LIB	2	0	0			0	0
PCT1101	MV	LIBNPP	0	0	0			0	0
PCT1101	MV	PF	1	1	1			0	0
PCT1101	MV	REP	30	13	13			0	0
PCT1101	MV	NPP	127	35	30			0	5
PCT1101	MV	NPPALL	146	49	44			0	5
PCT1102	TO	ALL	1004	608	584				
PCT1102	TO	AI	17						
PCT1102	TO	DEM	619						
PCT1102	TO	GRN	4						
PCT1102	TO	LIB	6						
PCT1102	TO	PF	2						
PCT1102	TO	REP	57						
PCT1102	TO	NPP	299						
PCT1102	TO	NPPALL	299						
PCT1102	ED	ALL	230	209	209				
PCT1102	ED	AI	0						
PCT1102	ED	DEM	148						
PCT1102	ED	GRN	1						
PCT1102	ED	LIB	4						
PCT1102	ED	PF	0						
PCT1102	ED	REP	4						
PCT1102	ED	NPP	118						
PCT1102	ED	NPPALL	118						
PCT1102	MV	ALL	774	399	375			0	15
PCT1102	MV	AI	17	2	2			0	0
PCT1102	MV	AINPP	4	2	2			0	0
PCT1102	MV	DEM	471	277	264			0	13
PCT1102	MV	DEMNPP	41	32	32			0	0
PCT1102	MV	GRN	3	2	1			0	1
PCT1102	MV	LIB	2	1	1			0	0
PCT1102	MV	LIBNPP	0	0	0			0	0
PCT1102	MV	PF	2	1	1			0	0
PCT1102	MV	REP	53	32	32			0	0
PCT1102	MV	NPP	181	50	49			0	1
PCT1102	MV	NPPALL	226	84	83			0	1
PCT1103	TO	ALL	971	574	568				
PCT1103	TO	AI	17						
PCT1103	TO	DEM	566						
PCT1103	TO	GRN	6						
PCT1103	TO	LIB	5						
PCT1103	TO	PF	4						
PCT1103	TO	REP	76						
PCT1103	TO	NPP	297						
PCT1103	TO	NPPALL	297						
PCT1103	ED	ALL	222	195	195				
PCT1103	ED	AI	6						
PCT1103	ED	DEM	129						
PCT1103	ED	GRN	0						
PCT1103	ED	LIB	1						
PCT1103	ED	PF	0						
PCT1103	ED	REP	14						
PCT1103	ED	NPP	115						
PCT1103	ED	NPPALL	115						
PCT1103	MV	ALL	749	379	373			0	4
PCT1103	MV	AI	11	2	2			0	0
PCT1103	MV	AINPP	2	0	0			0	0
PCT1103	MV	DEM	437	260	257			0	3
PCT1103	MV	DEMNPP	41	36	35			0	1
PCT1103	MV	GRN	6	4	4			0	0
PCT1103	MV	LIB	4	3	3			0	0
PCT1103	MV	LIBNPP	0	0	0			0	0
PCT1103	MV	PF	4	1	1			0	0
PCT1103	MV	REP	62	34	34			0	0
PCT1103	MV	NPP	182	39	39			0	0
PCT1103	MV	NPPALL	225	75	74			0	1
PCT1104	TO	ALL	1018	527	514				
PCT1104	TO	AI	27						
PCT1104	TO	DEM	591						
PCT1104	TO	GRN	6						
PCT1104	TO	LIB	5						
PCT1104	TO	PF	5						
PCT1104	TO	REP	70						
PCT1104	TO	NPP	314						
PCT1104	TO	NPPALL	314						
PCT1104	ED	ALL	267	170	170				
PCT1104	ED	AI	4						
PCT1104	ED	DEM	156						
PCT1104	ED	GRN	1						
PCT1104	ED	LIB	1						
PCT1104	ED	PF	1						
PCT1104	ED	REP	23						
PCT1104	ED	NPP	129						
PCT1104	ED	NPPALL	129						
PCT1104	MV	ALL	751	357	344			0	12
PCT1104	MV	AI	23	4	3			0	1
PCT1104	MV	AINPP	7	2	2			0	0
PCT1104	MV	DEM	435	247	237			0	10
PCT1104	MV	DEMNPP	41	34	34			0	0
